实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为3500nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
3.486340e+00	3.064130e+00
3.472668e+00	3.064130e+00
3.458996e+00	2.945365e+00
3.445324e+00	2.897859e+00
3.431652e+00	2.826600e+00
3.417980e+00	2.589071e+00
3.404308e+00	2.541565e+00
3.390636e+00	2.494059e+00
3.376964e+00	2.375294e+00
3.363292e+00	2.351541e+00
3.349620e+00	2.304035e+00
3.335948e+00	2.256530e+00
3.322276e+00	2.161518e+00
3.308604e+00	2.114012e+00
3.294932e+00	2.066506e+00
3.281260e+00	2.042753e+00
3.267588e+00	1.828977e+00
3.253916e+00	1.757718e+00
3.240244e+00	1.638953e+00
3.226572e+00	1.591447e+00
3.212900e+00	1.591447e+00
3.199228e+00	1.543941e+00
3.185556e+00	1.520188e+00
3.171884e+00	1.496435e+00
3.158212e+00	1.401424e+00
3.144540e+00	1.377671e+00
3.130868e+00	1.187647e+00
3.117196e+00	1.140141e+00
3.103524e+00	1.021377e+00
3.089852e+00	9.501178e-01
3.076181e+00	9.738707e-01
3.062509e+00	9.263648e-01
3.048837e+00	7.363413e-01
3.035165e+00	7.125883e-01
3.021493e+00	6.175765e-01
3.007821e+00	6.175765e-01
2.994149e+00	4.750589e-01
2.980477e+00	4.275530e-01
2.966805e+00	3.087883e-01
2.953133e+00	2.612824e-01
2.939461e+00	2.137765e-01
2.925789e+00	1.425177e-01
2.912117e+00	4.750589e-02
2.898445e+00	-7.125665e-02
2.884773e+00	-4.750444e-02
2.871101e+00	-1.425133e-01
2.857429e+00	-2.137700e-01
2.843757e+00	-3.562833e-01
2.830085e+00	-3.562833e-01
2.816413e+00	-4.512921e-01
2.802741e+00	-5.463010e-01
2.789069e+00	-4.987966e-01
2.775397e+00	-5.225488e-01
2.761725e+00	-6.175577e-01
2.748053e+00	-7.125666e-01
2.734381e+00	-8.075755e-01
2.720709e+00	-8.313276e-01
2.707037e+00	-9.738410e-01
2.693365e+00	-1.068850e+00
2.679693e+00	-1.235115e+00
2.666021e+00	-1.330124e+00
2.652349e+00	-1.353876e+00
2.638677e+00	-1.330124e+00
2.625005e+00	-1.401381e+00
2.611333e+00	-1.520142e+00
2.597661e+00	-1.615151e+00
2.583989e+00	-1.567646e+00
2.570317e+00	-1.710160e+00
2.556645e+00	-1.828921e+00
2.542973e+00	-1.900178e+00
2.529301e+00	-1.971434e+00
2.515629e+00	-2.018939e+00
2.501957e+00	-2.113947e+00
2.488285e+00	-2.113947e+00
2.474613e+00	-2.161452e+00
2.460941e+00	-2.280213e+00
2.447269e+00	-2.351470e+00
2.433598e+00	-2.375222e+00
2.419926e+00	-2.517735e+00
2.406254e+00	-2.636496e+00
2.392582e+00	-2.707753e+00
2.378910e+00	-2.779009e+00
2.365238e+00	-2.802762e+00
2.351566e+00	-2.826514e+00
2.337894e+00	-2.945275e+00
2.324222e+00	-2.969027e+00
2.310550e+00	-3.040284e+00
2.296878e+00	-3.159045e+00
2.283206e+00	-3.277806e+00
2.269534e+00	-3.420319e+00
2.255862e+00	-3.467824e+00
2.242190e+00	-3.515328e+00
2.228518e+00	-3.586585e+00
2.214846e+00	-3.681594e+00
2.201174e+00	-3.610337e+00
2.187502e+00	-3.634089e+00
2.173830e+00	-3.824107e+00
2.160158e+00	-3.824107e+00
2.146486e+00	-3.871611e+00
2.132814e+00	-3.990372e+00
2.119142e+00	-4.014125e+00
2.105470e+00	-4.156638e+00
2.091798e+00	-4.204143e+00
2.078126e+00	-4.251647e+00
2.064454e+00	-4.275399e+00
2.050782e+00	-4.346656e+00
2.037110e+00	-4.417913e+00
2.023438e+00	-4.465417e+00
2.009766e+00	-4.512922e+00
1.996094e+00	-4.702939e+00
1.982422e+00	-4.774196e+00
1.968750e+00	-4.869205e+00
1.955078e+00	-4.964213e+00
1.941406e+00	-5.011718e+00
1.927734e+00	-5.035470e+00
1.914062e+00	-5.106727e+00
1.900390e+00	-5.106727e+00
1.886719e+00	-5.177984e+00
1.873047e+00	-5.177984e+00
1.859375e+00	-5.344249e+00
1.845703e+00	-5.510515e+00
1.832031e+00	-5.558019e+00
1.818359e+00	-5.629276e+00
1.804687e+00	-5.676780e+00
1.791016e+00	-5.629276e+00
1.777344e+00	-5.748037e+00
1.763672e+00	-5.866798e+00
1.750000e+00	-5.938054e+00
1.736328e+00	-5.866798e+00
1.722656e+00	-6.033063e+00
1.708984e+00	-6.175577e+00
1.695312e+00	-6.294338e+00
1.681641e+00	-6.389347e+00
1.667969e+00	-6.413099e+00
1.654297e+00	-6.460604e+00
1.640625e+00	-6.460604e+00
1.626953e+00	-6.603117e+00
1.613281e+00	-6.698126e+00
1.599609e+00	-6.769382e+00
1.585938e+00	-6.840639e+00
1.572266e+00	-6.983152e+00
1.558594e+00	-7.125665e+00
1.544922e+00	-7.268179e+00
1.531250e+00	-7.339435e+00
1.517578e+00	-7.386940e+00
1.503906e+00	-7.386940e+00
1.490234e+00	-7.339435e+00
1.476563e+00	-7.410692e+00
1.462891e+00	-7.481948e+00
1.449219e+00	-7.434444e+00
1.435547e+00	-7.624462e+00
1.421875e+00	-7.719471e+00
1.408203e+00	-7.838232e+00
1.394531e+00	-7.814480e+00
1.380860e+00	-7.861984e+00
1.367188e+00	-7.956993e+00
1.353516e+00	-8.028250e+00
1.339844e+00	-8.052002e+00
1.326172e+00	-8.099507e+00
1.312500e+00	-8.170763e+00
1.298828e+00	-8.289525e+00
1.285156e+00	-8.337029e+00
1.271485e+00	-8.479542e+00
1.257813e+00	-8.479542e+00
1.244141e+00	-8.598303e+00
1.230469e+00	-8.693312e+00
1.216797e+00	-8.717064e+00
1.203125e+00	-8.764569e+00
1.189453e+00	-8.859577e+00
1.175782e+00	-8.954586e+00
1.162110e+00	-9.025843e+00
1.148438e+00	-9.144604e+00
1.134766e+00	-9.239613e+00
1.121094e+00	-9.310869e+00
1.107422e+00	-9.334622e+00
1.093750e+00	-9.382126e+00
1.080079e+00	-9.405879e+00
1.066407e+00	-9.477136e+00
1.052735e+00	-9.500887e+00
1.039063e+00	-9.643401e+00
1.025391e+00	-9.619648e+00
1.011719e+00	-9.643401e+00
9.980473e-01	-9.880923e+00
9.843754e-01	-9.928427e+00
9.707036e-01	-9.999684e+00
9.570317e-01	-1.014220e+01
9.433599e-01	-1.018970e+01
9.296880e-01	-1.026096e+01
9.160161e-01	-1.037972e+01
9.023443e-01	-1.033222e+01
8.886724e-01	-1.040347e+01
8.750005e-01	-1.052223e+01
8.613287e-01	-1.066475e+01
8.476568e-01	-1.073600e+01
8.339849e-01	-1.083101e+01
8.203131e-01	-1.087852e+01
8.066412e-01	-1.092602e+01
7.929693e-01	-1.092602e+01
7.792975e-01	-1.094977e+01
7.656256e-01	-1.106853e+01
7.519537e-01	-1.111604e+01
7.382819e-01	-1.113979e+01
7.246100e-01	-1.123480e+01
7.109381e-01	-1.137731e+01
6.972663e-01	-1.151983e+01
6.835944e-01	-1.154358e+01
6.699225e-01	-1.149607e+01
6.562507e-01	-1.151983e+01
6.425788e-01	-1.151983e+01
6.289069e-01	-1.156733e+01
6.152351e-01	-1.154358e+01
6.015632e-01	-1.159108e+01
5.878913e-01	-1.156733e+01
5.742195e-01	-1.163859e+01
5.605476e-01	-1.163859e+01
5.468758e-01	-1.159108e+01
5.332039e-01	-1.163859e+01
5.195320e-01	-1.166234e+01
5.058602e-01	-1.161483e+01
4.921883e-01	-1.159108e+01
4.785164e-01	-1.156733e+01
4.648446e-01	-1.161483e+01
4.511727e-01	-1.147232e+01
4.375008e-01	-1.159108e+01
4.238290e-01	-1.166234e+01
4.101571e-01	-1.163859e+01
3.964852e-01	-1.168609e+01
3.828134e-01	-1.168609e+01
3.691415e-01	-1.159108e+01
3.554696e-01	-1.161483e+01
3.417978e-01	-1.159108e+01
3.281259e-01	-1.156733e+01
3.144540e-01	-1.156733e+01
3.007822e-01	-1.161483e+01
2.871103e-01	-1.170984e+01
2.734384e-01	-1.168609e+01
2.597666e-01	-1.170984e+01
2.460947e-01	-1.178110e+01
2.324228e-01	-1.175735e+01
2.187510e-01	-1.173360e+01
2.050791e-01	-1.168609e+01
1.914072e-01	-1.173360e+01
1.777353e-01	-1.166234e+01
1.640634e-01	-1.166234e+01
1.503916e-01	-1.170984e+01
1.367197e-01	-1.180485e+01
1.230478e-01	-1.168609e+01
1.093759e-01	-1.175735e+01
9.570405e-02	-1.173360e+01
8.203218e-02	-1.166234e+01
6.836031e-02	-1.166234e+01
5.468843e-02	-1.173360e+01
4.101656e-02	-1.170984e+01
2.734468e-02	-1.166234e+01
1.367280e-02	-1.168609e+01
9.290346e-07	-1.185236e+01
