实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2000nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
1.992182e+00	2.365793e+01
1.984369e+00	2.363418e+01
1.976557e+00	2.351541e+01
1.968744e+00	2.346791e+01
1.960932e+00	2.349166e+01
1.953119e+00	2.337290e+01
1.945306e+00	2.320662e+01
1.937494e+00	2.320662e+01
1.929681e+00	2.311161e+01
1.921869e+00	2.306411e+01
1.914056e+00	2.301660e+01
1.906244e+00	2.311161e+01
1.898431e+00	2.296910e+01
1.890619e+00	2.299285e+01
1.882806e+00	2.294534e+01
1.874994e+00	2.292159e+01
1.867181e+00	2.282658e+01
1.859369e+00	2.282658e+01
1.851557e+00	2.280283e+01
1.843744e+00	2.280283e+01
1.835932e+00	2.275532e+01
1.828119e+00	2.270781e+01
1.820307e+00	2.263655e+01
1.812494e+00	2.261280e+01
1.804682e+00	2.258905e+01
1.796869e+00	2.268406e+01
1.789057e+00	2.256530e+01
1.781245e+00	2.247029e+01
1.773432e+00	2.239903e+01
1.765620e+00	2.235152e+01
1.757807e+00	2.228026e+01
1.749995e+00	2.230401e+01
1.742182e+00	2.230401e+01
1.734370e+00	2.223275e+01
1.726557e+00	2.213774e+01
1.718745e+00	2.213774e+01
1.710933e+00	2.209024e+01
1.703120e+00	2.190021e+01
1.695308e+00	2.190021e+01
1.687495e+00	2.178145e+01
1.679683e+00	2.178145e+01
1.671870e+00	2.175770e+01
1.664058e+00	2.168644e+01
1.656245e+00	2.161518e+01
1.648433e+00	2.163893e+01
1.640621e+00	2.161518e+01
1.632808e+00	2.156767e+01
1.624996e+00	2.147266e+01
1.617183e+00	2.133014e+01
1.609371e+00	2.123513e+01
1.601558e+00	2.116387e+01
1.593746e+00	2.116387e+01
1.585933e+00	2.111637e+01
