实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2000nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
1.992182e+00	2.472681e+01
1.984369e+00	2.463180e+01
1.976557e+00	2.458430e+01
1.968744e+00	2.448929e+01
1.960932e+00	2.444178e+01
1.953119e+00	2.441802e+01
1.945306e+00	2.437052e+01
1.937494e+00	2.448929e+01
1.929681e+00	2.441802e+01
1.921869e+00	2.441802e+01
1.914056e+00	2.441802e+01
1.906244e+00	2.439427e+01
1.898431e+00	2.425175e+01
1.890619e+00	2.408548e+01
1.882806e+00	2.408548e+01
1.874994e+00	2.406173e+01
1.867181e+00	2.394297e+01
1.859369e+00	2.401423e+01
1.851557e+00	2.394297e+01
1.843744e+00	2.391922e+01
1.835932e+00	2.384795e+01
1.828119e+00	2.382420e+01
1.820307e+00	2.375294e+01
1.812494e+00	2.361043e+01
1.804682e+00	2.353917e+01
1.796869e+00	2.344416e+01
1.789057e+00	2.334914e+01
1.781245e+00	2.330164e+01
1.773432e+00	2.334914e+01
1.765620e+00	2.325413e+01
1.757807e+00	2.318287e+01
1.749995e+00	2.320662e+01
1.742182e+00	2.320662e+01
1.734370e+00	2.304036e+01
1.726557e+00	2.294534e+01
1.718745e+00	2.296910e+01
1.710933e+00	2.294534e+01
1.703120e+00	2.292159e+01
1.695308e+00	2.294534e+01
1.687495e+00	2.289784e+01
1.679683e+00	2.285033e+01
1.671870e+00	2.282658e+01
1.664058e+00	2.282658e+01
1.656245e+00	2.273157e+01
1.648433e+00	2.263655e+01
1.640621e+00	2.256530e+01
1.632808e+00	2.258905e+01
1.624996e+00	2.256530e+01
1.617183e+00	2.251779e+01
1.609371e+00	2.247029e+01
1.601558e+00	2.247029e+01
1.593746e+00	2.247029e+01
1.585933e+00	2.244653e+01
1.578121e+00	2.237527e+01
1.570309e+00	2.228026e+01
1.562496e+00	2.220900e+01
1.554684e+00	2.211399e+01
1.546871e+00	2.204273e+01
1.539059e+00	2.206648e+01
1.531246e+00	2.201898e+01
1.523434e+00	2.194772e+01
1.515621e+00	2.192397e+01
1.507809e+00	2.187646e+01
1.499997e+00	2.187646e+01
1.492184e+00	2.175770e+01
1.484372e+00	2.171019e+01
1.476559e+00	2.163893e+01
1.468747e+00	2.161518e+01
1.460934e+00	2.156767e+01
1.453122e+00	2.152017e+01
1.445309e+00	2.149641e+01
1.437497e+00	2.140140e+01
1.429685e+00	2.137765e+01
1.421872e+00	2.135390e+01
1.414060e+00	2.135390e+01
1.406247e+00	2.118763e+01
1.398435e+00	2.109261e+01
1.390622e+00	2.106886e+01
1.382810e+00	2.104511e+01
1.374997e+00	2.102135e+01
1.367185e+00	2.097385e+01
1.359373e+00	2.099760e+01
1.351560e+00	2.095010e+01
1.343748e+00	2.095010e+01
1.335935e+00	2.087884e+01
1.328123e+00	2.083133e+01
1.320310e+00	2.071257e+01
1.312498e+00	2.066506e+01
1.304685e+00	2.064131e+01
1.296873e+00	2.057005e+01
1.289060e+00	2.061755e+01
1.281248e+00	2.064131e+01
1.273436e+00	2.047504e+01
1.265623e+00	2.052254e+01
1.257811e+00	2.054630e+01
1.249998e+00	2.047504e+01
1.242186e+00	2.030877e+01
1.234373e+00	2.023751e+01
1.226561e+00	2.023751e+01
1.218748e+00	2.019000e+01
1.210936e+00	2.009499e+01
1.203124e+00	2.019000e+01
1.195311e+00	2.004748e+01
1.187499e+00	1.999998e+01
1.179686e+00	2.002373e+01
1.171874e+00	1.999998e+01
1.164061e+00	1.983371e+01
1.156249e+00	1.976245e+01
1.148436e+00	1.973870e+01
1.140624e+00	1.961993e+01
1.132812e+00	1.954867e+01
1.124999e+00	1.959618e+01
1.117187e+00	1.957243e+01
1.109374e+00	1.952492e+01
1.101562e+00	1.942991e+01
1.093749e+00	1.945366e+01
1.085937e+00	1.931114e+01
1.078124e+00	1.919238e+01
1.070312e+00	1.919238e+01
1.062500e+00	1.914487e+01
1.054687e+00	1.907361e+01
1.046875e+00	1.900236e+01
1.039062e+00	1.900236e+01
1.031250e+00	1.902611e+01
1.023437e+00	1.897860e+01
1.015625e+00	1.890734e+01
1.007812e+00	1.893109e+01
1.000000e+00	1.885984e+01
9.921876e-01	1.878858e+01
9.843751e-01	1.878858e+01
9.765627e-01	1.874107e+01
9.687502e-01	1.869357e+01
9.609378e-01	1.864606e+01
9.531253e-01	1.859856e+01
9.453128e-01	1.857480e+01
9.375003e-01	1.852730e+01
9.296878e-01	1.850354e+01
9.218753e-01	1.852730e+01
9.140628e-01	1.845604e+01
9.062502e-01	1.833727e+01
8.984377e-01	1.833727e+01
8.906252e-01	1.824226e+01
8.828127e-01	1.821851e+01
8.750002e-01	1.826601e+01
8.671877e-01	1.819475e+01
8.593752e-01	1.809974e+01
8.515627e-01	1.812350e+01
8.437502e-01	1.807599e+01
8.359377e-01	1.795723e+01
8.281252e-01	1.786221e+01
8.203127e-01	1.781471e+01
8.125002e-01	1.771970e+01
8.046877e-01	1.769594e+01
7.968752e-01	1.769594e+01
7.890627e-01	1.762468e+01
7.812502e-01	1.757718e+01
7.734377e-01	1.748217e+01
7.656252e-01	1.741091e+01
7.578127e-01	1.726839e+01
7.500002e-01	1.722088e+01
7.421877e-01	1.722088e+01
7.343752e-01	1.712587e+01
7.265627e-01	1.710212e+01
7.187502e-01	1.705461e+01
7.109377e-01	1.705461e+01
7.031252e-01	1.698336e+01
6.953127e-01	1.695960e+01
6.875002e-01	1.691209e+01
6.796877e-01	1.688834e+01
6.718752e-01	1.679333e+01
6.640627e-01	1.672207e+01
6.562502e-01	1.665081e+01
6.484377e-01	1.660331e+01
6.406252e-01	1.653205e+01
6.328127e-01	1.660331e+01
6.250002e-01	1.660331e+01
6.171877e-01	1.655580e+01
6.093751e-01	1.655580e+01
6.015626e-01	1.657955e+01
5.937501e-01	1.653205e+01
5.859376e-01	1.648454e+01
5.781251e-01	1.636578e+01
5.703126e-01	1.636578e+01
5.625001e-01	1.629452e+01
5.546876e-01	1.627077e+01
5.468751e-01	1.622326e+01
5.390626e-01	1.615200e+01
