实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2000nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
1.494141e+00	4.401420e+01
1.488282e+00	4.384793e+01
1.482423e+00	4.444176e+01
1.476563e+00	4.444176e+01
1.470704e+00	4.460803e+01
1.464844e+00	4.418047e+01
1.458985e+00	4.441801e+01
1.453125e+00	4.408546e+01
1.447266e+00	4.446551e+01
1.441407e+00	4.451302e+01
1.435547e+00	4.368166e+01
1.429688e+00	4.344413e+01
1.423828e+00	4.299283e+01
1.417969e+00	4.273155e+01
1.412110e+00	4.216147e+01
1.406250e+00	4.206646e+01
1.400391e+00	4.201896e+01
1.394531e+00	4.144889e+01
1.388672e+00	4.144889e+01
1.382812e+00	4.080756e+01
1.376953e+00	4.018998e+01
1.371094e+00	3.959616e+01
1.365234e+00	3.950115e+01
1.359375e+00	3.883606e+01
1.353515e+00	3.852728e+01
1.347656e+00	3.885982e+01
1.341797e+00	3.850352e+01
1.335937e+00	3.636576e+01
1.330078e+00	3.641326e+01
1.324218e+00	3.679331e+01
1.318359e+00	3.660329e+01
1.312499e+00	3.608072e+01
1.306640e+00	3.546315e+01
1.300781e+00	3.482181e+01
1.294921e+00	3.344415e+01
1.289062e+00	3.249403e+01
1.283202e+00	3.247028e+01
1.277343e+00	3.228025e+01
1.271483e+00	3.011873e+01
1.265624e+00	2.966743e+01
1.259765e+00	2.952491e+01
1.253905e+00	2.923987e+01
1.248046e+00	2.824225e+01
1.242186e+00	2.866980e+01
1.236327e+00	2.634201e+01
1.230468e+00	2.610449e+01
1.224608e+00	2.610449e+01
1.218749e+00	2.541565e+01
1.212889e+00	2.453679e+01
1.207030e+00	2.382420e+01
1.201170e+00	2.311161e+01
1.195311e+00	2.299285e+01
1.189452e+00	2.171019e+01
1.183592e+00	2.068881e+01
1.177733e+00	1.995247e+01
