实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2500nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
2.490237e+00	3.047503e+01
2.480471e+00	3.035626e+01
2.470705e+00	2.985745e+01
2.460939e+00	2.964367e+01
2.451174e+00	2.912111e+01
2.441408e+00	2.807598e+01
2.431642e+00	2.698334e+01
2.421877e+00	2.591446e+01
2.412111e+00	2.536814e+01
2.402345e+00	2.446553e+01
2.392580e+00	2.334914e+01
2.382814e+00	2.287408e+01
2.373048e+00	2.135390e+01
2.363282e+00	2.026126e+01
2.353517e+00	1.923988e+01
2.343751e+00	1.836102e+01
2.333985e+00	2.349166e+01
2.324220e+00	2.719712e+01
2.314454e+00	2.712586e+01
2.304688e+00	2.700710e+01
2.294923e+00	2.695959e+01
2.285157e+00	2.695959e+01
2.275391e+00	2.688833e+01
2.265625e+00	2.684082e+01
2.255860e+00	2.681707e+01
2.246094e+00	2.681707e+01
2.236328e+00	2.681707e+01
2.226563e+00	2.665080e+01
2.216797e+00	2.648453e+01
2.207031e+00	2.646078e+01
2.197266e+00	2.634201e+01
2.187500e+00	2.627075e+01
2.177734e+00	2.629451e+01
2.167968e+00	2.624700e+01
2.158203e+00	2.624700e+01
2.148437e+00	2.612824e+01
2.138671e+00	2.612824e+01
2.128906e+00	2.600947e+01
2.119140e+00	2.589071e+01
2.109374e+00	2.577194e+01
2.099609e+00	2.572444e+01
2.089843e+00	2.567693e+01
2.080077e+00	2.572444e+01
2.070311e+00	2.567693e+01
2.060546e+00	2.558192e+01
2.050780e+00	2.553442e+01
2.041014e+00	2.551066e+01
2.031249e+00	2.543940e+01
2.021483e+00	2.529688e+01
2.011717e+00	2.522563e+01
2.001952e+00	2.520187e+01
1.992186e+00	2.505936e+01
1.982420e+00	2.505936e+01
1.972654e+00	2.508311e+01
1.962889e+00	2.498810e+01
1.953123e+00	2.489308e+01
1.943357e+00	2.491684e+01
1.933592e+00	2.484558e+01
1.923826e+00	2.470306e+01
1.914060e+00	2.460805e+01
1.904295e+00	2.456054e+01
1.894529e+00	2.448929e+01
1.884763e+00	2.446553e+01
1.874998e+00	2.439427e+01
1.865232e+00	2.434677e+01
1.855467e+00	2.429926e+01
1.845701e+00	2.425175e+01
1.835936e+00	2.420425e+01
1.826170e+00	2.413299e+01
1.816404e+00	2.399047e+01
1.806639e+00	2.391922e+01
1.796873e+00	2.389546e+01
1.787108e+00	2.382420e+01
1.777342e+00	2.382420e+01
1.767576e+00	2.380045e+01
1.757811e+00	2.368168e+01
1.748045e+00	2.361043e+01
1.738280e+00	2.353917e+01
1.728514e+00	2.358667e+01
1.718749e+00	2.339665e+01
1.708983e+00	2.334914e+01
1.699217e+00	2.330164e+01
1.689452e+00	2.323038e+01
1.679686e+00	2.304036e+01
1.669921e+00	2.313537e+01
1.660155e+00	2.308786e+01
1.650389e+00	2.294534e+01
1.640624e+00	2.292159e+01
1.630858e+00	2.289784e+01
1.621093e+00	2.285033e+01
1.611327e+00	2.273157e+01
1.601562e+00	2.268406e+01
1.591796e+00	2.261280e+01
1.582030e+00	2.254154e+01
1.572265e+00	2.254154e+01
1.562499e+00	2.249404e+01
1.552734e+00	2.244653e+01
1.542968e+00	2.237527e+01
1.533202e+00	2.239903e+01
1.523437e+00	2.244653e+01
1.513671e+00	2.220900e+01
1.503906e+00	2.206648e+01
1.494140e+00	2.201898e+01
1.484374e+00	2.192397e+01
1.474609e+00	2.190021e+01
1.464843e+00	2.192397e+01
1.455078e+00	2.185271e+01
1.445312e+00	2.180520e+01
1.435547e+00	2.173394e+01
1.425781e+00	2.173394e+01
1.416015e+00	2.168644e+01
1.406250e+00	2.149641e+01
1.396484e+00	2.137765e+01
1.386719e+00	2.130639e+01
1.376953e+00	2.130639e+01
1.367187e+00	2.123513e+01
1.357422e+00	2.116387e+01
1.347656e+00	2.109261e+01
1.337891e+00	2.106886e+01
1.328125e+00	2.102135e+01
1.318360e+00	2.095010e+01
1.308594e+00	2.085508e+01
1.298828e+00	2.078383e+01
1.289063e+00	2.068881e+01
1.279297e+00	2.071257e+01
1.269532e+00	2.068881e+01
1.259766e+00	2.073632e+01
1.250000e+00	2.071257e+01
1.240235e+00	2.068881e+01
1.230469e+00	2.059380e+01
1.220704e+00	2.064131e+01
1.210938e+00	2.049879e+01
1.201172e+00	2.033252e+01
1.191407e+00	2.028501e+01
1.181641e+00	2.021376e+01
1.171876e+00	2.016625e+01
1.162110e+00	2.019000e+01
1.152345e+00	2.011874e+01
1.142579e+00	2.004748e+01
1.132813e+00	2.009499e+01
1.123048e+00	2.002373e+01
1.113282e+00	1.995247e+01
1.103517e+00	1.983371e+01
1.093751e+00	1.966744e+01
1.083985e+00	1.961993e+01
1.074220e+00	1.957243e+01
1.064454e+00	1.952492e+01
1.054689e+00	1.947741e+01
1.044923e+00	1.942991e+01
1.035158e+00	1.933490e+01
1.025392e+00	1.947741e+01
1.015626e+00	1.935865e+01
1.005861e+00	1.921613e+01
9.960952e-01	1.907361e+01
9.863296e-01	1.904986e+01
9.765640e-01	1.897860e+01
