实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为500nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	nN
4.980454e+02	7.194767e+01
4.960922e+02	7.254149e+01
4.941391e+02	7.315906e+01
4.921860e+02	7.247023e+01
4.902328e+02	7.365788e+01
4.882797e+02	7.358662e+01
4.863265e+02	7.415669e+01
4.843734e+02	7.470300e+01
4.824203e+02	7.491678e+01
4.804671e+02	7.498804e+01
4.785140e+02	7.548685e+01
4.765609e+02	7.608067e+01
4.746078e+02	7.458424e+01
4.726546e+02	7.596191e+01
4.707015e+02	7.624695e+01
4.687484e+02	7.600942e+01
4.667953e+02	7.598567e+01
4.648422e+02	7.698329e+01
4.628891e+02	7.657949e+01
4.609360e+02	7.624695e+01
4.589829e+02	7.722082e+01
4.570298e+02	7.705455e+01
4.550766e+02	7.729208e+01
4.531235e+02	7.748210e+01
4.511704e+02	7.795716e+01
4.492173e+02	7.750585e+01
4.472642e+02	7.826595e+01
4.453111e+02	7.828970e+01
4.433580e+02	7.893103e+01
4.414049e+02	7.852723e+01
4.394518e+02	7.897854e+01
4.374986e+02	7.921606e+01
4.355455e+02	7.928733e+01
4.335924e+02	7.942984e+01
4.316393e+02	7.942984e+01
4.296862e+02	7.973863e+01
4.277331e+02	7.897854e+01
4.257800e+02	8.007117e+01
4.238269e+02	8.009493e+01
4.218738e+02	8.054623e+01
4.199206e+02	7.959611e+01
4.179675e+02	7.990490e+01
4.160144e+02	8.042746e+01
4.140613e+02	8.076001e+01
4.121082e+02	8.011868e+01
4.101551e+02	8.056998e+01
4.082020e+02	7.992865e+01
4.062489e+02	8.040372e+01
4.042957e+02	8.042746e+01
4.023426e+02	8.061749e+01
4.003895e+02	8.023744e+01
3.984364e+02	8.047498e+01
3.964833e+02	8.052248e+01
3.945302e+02	8.030870e+01
3.925771e+02	8.083126e+01
3.906240e+02	8.011868e+01
3.886709e+02	8.090252e+01
3.867177e+02	7.990490e+01
3.847646e+02	8.037996e+01
3.828115e+02	8.045122e+01
3.808584e+02	8.026120e+01
3.789053e+02	8.090252e+01
3.769522e+02	8.073626e+01
3.749991e+02	8.037996e+01
3.730460e+02	8.078376e+01
3.710929e+02	8.087878e+01
3.691397e+02	8.052248e+01
3.671866e+02	8.009493e+01
3.652335e+02	7.935859e+01
3.632804e+02	8.042746e+01
3.613273e+02	8.047498e+01
3.593742e+02	7.985739e+01
3.574211e+02	7.978614e+01
3.554680e+02	8.026120e+01
3.535148e+02	8.011868e+01
3.515617e+02	7.900229e+01
3.496086e+02	7.969112e+01
3.476555e+02	7.966737e+01
3.457024e+02	7.971488e+01
3.437493e+02	7.947735e+01
3.417962e+02	8.026120e+01
3.398431e+02	7.931108e+01
3.378900e+02	7.893103e+01
3.359368e+02	7.904980e+01
3.339837e+02	8.018993e+01
3.320306e+02	7.992865e+01
3.300775e+02	7.959611e+01
3.281244e+02	8.023744e+01
3.261713e+02	7.950110e+01
3.242182e+02	7.907354e+01
3.222651e+02	7.992865e+01
3.203120e+02	7.964362e+01
3.183588e+02	7.961987e+01
3.164057e+02	8.035621e+01
3.144526e+02	7.969112e+01
3.124995e+02	8.002367e+01
3.105464e+02	7.990490e+01
3.085933e+02	8.023744e+01
3.066402e+02	7.973863e+01
3.046871e+02	7.850348e+01
3.027340e+02	7.931108e+01
3.007808e+02	7.900229e+01
2.988277e+02	7.857474e+01
2.968746e+02	7.878852e+01
2.949215e+02	7.928733e+01
2.929684e+02	7.869350e+01
2.910153e+02	7.931108e+01
2.890622e+02	7.833721e+01
2.871091e+02	7.843222e+01
2.851559e+02	7.814718e+01
2.832028e+02	7.724457e+01
2.812497e+02	7.802842e+01
2.792966e+02	7.824219e+01
2.773435e+02	7.840847e+01
2.753904e+02	7.743460e+01
2.734373e+02	7.793341e+01
2.714842e+02	7.774338e+01
2.695311e+02	7.769588e+01
2.675779e+02	7.828970e+01
2.656248e+02	7.700704e+01
2.636717e+02	7.743460e+01
2.617186e+02	7.826595e+01
2.597655e+02	7.733959e+01
2.578124e+02	7.748210e+01
2.558593e+02	7.774338e+01
2.539062e+02	7.790965e+01
2.519531e+02	7.686452e+01
2.499999e+02	7.627070e+01
2.480468e+02	7.665074e+01
2.460937e+02	7.686452e+01
2.441406e+02	7.703079e+01
2.421875e+02	7.567687e+01
2.402344e+02	7.593816e+01
2.382813e+02	7.589065e+01
2.363281e+02	7.593816e+01
2.343750e+02	7.562937e+01
2.324219e+02	7.510680e+01
2.304688e+02	7.610443e+01
2.285156e+02	7.503555e+01
2.265625e+02	7.470300e+01
2.246094e+02	7.558187e+01
2.226563e+02	7.482177e+01
2.207031e+02	7.482177e+01
2.187500e+02	7.572438e+01
2.167969e+02	7.427546e+01
2.148438e+02	7.494053e+01
2.128906e+02	7.494053e+01
2.109375e+02	7.437046e+01
2.089844e+02	7.401417e+01
2.070312e+02	7.391916e+01
2.050781e+02	7.477427e+01
2.031250e+02	7.432296e+01
2.011719e+02	7.389541e+01
1.992187e+02	7.458424e+01
1.972656e+02	7.377664e+01
1.953125e+02	7.425170e+01
1.933594e+02	7.391916e+01
1.914062e+02	7.453674e+01
