实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为150nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	nN
1.494140e+02	1.361756e+02
1.488281e+02	1.358431e+02
1.482422e+02	1.368882e+02
1.476562e+02	1.359856e+02
1.470703e+02	1.366507e+02
1.464843e+02	1.365794e+02
1.458984e+02	1.366507e+02
1.453125e+02	1.359143e+02
1.447265e+02	1.364844e+02
1.441406e+02	1.370782e+02
1.435546e+02	1.363894e+02
1.429687e+02	1.365557e+02
1.423827e+02	1.368407e+02
1.417968e+02	1.365794e+02
1.412109e+02	1.366982e+02
1.406249e+02	1.373395e+02
1.400390e+02	1.369595e+02
1.394530e+02	1.370070e+02
1.388671e+02	1.367694e+02
1.382812e+02	1.371970e+02
1.376952e+02	1.376483e+02
1.371093e+02	1.370782e+02
1.365233e+02	1.372208e+02
1.359374e+02	1.374108e+02
1.353514e+02	1.367932e+02
1.347655e+02	1.373395e+02
1.341796e+02	1.373395e+02
1.335936e+02	1.369595e+02
1.330077e+02	1.372683e+02
1.324217e+02	1.378146e+02
1.318358e+02	1.373158e+02
1.312498e+02	1.372683e+02
1.306639e+02	1.369120e+02
1.300780e+02	1.370782e+02
1.294920e+02	1.366744e+02
1.289061e+02	1.367457e+02
1.283201e+02	1.374583e+02
1.277342e+02	1.377433e+02
1.271483e+02	1.373870e+02
1.265623e+02	1.370545e+02
1.259764e+02	1.373633e+02
1.253904e+02	1.371970e+02
1.248045e+02	1.373633e+02
1.242185e+02	1.371970e+02
1.236326e+02	1.376008e+02
1.230467e+02	1.369595e+02
1.224607e+02	1.377433e+02
1.218748e+02	1.380996e+02
1.212888e+02	1.366032e+02
1.207029e+02	1.369120e+02
1.201170e+02	1.366032e+02
1.195310e+02	1.370070e+02
1.189451e+02	1.368170e+02
1.183591e+02	1.370070e+02
1.177732e+02	1.367932e+02
1.171873e+02	1.371495e+02
1.166013e+02	1.369832e+02
1.160154e+02	1.368645e+02
1.154295e+02	1.379096e+02
1.148435e+02	1.361756e+02
1.142576e+02	1.365794e+02
1.136717e+02	1.369120e+02
1.130857e+02	1.370070e+02
1.124998e+02	1.372445e+02
1.119139e+02	1.369357e+02
1.113279e+02	1.367932e+02
1.107420e+02	1.367694e+02
1.101561e+02	1.377433e+02
1.095701e+02	1.368882e+02
1.089842e+02	1.371495e+02
1.083982e+02	1.368407e+02
1.078123e+02	1.369595e+02
1.072264e+02	1.372208e+02
1.066404e+02	1.369120e+02
1.060545e+02	1.362706e+02
1.054686e+02	1.367932e+02
1.048826e+02	1.368407e+02
1.042967e+02	1.364607e+02
1.037108e+02	1.372208e+02
1.031248e+02	1.369832e+02
1.025389e+02	1.369595e+02
1.019530e+02	1.372920e+02
1.013670e+02	1.372920e+02
1.007811e+02	1.370545e+02
1.001952e+02	1.366507e+02
9.960922e+01	1.379571e+02
9.902329e+01	1.371970e+02
9.843735e+01	1.370545e+02
9.785142e+01	1.369595e+02
9.726548e+01	1.372683e+02
9.667955e+01	1.367220e+02
9.609361e+01	1.370782e+02
9.550768e+01	1.374345e+02
9.492175e+01	1.369595e+02
9.433581e+01	1.370782e+02
9.374988e+01	1.368407e+02
9.316394e+01	1.371257e+02
9.257801e+01	1.366269e+02
9.199207e+01	1.367932e+02
9.140614e+01	1.369120e+02
9.082020e+01	1.370070e+02
9.023427e+01	1.360331e+02
8.964833e+01	1.365319e+02
8.906240e+01	1.369120e+02
8.847646e+01	1.362469e+02
8.789053e+01	1.358668e+02
8.730459e+01	1.368170e+02
8.671866e+01	1.363181e+02
8.613272e+01	1.355581e+02
8.554679e+01	1.368882e+02
8.496085e+01	1.370307e+02
8.437492e+01	1.361994e+02
8.378898e+01	1.358431e+02
8.320305e+01	1.371257e+02
8.261711e+01	1.369120e+02
8.203118e+01	1.358193e+02
8.144524e+01	1.362469e+02
8.085931e+01	1.359619e+02
8.027337e+01	1.363656e+02
7.968744e+01	1.357718e+02
7.910150e+01	1.359856e+02
7.851557e+01	1.356768e+02
7.792963e+01	1.355343e+02
7.734370e+01	1.365082e+02
7.675776e+01	1.356056e+02
7.617183e+01	1.350355e+02
7.558589e+01	1.365082e+02
7.499996e+01	1.358431e+02
7.441403e+01	1.358431e+02
7.382809e+01	1.353205e+02
7.324216e+01	1.360093e+02
7.265622e+01	1.361519e+02
7.207029e+01	1.353205e+02
7.148435e+01	1.361281e+02
7.089842e+01	1.360806e+02
7.031248e+01	1.352730e+02
6.972655e+01	1.350592e+02
6.914061e+01	1.357718e+02
6.855468e+01	1.352730e+02
6.796874e+01	1.357718e+02
6.738281e+01	1.356056e+02
6.679687e+01	1.350117e+02
6.621094e+01	1.352018e+02
6.562500e+01	1.348692e+02
6.503907e+01	1.354868e+02
6.445313e+01	1.352255e+02
6.386720e+01	1.348455e+02
6.328126e+01	1.353205e+02
6.269533e+01	1.353443e+02
6.210939e+01	1.347267e+02
6.152346e+01	1.347980e+02
6.093752e+01	1.354868e+02
6.035159e+01	1.351780e+02
5.976565e+01	1.349642e+02
5.917972e+01	1.351780e+02
5.859378e+01	1.341566e+02
5.800784e+01	1.346554e+02
5.742190e+01	1.348455e+02
5.683596e+01	1.345129e+02
5.625002e+01	1.349167e+02
5.566408e+01	1.342041e+02
5.507815e+01	1.342279e+02
5.449221e+01	1.346792e+02
5.390627e+01	1.334440e+02
5.332033e+01	1.342991e+02
5.273439e+01	1.343704e+02
5.214845e+01	1.335390e+02
5.156252e+01	1.343704e+02
5.097658e+01	1.337291e+02
5.039064e+01	1.337291e+02
4.980470e+01	1.336103e+02
4.921876e+01	1.337766e+02
4.863282e+01	1.338953e+02
4.804689e+01	1.334440e+02
4.746095e+01	1.331590e+02
4.687501e+01	1.336103e+02
4.628907e+01	1.337528e+02
4.570313e+01	1.331115e+02
4.511719e+01	1.327314e+02
4.453126e+01	1.346554e+02
4.394532e+01	1.333965e+02
4.335938e+01	1.332065e+02
4.277344e+01	1.338003e+02
4.218750e+01	1.335390e+02
4.160156e+01	1.331590e+02
4.101562e+01	1.331590e+02
4.042969e+01	1.332778e+02
3.984375e+01	1.333015e+02
3.925781e+01	1.334203e+02
3.867187e+01	1.331828e+02
3.808593e+01	1.332303e+02
3.749999e+01	1.334203e+02
3.691406e+01	1.328027e+02
3.632812e+01	1.333728e+02
3.574218e+01	1.325414e+02
3.515624e+01	1.326602e+02
3.457030e+01	1.328740e+02
3.398436e+01	1.330640e+02
