实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为6000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
5.976573e+00	1.943699e+00
5.953136e+00	1.938169e+00
5.929698e+00	1.935404e+00
5.906260e+00	1.927109e+00
5.882823e+00	1.918815e+00
5.859385e+00	1.913285e+00
5.835947e+00	1.904991e+00
5.812510e+00	1.899461e+00
5.789072e+00	1.891166e+00
5.765634e+00	1.885637e+00
5.742197e+00	1.877342e+00
5.718759e+00	1.871812e+00
5.695321e+00	1.863518e+00
5.671884e+00	1.855223e+00
5.648446e+00	1.841399e+00
5.625008e+00	1.833104e+00
5.601571e+00	1.824810e+00
5.578133e+00	1.816515e+00
5.554695e+00	1.805456e+00
5.531258e+00	1.797161e+00
5.507820e+00	1.786102e+00
5.484382e+00	1.775042e+00
5.460945e+00	1.769512e+00
5.437507e+00	1.758453e+00
5.414069e+00	1.747394e+00
5.390631e+00	1.739099e+00
5.367194e+00	1.725275e+00
5.343756e+00	1.714215e+00
5.320318e+00	1.700391e+00
5.296881e+00	1.689331e+00
5.273443e+00	1.678272e+00
5.250005e+00	1.664448e+00
5.226568e+00	1.653388e+00
5.203130e+00	1.636799e+00
5.179692e+00	1.625740e+00
5.156255e+00	1.609150e+00
5.132817e+00	1.587031e+00
5.109379e+00	1.564913e+00
5.085942e+00	1.540029e+00
5.062504e+00	1.520675e+00
5.039066e+00	1.506850e+00
5.015629e+00	1.490261e+00
4.992191e+00	1.473672e+00
4.968753e+00	1.459848e+00
4.945316e+00	1.446023e+00
4.921878e+00	1.429434e+00
4.898440e+00	1.412845e+00
4.875003e+00	1.396256e+00
4.851565e+00	1.382432e+00
4.828127e+00	1.365842e+00
4.804690e+00	1.352018e+00
4.781252e+00	1.340959e+00
4.757814e+00	1.327134e+00
4.734376e+00	1.310545e+00
4.710939e+00	1.299486e+00
4.687501e+00	1.288426e+00
4.664063e+00	1.277367e+00
4.640626e+00	1.263542e+00
4.617188e+00	1.249718e+00
4.593750e+00	1.235894e+00
4.570313e+00	1.222069e+00
4.546875e+00	1.211010e+00
4.523437e+00	1.199951e+00
4.500000e+00	1.188891e+00
4.476562e+00	1.177832e+00
4.453124e+00	1.166772e+00
4.429687e+00	1.155713e+00
4.406249e+00	1.144653e+00
4.382811e+00	1.130829e+00
4.359374e+00	1.117005e+00
4.335936e+00	1.105945e+00
4.312498e+00	1.092121e+00
4.289061e+00	1.081062e+00
4.265623e+00	1.072767e+00
4.242185e+00	1.056178e+00
4.218748e+00	1.045118e+00
4.195310e+00	1.031294e+00
4.171872e+00	1.017470e+00
4.148435e+00	1.003645e+00
4.124997e+00	9.925859e-01
4.101559e+00	9.815265e-01
4.078121e+00	9.732319e-01
4.054684e+00	9.621724e-01
4.031246e+00	9.511130e-01
4.007808e+00	9.455832e-01
3.984371e+00	9.372886e-01
3.960933e+00	9.262292e-01
3.937495e+00	9.179346e-01
3.914058e+00	9.068751e-01
3.890620e+00	8.958157e-01
3.867182e+00	8.875211e-01
3.843745e+00	8.792265e-01
3.820307e+00	8.681670e-01
3.796870e+00	8.626373e-01
3.773432e+00	8.543427e-01
3.749995e+00	8.460481e-01
3.726557e+00	8.405184e-01
3.703120e+00	8.294589e-01
3.679682e+00	8.211643e-01
3.656245e+00	8.045752e-01
3.632807e+00	7.879860e-01
3.609370e+00	7.769265e-01
3.585933e+00	7.686319e-01
3.562495e+00	7.575725e-01
3.539058e+00	7.465131e-01
3.515620e+00	7.354536e-01
3.492183e+00	7.271590e-01
3.468745e+00	7.188644e-01
3.445308e+00	7.105699e-01
3.421870e+00	7.022753e-01
3.398433e+00	6.884509e-01
3.374995e+00	6.746266e-01
3.351558e+00	6.663320e-01
3.328121e+00	6.580374e-01
3.304683e+00	6.469780e-01
3.281246e+00	6.276239e-01
3.257808e+00	6.137996e-01
3.234371e+00	6.082699e-01
3.210933e+00	5.999753e-01
3.187496e+00	5.861510e-01
3.164058e+00	5.750915e-01
3.140621e+00	5.667969e-01
3.117183e+00	5.557375e-01
3.093746e+00	5.419132e-01
3.070309e+00	5.253240e-01
3.046871e+00	5.197943e-01
3.023434e+00	5.087348e-01
2.999996e+00	4.949105e-01
2.976559e+00	4.755565e-01
2.953121e+00	4.506727e-01
2.929684e+00	4.451430e-01
2.906246e+00	4.396132e-01
2.882809e+00	4.340835e-01
2.859372e+00	4.285538e-01
2.835934e+00	4.230241e-01
2.812497e+00	4.147295e-01
2.789059e+00	4.064349e-01
2.765622e+00	3.981403e-01
2.742184e+00	3.898457e-01
2.718747e+00	3.787863e-01
2.695309e+00	3.704917e-01
2.671872e+00	3.594322e-01
2.648434e+00	4.617322e-01
2.624997e+00	4.589673e-01
2.601560e+00	4.562024e-01
2.578122e+00	4.534376e-01
2.554685e+00	4.534376e-01
2.531247e+00	4.506727e-01
2.507810e+00	4.506727e-01
2.484372e+00	4.451430e-01
2.460935e+00	4.396132e-01
2.437497e+00	4.368484e-01
2.414060e+00	4.340835e-01
2.390623e+00	4.285538e-01
2.367185e+00	4.257889e-01
2.343748e+00	4.202592e-01
2.320310e+00	4.174943e-01
2.296873e+00	4.147295e-01
2.273435e+00	4.119646e-01
2.249998e+00	4.119646e-01
2.226560e+00	4.091997e-01
2.203123e+00	4.009052e-01
2.179685e+00	3.953754e-01
2.156248e+00	3.870808e-01
2.132811e+00	3.815511e-01
2.109373e+00	3.704917e-01
2.085936e+00	3.594322e-01
2.062498e+00	3.400782e-01
2.039061e+00	3.317836e-01
2.015623e+00	3.207241e-01
1.992186e+00	3.649619e-01
1.968748e+00	4.893808e-01
1.945311e+00	4.506727e-01
1.921873e+00	4.257889e-01
1.898436e+00	4.202592e-01
1.874999e+00	3.898457e-01
1.851561e+00	3.539025e-01
1.828124e+00	3.483728e-01
1.804686e+00	3.428430e-01
1.781249e+00	3.373133e-01
1.757811e+00	3.290187e-01
1.734374e+00	3.179593e-01
1.710936e+00	3.068998e-01
1.687499e+00	2.986052e-01
1.664062e+00	2.903106e-01
1.640624e+00	2.847809e-01
1.617187e+00	2.820160e-01
1.593749e+00	2.737215e-01
1.570312e+00	2.654269e-01
1.546874e+00	2.571323e-01
1.523437e+00	2.460728e-01
1.499999e+00	2.322485e-01
1.476562e+00	2.239539e-01
1.453124e+00	2.128945e-01
