实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为3000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
2.988287e+00	1.045118e+00
2.976568e+00	1.036824e+00
2.964849e+00	1.045118e+00
2.953130e+00	1.045118e+00
2.941411e+00	1.047883e+00
2.929693e+00	1.053413e+00
2.917974e+00	1.056178e+00
2.906255e+00	1.058943e+00
2.894536e+00	1.061708e+00
2.882817e+00	1.061708e+00
2.871098e+00	1.064472e+00
2.859379e+00	1.067237e+00
2.847661e+00	1.070002e+00
2.835942e+00	1.072767e+00
2.824223e+00	1.075532e+00
2.812504e+00	1.075532e+00
2.800785e+00	1.078297e+00
2.789066e+00	1.081062e+00
2.777348e+00	1.083826e+00
2.765629e+00	1.089356e+00
2.753910e+00	1.086591e+00
2.742191e+00	1.092121e+00
2.730472e+00	1.094886e+00
2.718753e+00	1.094886e+00
2.707035e+00	1.097651e+00
2.695316e+00	1.100415e+00
2.683597e+00	1.103180e+00
2.671878e+00	1.105945e+00
2.660159e+00	1.108710e+00
2.648440e+00	1.108710e+00
2.636722e+00	1.117005e+00
2.625003e+00	1.114240e+00
2.613284e+00	1.117005e+00
2.601565e+00	1.119770e+00
2.589846e+00	1.122534e+00
2.578127e+00	1.125299e+00
2.566409e+00	1.130829e+00
2.554690e+00	1.133594e+00
2.542971e+00	1.133594e+00
2.531252e+00	1.141888e+00
2.519533e+00	1.139124e+00
2.507814e+00	1.144653e+00
2.496095e+00	1.144653e+00
2.484377e+00	1.144653e+00
2.472658e+00	1.152948e+00
2.460939e+00	1.152948e+00
2.449220e+00	1.155713e+00
2.437501e+00	1.155713e+00
2.425782e+00	1.161242e+00
2.414064e+00	1.166772e+00
2.402345e+00	1.169537e+00
2.390626e+00	1.169537e+00
2.378907e+00	1.172302e+00
2.367188e+00	1.177832e+00
2.355469e+00	1.177832e+00
2.343751e+00	1.180597e+00
2.332032e+00	1.186126e+00
2.320313e+00	1.188891e+00
2.308594e+00	1.194421e+00
2.296875e+00	1.197186e+00
2.285156e+00	1.197186e+00
2.273438e+00	1.205480e+00
2.261719e+00	1.208245e+00
2.250000e+00	1.213775e+00
2.238281e+00	1.216540e+00
2.226562e+00	1.219305e+00
2.214843e+00	1.222069e+00
2.203124e+00	1.224834e+00
2.191406e+00	1.230364e+00
2.179687e+00	1.235894e+00
2.167968e+00	1.238659e+00
2.156249e+00	1.241424e+00
2.144530e+00	1.249718e+00
2.132811e+00	1.252483e+00
2.121093e+00	1.258013e+00
2.109374e+00	1.260778e+00
2.097655e+00	1.263542e+00
2.085936e+00	1.266307e+00
2.074217e+00	1.271837e+00
2.062498e+00	1.277367e+00
2.050780e+00	1.280132e+00
2.039061e+00	1.285661e+00
2.027342e+00	1.288426e+00
2.015623e+00	1.293956e+00
2.003904e+00	1.299486e+00
1.992185e+00	1.302251e+00
1.980467e+00	1.305015e+00
1.968748e+00	1.310545e+00
1.957029e+00	1.313310e+00
1.945310e+00	1.318840e+00
1.933591e+00	1.327134e+00
1.921872e+00	1.329899e+00
1.910154e+00	1.329899e+00
1.898435e+00	1.338194e+00
1.886716e+00	1.340959e+00
1.874997e+00	1.343724e+00
1.863279e+00	1.349253e+00
1.851560e+00	1.352018e+00
1.839841e+00	1.354783e+00
1.828122e+00	1.357548e+00
1.816404e+00	1.360313e+00
1.804685e+00	1.371372e+00
1.792966e+00	1.374137e+00
1.781248e+00	1.379667e+00
1.769529e+00	1.382432e+00
1.757810e+00	1.385196e+00
1.746091e+00	1.393491e+00
1.734373e+00	1.396256e+00
1.722654e+00	1.399021e+00
1.710935e+00	1.407315e+00
1.699216e+00	1.410080e+00
1.687498e+00	1.415610e+00
1.675779e+00	1.421140e+00
1.664060e+00	1.426669e+00
1.652342e+00	1.432199e+00
1.640623e+00	1.437729e+00
1.628904e+00	1.440494e+00
1.617185e+00	1.446023e+00
1.605467e+00	1.448788e+00
1.593748e+00	1.457083e+00
1.582029e+00	1.459848e+00
1.570310e+00	1.462613e+00
1.558592e+00	1.473672e+00
1.546873e+00	1.479202e+00
1.535154e+00	1.481967e+00
1.523436e+00	1.481967e+00
1.511717e+00	1.490261e+00
1.499998e+00	1.493026e+00
1.488279e+00	1.498556e+00
1.476561e+00	1.504086e+00
1.464842e+00	1.509615e+00
1.453123e+00	1.515145e+00
1.441404e+00	1.517910e+00
1.429686e+00	1.523440e+00
1.417967e+00	1.526205e+00
1.406248e+00	1.534499e+00
1.394530e+00	1.537264e+00
1.382811e+00	1.542794e+00
1.371092e+00	1.548323e+00
1.359373e+00	1.548323e+00
1.347655e+00	1.553853e+00
1.335936e+00	1.559383e+00
1.324217e+00	1.564913e+00
1.312499e+00	1.567677e+00
1.300780e+00	1.575972e+00
1.289061e+00	1.575972e+00
1.277342e+00	1.584267e+00
1.265624e+00	1.587031e+00
1.253905e+00	1.592561e+00
1.242186e+00	1.598091e+00
1.230467e+00	1.598091e+00
1.218749e+00	1.606385e+00
1.207030e+00	1.609150e+00
1.195311e+00	1.611915e+00
1.183593e+00	1.622975e+00
1.171874e+00	1.625740e+00
1.160155e+00	1.628504e+00
1.148436e+00	1.636799e+00
1.136718e+00	1.639564e+00
1.124999e+00	1.642329e+00
1.113280e+00	1.647858e+00
1.101561e+00	1.650623e+00
1.089843e+00	1.653388e+00
1.078124e+00	1.661683e+00
1.066405e+00	1.664448e+00
1.054687e+00	1.669977e+00
1.042968e+00	1.672742e+00
1.031249e+00	1.678272e+00
1.019530e+00	1.681037e+00
1.007812e+00	1.683802e+00
9.960929e-01	1.683802e+00
9.843742e-01	1.686567e+00
9.726555e-01	1.694861e+00
9.609367e-01	1.697626e+00
9.492180e-01	1.700391e+00
9.374993e-01	1.703156e+00
9.257806e-01	1.711450e+00
9.140618e-01	1.714215e+00
9.023431e-01	1.719745e+00
8.906244e-01	1.719745e+00
8.789057e-01	1.722510e+00
8.671869e-01	1.728039e+00
8.554682e-01	1.733569e+00
8.437495e-01	1.739099e+00
8.320308e-01	1.744629e+00
8.203120e-01	1.747394e+00
8.085933e-01	1.750158e+00
7.968746e-01	1.758453e+00
7.851559e-01	1.758453e+00
7.734371e-01	1.761218e+00
7.617184e-01	1.766748e+00
7.499997e-01	1.772277e+00
7.382810e-01	1.775042e+00
7.265622e-01	1.777807e+00
7.148435e-01	1.786102e+00
7.031248e-01	1.786102e+00
6.914061e-01	1.791631e+00
6.796873e-01	1.794396e+00
6.679686e-01	1.799926e+00
6.562499e-01	1.802691e+00
6.445312e-01	1.802691e+00
6.328124e-01	1.805456e+00
6.210937e-01	1.808221e+00
6.093750e-01	1.810986e+00
5.976563e-01	1.813750e+00
5.859375e-01	1.816515e+00
5.742188e-01	1.822045e+00
5.625001e-01	1.827574e+00
5.507814e-01	1.830339e+00
5.390626e-01	1.833104e+00
5.273439e-01	1.835869e+00
5.156252e-01	1.838634e+00
5.039064e-01	1.841399e+00
4.921877e-01	1.841399e+00
4.804690e-01	1.846929e+00
4.687502e-01	1.852458e+00
4.570315e-01	1.855223e+00
4.453127e-01	1.857988e+00
4.335940e-01	1.857988e+00
4.218752e-01	1.860753e+00
4.101565e-01	1.866283e+00
3.984377e-01	1.863518e+00
3.867190e-01	1.869048e+00
3.750002e-01	1.869048e+00
3.632815e-01	1.871812e+00
3.515627e-01	1.877342e+00
3.398440e-01	1.880107e+00
3.281252e-01	1.880107e+00
3.164064e-01	1.885637e+00
3.046877e-01	1.888402e+00
2.929689e-01	1.891166e+00
2.812502e-01	1.893931e+00
2.695314e-01	1.893931e+00
2.578127e-01	1.893931e+00
2.460939e-01	1.899461e+00
2.343752e-01	1.899461e+00
2.226564e-01	1.907756e+00
2.109377e-01	1.907756e+00
1.992189e-01	1.910520e+00
1.875001e-01	1.910520e+00
1.757814e-01	1.913285e+00
1.640626e-01	1.918815e+00
1.523439e-01	1.916050e+00
1.406251e-01	1.918815e+00
1.289064e-01	1.924345e+00
1.171876e-01	1.929875e+00
1.054689e-01	1.932639e+00
9.375012e-02	1.932639e+00
8.203136e-02	1.935404e+00
7.031261e-02	1.938169e+00
5.859386e-02	1.943699e+00
4.687511e-02	1.946464e+00
3.515636e-02	1.946464e+00
2.343761e-02	1.946464e+00
1.171886e-02	1.949228e+00
1.065814e-07	1.951993e+00
