实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2000nm，下压力为3uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。 
   um         	uN
1.992182e+00	5.665205e+00
1.984369e+00	5.662440e+00
1.976557e+00	5.673499e+00
1.968744e+00	5.673499e+00
1.960932e+00	5.665205e+00
1.953119e+00	5.662440e+00
1.945306e+00	5.662440e+00
1.937494e+00	5.662440e+00
1.929681e+00	5.654145e+00
1.921869e+00	5.654145e+00
1.914056e+00	5.656910e+00
1.906244e+00	5.648616e+00
1.898431e+00	5.651380e+00
1.890619e+00	5.648616e+00
1.882806e+00	5.634791e+00
1.874994e+00	5.634791e+00
1.867181e+00	5.632026e+00
1.859369e+00	5.629262e+00
1.851557e+00	5.623731e+00
1.843744e+00	5.615437e+00
1.835932e+00	5.615437e+00
1.828119e+00	5.598848e+00
1.820307e+00	5.601612e+00
1.812494e+00	5.590553e+00
1.804682e+00	5.582259e+00
1.796869e+00	5.579494e+00
1.789057e+00	5.573964e+00
1.781245e+00	5.571199e+00
1.773432e+00	5.557375e+00
1.765620e+00	5.557375e+00
1.757807e+00	5.551845e+00
1.749995e+00	5.540786e+00
1.742182e+00	5.532491e+00
1.734370e+00	5.526962e+00
1.726557e+00	5.521432e+00
1.718745e+00	5.510372e+00
1.710933e+00	5.502078e+00
1.703120e+00	5.504843e+00
1.695308e+00	5.491018e+00
1.687495e+00	5.479959e+00
1.679683e+00	5.482724e+00
1.671870e+00	5.471664e+00
1.664058e+00	5.466135e+00
1.656245e+00	5.457840e+00
1.648433e+00	5.455075e+00
1.640621e+00	5.444016e+00
1.632808e+00	5.435721e+00
1.624996e+00	5.430191e+00
1.617183e+00	5.424662e+00
1.609371e+00	5.419132e+00
1.601558e+00	5.410837e+00
1.593746e+00	5.408072e+00
1.585933e+00	5.402543e+00
1.578121e+00	5.394248e+00
