实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为3500nm，下压力为3uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
3.486339e+00	3.552849e+00
3.472667e+00	3.563909e+00
3.458995e+00	3.583263e+00
3.445324e+00	3.597087e+00
3.431652e+00	3.597087e+00
3.417980e+00	3.599852e+00
3.404308e+00	3.597087e+00
3.390636e+00	3.605382e+00
3.376964e+00	3.599852e+00
3.363292e+00	3.602617e+00
3.349620e+00	3.608146e+00
3.335948e+00	3.591557e+00
3.322276e+00	3.602617e+00
3.308604e+00	3.594322e+00
3.294932e+00	3.594322e+00
3.281260e+00	3.591557e+00
3.267588e+00	3.594322e+00
3.253916e+00	3.588792e+00
3.240244e+00	3.588792e+00
3.226572e+00	3.586028e+00
3.212900e+00	3.580498e+00
3.199228e+00	3.580498e+00
3.185556e+00	3.577733e+00
3.171884e+00	3.574968e+00
3.158212e+00	3.572203e+00
3.144540e+00	3.572203e+00
3.130868e+00	3.563909e+00
3.117196e+00	3.572203e+00
3.103524e+00	3.563909e+00
3.089852e+00	3.561144e+00
3.076180e+00	3.561144e+00
3.062508e+00	3.555614e+00
3.048836e+00	3.552849e+00
3.035164e+00	3.550084e+00
3.021492e+00	3.547319e+00
3.007820e+00	3.544554e+00
2.994148e+00	3.539025e+00
2.980476e+00	3.533495e+00
2.966804e+00	3.533495e+00
2.953132e+00	3.527965e+00
2.939460e+00	3.516906e+00
2.925788e+00	3.514141e+00
2.912116e+00	3.508611e+00
2.898444e+00	3.500317e+00
2.884772e+00	3.483728e+00
2.871100e+00	3.486492e+00
2.857428e+00	3.472668e+00
2.843756e+00	3.461609e+00
2.830084e+00	3.450549e+00
2.816412e+00	3.439490e+00
2.802740e+00	3.428430e+00
2.789069e+00	3.414606e+00
2.775397e+00	3.403547e+00
2.761725e+00	3.392487e+00
2.748053e+00	3.373133e+00
2.734381e+00	3.356544e+00
2.720709e+00	3.345484e+00
2.707037e+00	3.326131e+00
2.693365e+00	3.306776e+00
2.679693e+00	3.292952e+00
2.666021e+00	3.270833e+00
2.652349e+00	3.254244e+00
2.638677e+00	3.234890e+00
2.625005e+00	3.223831e+00
2.611333e+00	3.196182e+00
2.597661e+00	3.179593e+00
2.583989e+00	3.160239e+00
2.570317e+00	3.135355e+00
2.556645e+00	3.110471e+00
2.542973e+00	3.102176e+00
2.529301e+00	3.074528e+00
2.515629e+00	3.049644e+00
2.501957e+00	3.030290e+00
2.488285e+00	3.019231e+00
2.474613e+00	2.988817e+00
2.460941e+00	2.955639e+00
2.447269e+00	2.944579e+00
2.433597e+00	2.916931e+00
2.419925e+00	2.894812e+00
2.406253e+00	2.880987e+00
2.392581e+00	2.864398e+00
2.378909e+00	2.836749e+00
2.365237e+00	2.820160e+00
2.351565e+00	2.803571e+00
2.337893e+00	2.786982e+00
2.324221e+00	2.770393e+00
2.310549e+00	2.756568e+00
2.296877e+00	2.723390e+00
2.283205e+00	2.704036e+00
2.269533e+00	2.687447e+00
2.255861e+00	2.665328e+00
2.242189e+00	2.632150e+00
2.228517e+00	2.601736e+00
2.214845e+00	2.579617e+00
