实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为1500nm，下压力为10nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为带小孔的氮化硅，此时将薄膜悬浮在小孔上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
1.497077e+00	3.270744e+01
1.494148e+00	2.320816e+01
1.491218e+00	8.862306e+00
1.488288e+00	-8.695872e+00
1.485359e+00	-2.713998e+01
1.482429e+00	-4.627644e+01
1.479499e+00	-6.505287e+01
1.476569e+00	-8.377393e+01
1.473640e+00	-8.568480e+01
1.470710e+00	1.273956e+01
1.467780e+00	1.285034e+01
1.464851e+00	1.282265e+01
1.461921e+00	1.273956e+01
1.458991e+00	1.285034e+01
1.456061e+00	1.293343e+01
1.453132e+00	1.301651e+01
1.450202e+00	1.293343e+01
1.447272e+00	1.293343e+01
1.444343e+00	1.293343e+01
1.441413e+00	1.293343e+01
1.438483e+00	1.287804e+01
1.435553e+00	1.293343e+01
1.432624e+00	1.296112e+01
1.429694e+00	1.293343e+01
1.426764e+00	1.304421e+01
1.423835e+00	1.296112e+01
1.420905e+00	1.290573e+01
1.417975e+00	1.279495e+01
1.415046e+00	1.282265e+01
1.412116e+00	1.279495e+01
1.409186e+00	1.285034e+01
1.406256e+00	1.279495e+01
1.403327e+00	1.276726e+01
1.400397e+00	1.273956e+01
1.397467e+00	1.276726e+01
1.394538e+00	1.276726e+01
1.391608e+00	1.273956e+01
1.388678e+00	1.282265e+01
1.385748e+00	1.282265e+01
1.382819e+00	1.279495e+01
1.379889e+00	1.271187e+01
1.376959e+00	1.285034e+01
1.374030e+00	1.276726e+01
1.371100e+00	1.290573e+01
1.368170e+00	1.290573e+01
1.365240e+00	1.290573e+01
1.362311e+00	1.268417e+01
1.359381e+00	1.273956e+01
1.356451e+00	1.268417e+01
1.353522e+00	1.268417e+01
1.350592e+00	1.271187e+01
1.347662e+00	1.273956e+01
1.344732e+00	1.271187e+01
1.341803e+00	1.268417e+01
1.338873e+00	1.260109e+01
1.335943e+00	1.273956e+01
1.333014e+00	1.271187e+01
1.330084e+00	1.279495e+01
1.327154e+00	1.279495e+01
1.324225e+00	1.279495e+01
1.321295e+00	1.276726e+01
1.318365e+00	1.285034e+01
1.315435e+00	1.282265e+01
1.312506e+00	1.287804e+01
1.309576e+00	1.290573e+01
1.306646e+00	1.285034e+01
1.303717e+00	1.276726e+01
1.300787e+00	1.260109e+01
1.297857e+00	1.265648e+01
1.294927e+00	1.257340e+01
1.291998e+00	1.265648e+01
1.289068e+00	1.262879e+01
1.286138e+00	1.260109e+01
1.283209e+00	1.260109e+01
1.280279e+00	1.260109e+01
1.277349e+00	1.262879e+01
1.274419e+00	1.268417e+01
1.271490e+00	1.271187e+01
1.268560e+00	1.279495e+01
1.265630e+00	1.271187e+01
1.262701e+00	1.271187e+01
1.259771e+00	1.271187e+01
1.256841e+00	1.282265e+01
1.253911e+00	1.276726e+01
1.250982e+00	1.265648e+01
1.248052e+00	1.271187e+01
1.245122e+00	1.273956e+01
1.242193e+00	1.271187e+01
1.239263e+00	1.257340e+01
1.236333e+00	1.257340e+01
1.233404e+00	1.251801e+01
1.230474e+00	1.254570e+01
1.227544e+00	1.257340e+01
1.224614e+00	1.249031e+01
1.221685e+00	1.254570e+01
1.218755e+00	1.249031e+01
1.215825e+00	1.265648e+01
1.212896e+00	1.260109e+01
1.209966e+00	1.271187e+01
1.207036e+00	1.262879e+01
1.204106e+00	1.265648e+01
1.201177e+00	1.260109e+01
1.198247e+00	1.262879e+01
1.195317e+00	1.265648e+01
1.192388e+00	1.262879e+01
1.189458e+00	1.265648e+01
1.186528e+00	1.262879e+01
1.183598e+00	1.271187e+01
1.180669e+00	1.265648e+01
1.177739e+00	1.260109e+01
1.174809e+00	1.249031e+01
1.171880e+00	1.254570e+01
1.168950e+00	1.249031e+01
1.166020e+00	1.265648e+01
1.163090e+00	1.251801e+01
1.160161e+00	1.257340e+01
1.157231e+00	1.254570e+01
1.154301e+00	1.260109e+01
1.151372e+00	1.260109e+01
1.148442e+00	1.260109e+01
1.145512e+00	1.260109e+01
1.142583e+00	1.262879e+01
1.139653e+00	1.260109e+01
1.136723e+00	1.265648e+01
1.133793e+00	1.257340e+01
1.130864e+00	1.265648e+01
1.127934e+00	1.265648e+01
1.125004e+00	1.262879e+01
1.122075e+00	1.260109e+01
1.119145e+00	1.254570e+01
1.116215e+00	1.251801e+01
1.113285e+00	1.251801e+01
1.110356e+00	1.246262e+01
1.107426e+00	1.251801e+01
1.104496e+00	1.257340e+01
1.101567e+00	1.254570e+01
1.098637e+00	1.251801e+01
1.095707e+00	1.251801e+01
1.092777e+00	1.246262e+01
1.089848e+00	1.254570e+01
1.086918e+00	1.257340e+01
1.083988e+00	1.262879e+01
1.081059e+00	1.260109e+01
1.078129e+00	1.257340e+01
1.075199e+00	1.262879e+01
1.072269e+00	1.260109e+01
1.069340e+00	1.260109e+01
1.066410e+00	1.262879e+01
1.063480e+00	1.254570e+01
1.060551e+00	1.262879e+01
1.057621e+00	1.251801e+01
1.054691e+00	1.246262e+01
1.051762e+00	1.243492e+01
1.048832e+00	1.235184e+01
1.045902e+00	1.240723e+01
1.042972e+00	1.237953e+01
1.040043e+00	1.243492e+01
1.037113e+00	1.237953e+01
1.034183e+00	1.237953e+01
1.031254e+00	1.237953e+01
1.028324e+00	1.232414e+01
1.025394e+00	1.243492e+01
1.022464e+00	1.251801e+01
1.019535e+00	1.246262e+01
1.016605e+00	1.237953e+01
1.013675e+00	1.240723e+01
1.010746e+00	1.235184e+01
1.007816e+00	1.246262e+01
1.004886e+00	1.246262e+01
1.001956e+00	1.251801e+01
9.990267e-01	1.240723e+01
9.960970e-01	1.226875e+01
9.931673e-01	1.235184e+01
9.902376e-01	1.232414e+01
9.873079e-01	1.226875e+01
9.843782e-01	1.232414e+01
9.814485e-01	1.229645e+01
9.785188e-01	1.232414e+01
9.755890e-01	1.232414e+01
9.726593e-01	1.226875e+01
9.697296e-01	1.232414e+01
9.667999e-01	1.226875e+01
9.638702e-01	1.240723e+01
9.609405e-01	1.224106e+01
9.580108e-01	1.224106e+01
9.550811e-01	1.224106e+01
9.521514e-01	1.221336e+01
9.492217e-01	1.221336e+01
9.462919e-01	1.224106e+01
9.433622e-01	1.232414e+01
9.404325e-01	1.229645e+01
9.375028e-01	1.226875e+01
9.345731e-01	1.224106e+01
9.316434e-01	1.221336e+01
9.287137e-01	1.215798e+01
9.257840e-01	1.213028e+01
9.228543e-01	1.215798e+01
9.199246e-01	1.221336e+01
9.169948e-01	1.210259e+01
9.140651e-01	1.204720e+01
9.111354e-01	1.221336e+01
9.082057e-01	1.224106e+01
9.052760e-01	1.215798e+01
9.023463e-01	1.221336e+01
8.994166e-01	1.207489e+01
8.964869e-01	1.218567e+01
8.935572e-01	1.232414e+01
8.906275e-01	1.224106e+01
8.876978e-01	1.224106e+01
8.847680e-01	1.229645e+01
8.818383e-01	1.226875e+01
8.789086e-01	1.229645e+01
8.759789e-01	1.224106e+01
8.730492e-01	1.221336e+01
8.701195e-01	1.213028e+01
8.671898e-01	1.210259e+01
8.642601e-01	1.210259e+01
8.613304e-01	1.215798e+01
8.584007e-01	1.215798e+01
8.554709e-01	1.218567e+01
8.525412e-01	1.213028e+01
8.496115e-01	1.221336e+01
8.466818e-01	1.224106e+01
8.437521e-01	1.229645e+01
8.408224e-01	1.229645e+01
8.378927e-01	1.232414e+01
8.349630e-01	1.224106e+01
8.320333e-01	1.218567e+01
8.291036e-01	1.218567e+01
8.261738e-01	1.226875e+01
8.232441e-01	1.226875e+01
8.203144e-01	1.229645e+01
8.173847e-01	1.224106e+01
8.144550e-01	1.218567e+01
