实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为2800nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
2.789067e+00	8.432295e+00
2.778129e+00	8.289777e+00
2.767192e+00	8.242271e+00
2.756254e+00	8.194766e+00
2.745316e+00	8.123506e+00
2.734379e+00	8.123506e+00
2.723441e+00	8.099754e+00
2.712504e+00	7.980989e+00
2.701566e+00	7.885977e+00
2.690628e+00	7.838471e+00
2.679691e+00	7.838471e+00
2.668753e+00	7.695953e+00
2.657816e+00	7.624695e+00
2.646878e+00	7.553436e+00
2.635941e+00	7.482178e+00
2.625003e+00	7.505930e+00
2.614065e+00	7.434671e+00
2.603128e+00	7.363413e+00
2.592190e+00	7.315907e+00
2.581253e+00	7.244648e+00
2.570315e+00	7.268401e+00
2.559377e+00	7.220895e+00
2.548440e+00	7.102130e+00
2.537502e+00	6.959612e+00
2.526565e+00	6.888353e+00
2.515627e+00	6.769589e+00
2.504690e+00	6.769589e+00
2.493752e+00	6.745836e+00
2.482814e+00	6.650824e+00
2.471877e+00	6.627071e+00
2.460939e+00	6.532059e+00
2.450002e+00	6.555812e+00
2.439064e+00	6.389542e+00
2.428126e+00	6.318283e+00
2.417189e+00	6.175765e+00
2.406251e+00	6.104506e+00
2.395314e+00	6.057001e+00
2.384376e+00	6.152012e+00
2.373439e+00	6.057001e+00
2.362501e+00	5.985742e+00
2.351563e+00	5.961989e+00
2.340626e+00	5.914483e+00
2.329688e+00	5.819471e+00
2.318751e+00	5.748212e+00
2.307813e+00	5.700707e+00
2.296875e+00	5.581942e+00
2.285938e+00	5.486930e+00
2.275000e+00	5.510683e+00
2.264063e+00	5.534436e+00
2.253125e+00	5.534436e+00
2.242188e+00	5.486930e+00
2.231250e+00	5.439424e+00
2.220312e+00	5.368165e+00
2.209375e+00	5.225647e+00
2.198437e+00	5.130636e+00
2.187500e+00	5.130636e+00
2.176562e+00	5.035624e+00
2.165624e+00	4.964365e+00
2.154687e+00	4.964365e+00
2.143749e+00	4.821847e+00
2.132812e+00	4.750589e+00
2.121874e+00	4.703083e+00
2.110937e+00	4.703083e+00
2.099999e+00	4.560565e+00
2.089061e+00	4.441800e+00
2.078124e+00	4.370542e+00
2.067186e+00	4.323036e+00
2.056249e+00	4.299283e+00
2.045311e+00	4.251777e+00
2.034373e+00	4.204271e+00
2.023436e+00	4.228024e+00
2.012498e+00	4.085506e+00
2.001561e+00	4.085506e+00
1.990623e+00	4.038000e+00
1.979686e+00	3.895483e+00
1.968748e+00	3.824224e+00
1.957810e+00	3.776718e+00
1.946873e+00	3.681706e+00
1.935935e+00	3.657953e+00
1.924998e+00	3.610447e+00
1.914060e+00	3.586694e+00
1.903123e+00	3.562941e+00
1.892185e+00	3.539188e+00
1.881248e+00	3.539188e+00
1.870310e+00	3.467930e+00
1.859373e+00	3.420424e+00
1.848435e+00	3.254153e+00
1.837498e+00	3.159141e+00
1.826560e+00	3.135389e+00
1.815623e+00	3.111636e+00
1.804685e+00	3.016624e+00
1.793748e+00	2.945365e+00
1.782810e+00	2.921612e+00
1.771873e+00	2.921612e+00
1.760935e+00	2.802847e+00
1.749998e+00	2.612824e+00
1.739061e+00	2.541565e+00
1.728123e+00	2.494059e+00
1.717186e+00	2.470306e+00
1.706248e+00	2.422800e+00
1.695311e+00	2.517812e+00
1.684373e+00	2.327788e+00
1.673436e+00	2.280283e+00
1.662498e+00	2.232777e+00
1.651561e+00	2.209024e+00
1.640623e+00	2.137765e+00
1.629686e+00	2.042753e+00
1.618748e+00	1.995247e+00
1.607811e+00	1.947741e+00
1.596873e+00	1.947741e+00
1.585936e+00	1.995247e+00
1.574998e+00	1.923988e+00
1.564061e+00	1.828977e+00
1.553124e+00	1.805224e+00
1.542186e+00	1.781471e+00
1.531249e+00	1.757718e+00
1.520311e+00	1.567694e+00
1.509374e+00	1.448930e+00
1.498436e+00	1.401424e+00
1.487499e+00	1.330165e+00
1.476561e+00	1.306412e+00
1.465624e+00	1.282659e+00
1.454686e+00	1.187647e+00
1.443749e+00	1.187647e+00
1.432811e+00	1.140141e+00
1.421874e+00	1.021377e+00
1.410936e+00	9.026118e-01
1.399999e+00	8.551059e-01
1.389061e+00	8.551059e-01
1.378124e+00	7.125883e-01
1.367187e+00	6.413295e-01
1.356249e+00	6.888354e-01
1.345312e+00	6.175765e-01
1.334374e+00	4.988118e-01
1.323437e+00	4.513059e-01
1.312499e+00	4.275530e-01
1.301562e+00	3.325412e-01
1.290624e+00	2.612824e-01
1.279687e+00	2.850353e-01
1.268749e+00	1.662706e-01
1.257812e+00	7.125883e-02
1.246874e+00	7.125883e-02
1.235937e+00	2.375294e-02
1.224999e+00	2.375294e-02
1.214062e+00	-7.125665e-02
1.203124e+00	-7.125665e-02
1.192187e+00	-1.187611e-01
1.181250e+00	-2.375222e-01
1.170312e+00	-3.325311e-01
1.159375e+00	-4.037877e-01
1.148437e+00	-5.463010e-01
1.137500e+00	-5.938054e-01
1.126562e+00	-5.463010e-01
1.115625e+00	-6.888143e-01
1.104687e+00	-7.363188e-01
1.093750e+00	-7.363188e-01
1.082812e+00	-8.550798e-01
1.071875e+00	-9.500888e-01
1.060937e+00	-9.975931e-01
1.050000e+00	-1.045098e+00
1.039062e+00	-1.116354e+00
1.028125e+00	-1.258868e+00
1.017188e+00	-1.235115e+00
1.006250e+00	-1.353876e+00
9.953126e-01	-1.353876e+00
9.843751e-01	-1.353876e+00
9.734376e-01	-1.401381e+00
9.625002e-01	-1.543894e+00
9.515626e-01	-1.662655e+00
9.406251e-01	-1.662655e+00
9.296876e-01	-1.733912e+00
9.187501e-01	-1.805169e+00
9.078125e-01	-1.852673e+00
8.968750e-01	-1.876425e+00
8.859375e-01	-1.852673e+00
8.750000e-01	-1.852673e+00
8.640624e-01	-1.876425e+00
8.531249e-01	-1.947682e+00
8.421874e-01	-2.137700e+00
8.312498e-01	-2.232708e+00
8.203123e-01	-2.280213e+00
8.093748e-01	-2.375222e+00
7.984373e-01	-2.422726e+00
7.874997e-01	-2.375222e+00
7.765622e-01	-2.422726e+00
7.656247e-01	-2.541487e+00
7.546872e-01	-2.588992e+00
7.437496e-01	-2.565240e+00
7.328121e-01	-2.684001e+00
7.218746e-01	-2.874018e+00
7.109371e-01	-2.945275e+00
6.999995e-01	-2.969027e+00
6.890620e-01	-3.040284e+00
6.781245e-01	-3.016532e+00
6.671870e-01	-3.087788e+00
6.562494e-01	-3.230302e+00
6.453119e-01	-3.277806e+00
6.343744e-01	-3.277806e+00
6.234368e-01	-3.301558e+00
6.124993e-01	-3.491576e+00
6.015618e-01	-3.539081e+00
5.906243e-01	-3.586585e+00
5.796867e-01	-3.610337e+00
5.687492e-01	-3.657842e+00
