实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为1000nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	nN
9.960909e+02	8.002367e+01
9.921846e+02	7.973863e+01
9.882783e+02	8.083126e+01
9.843720e+02	8.156761e+01
9.804658e+02	8.320656e+01
9.765595e+02	8.282652e+01
9.726532e+02	8.394290e+01
9.687469e+02	8.427545e+01
9.648406e+02	8.434670e+01
9.609344e+02	8.399041e+01
9.570281e+02	8.484551e+01
9.531219e+02	8.482176e+01
9.492156e+02	8.446546e+01
9.453094e+02	8.515430e+01
9.414032e+02	8.591439e+01
9.374970e+02	8.579563e+01
9.335907e+02	8.553435e+01
9.296845e+02	8.603316e+01
9.257783e+02	8.615192e+01
9.218721e+02	8.629444e+01
9.179658e+02	8.638946e+01
9.140596e+02	8.743459e+01
9.101534e+02	8.646072e+01
9.062472e+02	8.657948e+01
9.023410e+02	8.736333e+01
8.984347e+02	8.676950e+01
8.945285e+02	8.686451e+01
8.906223e+02	8.726831e+01
8.867161e+02	8.705454e+01
8.828098e+02	8.798090e+01
8.789036e+02	8.686451e+01
8.749974e+02	8.700703e+01
8.710912e+02	8.743459e+01
8.671850e+02	8.643696e+01
8.632787e+02	8.748209e+01
8.593725e+02	8.584314e+01
8.554663e+02	8.610442e+01
8.515601e+02	8.541559e+01
8.476538e+02	8.572437e+01
8.437476e+02	8.615192e+01
8.398414e+02	8.562936e+01
8.359352e+02	8.636570e+01
8.320289e+02	8.513055e+01
8.281227e+02	8.482176e+01
8.242165e+02	8.515430e+01
8.203103e+02	8.420418e+01
8.164041e+02	8.406166e+01
8.124978e+02	8.368162e+01
8.085916e+02	8.308779e+01
8.046854e+02	8.349159e+01
8.007792e+02	8.251772e+01
7.968729e+02	8.301654e+01
7.929667e+02	8.294528e+01
7.890605e+02	8.149635e+01
7.851543e+02	8.232770e+01
7.812480e+02	8.175763e+01
7.773418e+02	8.204267e+01
7.734356e+02	8.171013e+01
7.695294e+02	8.097378e+01
7.656232e+02	8.056998e+01
7.617169e+02	7.999991e+01
