实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为1500nm，下压力为100nN。
AFM探针型号为RTESPA-150，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	nN
1.494142e+00	5.285030e+01
1.488282e+00	5.258902e+01
1.482423e+00	5.296906e+01
1.476563e+00	5.277904e+01
1.470704e+00	5.296906e+01
1.464844e+00	5.289780e+01
1.458985e+00	5.270778e+01
1.453126e+00	5.247025e+01
1.447266e+00	5.266028e+01
1.441407e+00	5.242275e+01
1.435547e+00	5.137762e+01
1.429688e+00	5.114009e+01
1.423829e+00	5.052251e+01
1.417969e+00	5.040375e+01
1.412110e+00	5.016622e+01
1.406250e+00	5.026122e+01
1.400391e+00	4.980992e+01
1.394531e+00	4.969116e+01
1.388672e+00	4.826598e+01
1.382813e+00	4.764841e+01
1.376953e+00	4.684080e+01
1.371094e+00	4.686456e+01
1.365234e+00	4.631824e+01
1.359375e+00	4.596195e+01
1.353515e+00	4.586693e+01
1.347656e+00	4.600945e+01
1.341797e+00	4.543938e+01
1.335937e+00	4.389544e+01
1.330078e+00	4.410921e+01
1.324218e+00	4.380043e+01
1.318359e+00	4.380043e+01
1.312500e+00	4.268404e+01
1.306640e+00	4.292157e+01
1.300781e+00	4.156765e+01
1.294921e+00	4.085506e+01
1.289062e+00	4.052252e+01
1.283202e+00	3.890732e+01
1.277343e+00	3.871730e+01
1.271484e+00	3.921611e+01
1.265624e+00	3.871730e+01
1.259765e+00	3.859853e+01
1.253905e+00	3.698333e+01
1.248046e+00	3.567692e+01
1.242186e+00	3.503559e+01
1.236327e+00	3.458429e+01
1.230468e+00	3.346790e+01
1.224608e+00	3.306410e+01
1.218749e+00	3.306410e+01
1.212889e+00	3.232775e+01
1.207030e+00	3.156766e+01
1.201171e+00	3.102134e+01
1.195311e+00	3.057004e+01
1.189452e+00	3.018999e+01
1.183592e+00	2.893108e+01
1.177733e+00	2.878857e+01
1.171873e+00	2.821850e+01
1.166014e+00	2.776719e+01
1.160155e+00	2.736339e+01
1.154295e+00	2.722087e+01
1.148436e+00	2.674582e+01
1.142576e+00	2.555817e+01
1.136717e+00	2.484558e+01
1.130858e+00	2.349166e+01
1.124998e+00	2.301660e+01
1.119139e+00	2.275532e+01
1.113279e+00	2.199523e+01
1.107420e+00	2.187646e+01
1.101560e+00	2.121138e+01
1.095701e+00	2.073632e+01
1.089842e+00	2.030877e+01
1.083982e+00	1.966744e+01
1.078123e+00	2.824225e+01
1.072263e+00	2.826600e+01
1.066404e+00	2.817099e+01
1.060544e+00	2.809973e+01
1.054685e+00	2.802847e+01
1.048826e+00	2.805223e+01
1.042966e+00	2.802847e+01
1.037107e+00	2.800472e+01
1.031247e+00	2.798097e+01
