实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为6000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    nm         	uN
4.980454e+02	1.869048e+00
4.960923e+02	1.863518e+00
4.941392e+02	1.866283e+00
4.921860e+02	1.863518e+00
4.902329e+02	1.863518e+00
4.882797e+02	1.863518e+00
4.863266e+02	1.863518e+00
4.843735e+02	1.863518e+00
4.824203e+02	1.860753e+00
4.804672e+02	1.857988e+00
4.785140e+02	1.857988e+00
4.765609e+02	1.857988e+00
4.746078e+02	1.857988e+00
4.726547e+02	1.855223e+00
4.707016e+02	1.855223e+00
4.687485e+02	1.857988e+00
4.667954e+02	1.857988e+00
4.648423e+02	1.860753e+00
4.628891e+02	1.863518e+00
4.609360e+02	1.863518e+00
4.589829e+02	1.866283e+00
4.570298e+02	1.869048e+00
4.550767e+02	1.869048e+00
4.531236e+02	1.871812e+00
4.511705e+02	1.874577e+00
4.492174e+02	1.877342e+00
4.472643e+02	1.880107e+00
4.453111e+02	1.880107e+00
4.433580e+02	1.882872e+00
4.414049e+02	1.882872e+00
4.394518e+02	1.885637e+00
4.374987e+02	1.888402e+00
4.355456e+02	1.891166e+00
4.335925e+02	1.893931e+00
4.316394e+02	1.893931e+00
4.296863e+02	1.896696e+00
4.277331e+02	1.896696e+00
4.257800e+02	1.896696e+00
4.238269e+02	1.899461e+00
4.218738e+02	1.902226e+00
4.199207e+02	1.902226e+00
4.179676e+02	1.904991e+00
4.160145e+02	1.904991e+00
4.140614e+02	1.907756e+00
4.121082e+02	1.910520e+00
4.101551e+02	1.913285e+00
4.082020e+02	1.913285e+00
4.062489e+02	1.916050e+00
4.042958e+02	1.916050e+00
4.023427e+02	1.918815e+00
4.003896e+02	1.918815e+00
3.984365e+02	1.921580e+00
3.964834e+02	1.924345e+00
3.945302e+02	1.924345e+00
3.925771e+02	1.924345e+00
3.906240e+02	1.927109e+00
3.886709e+02	1.929875e+00
3.867178e+02	1.932639e+00
3.847647e+02	1.932639e+00
3.828116e+02	1.932639e+00
3.808585e+02	1.932639e+00
3.789054e+02	1.935404e+00
3.769522e+02	1.935404e+00
3.749991e+02	1.938169e+00
3.730460e+02	1.940934e+00
3.710929e+02	1.940934e+00
3.691398e+02	1.943699e+00
3.671867e+02	1.946464e+00
3.652336e+02	1.946464e+00
3.632805e+02	1.946464e+00
3.613274e+02	1.949228e+00
3.593742e+02	1.951993e+00
3.574211e+02	1.954758e+00
3.554680e+02	1.957523e+00
3.535149e+02	1.960288e+00
3.515618e+02	1.963053e+00
3.496087e+02	1.963053e+00
3.476556e+02	1.965818e+00
3.457025e+02	1.971347e+00
3.437493e+02	1.968583e+00
3.417962e+02	1.971347e+00
3.398431e+02	1.971347e+00
3.378900e+02	1.974112e+00
3.359369e+02	1.979642e+00
3.339838e+02	1.979642e+00
3.320307e+02	1.979642e+00
3.300776e+02	1.982407e+00
3.281245e+02	1.985172e+00
3.261713e+02	1.987937e+00
3.242182e+02	1.987937e+00
3.222651e+02	1.990702e+00
3.203120e+02	1.993466e+00
3.183589e+02	1.996231e+00
3.164058e+02	1.998996e+00
3.144527e+02	2.001761e+00
3.124996e+02	2.001761e+00
3.105465e+02	2.004526e+00
3.085933e+02	2.007291e+00
3.066402e+02	2.007291e+00
3.046871e+02	2.007291e+00
3.027340e+02	2.010056e+00
3.007809e+02	2.012820e+00
2.988278e+02	2.012820e+00
2.968747e+02	2.012820e+00
2.949216e+02	2.018350e+00
2.929685e+02	2.018350e+00
2.910153e+02	2.021115e+00
2.890622e+02	2.026645e+00
2.871091e+02	2.029410e+00
2.851560e+02	2.032175e+00
2.832029e+02	2.032175e+00
2.812498e+02	2.034939e+00
2.792967e+02	2.037704e+00
2.773436e+02	2.040469e+00
2.753904e+02	2.043234e+00
