实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为8000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
7.968727e+00	1.501321e+00
7.937477e+00	1.490261e+00
7.906227e+00	1.476437e+00
7.874976e+00	1.457083e+00
7.843726e+00	1.440494e+00
7.812476e+00	1.421140e+00
7.781226e+00	1.399021e+00
7.749975e+00	1.382432e+00
7.718725e+00	1.363078e+00
7.687475e+00	1.343724e+00
7.656225e+00	1.321605e+00
7.624975e+00	1.299486e+00
7.593725e+00	1.282897e+00
7.562475e+00	1.263542e+00
7.531225e+00	1.241424e+00
7.499976e+00	1.222069e+00
7.468726e+00	1.199951e+00
7.437476e+00	1.183361e+00
7.406226e+00	1.161242e+00
7.374977e+00	1.144653e+00
7.343727e+00	1.125299e+00
7.312477e+00	1.108710e+00
7.281227e+00	1.089356e+00
7.249977e+00	1.070002e+00
7.218728e+00	1.050648e+00
7.187478e+00	1.034059e+00
7.156228e+00	1.017470e+00
7.124978e+00	9.981156e-01
7.093729e+00	9.815265e-01
7.062479e+00	9.621724e-01
7.031229e+00	9.455832e-01
6.999979e+00	9.289940e-01
6.968729e+00	9.179346e-01
6.937480e+00	9.013454e-01
6.906230e+00	8.847562e-01
6.874980e+00	8.681670e-01
6.843730e+00	8.543427e-01
6.812480e+00	8.377535e-01
6.781231e+00	8.266941e-01
6.749981e+00	8.156346e-01
6.718731e+00	8.018103e-01
6.687481e+00	7.935157e-01
6.656232e+00	7.824563e-01
6.624982e+00	7.686319e-01
6.593732e+00	7.603374e-01
6.562482e+00	7.548077e-01
6.531232e+00	7.437482e-01
6.499983e+00	7.326888e-01
6.468733e+00	7.243942e-01
6.437483e+00	7.133347e-01
6.406233e+00	7.050401e-01
6.374984e+00	6.967455e-01
6.343734e+00	6.912158e-01
6.312484e+00	6.856861e-01
6.281234e+00	6.801563e-01
6.249984e+00	6.773915e-01
6.218735e+00	6.718618e-01
6.187485e+00	6.663320e-01
6.156235e+00	6.580374e-01
6.124985e+00	6.635672e-01
6.093735e+00	6.608023e-01
6.062486e+00	6.497428e-01
6.031236e+00	6.442131e-01
5.999986e+00	6.331537e-01
5.968736e+00	6.276239e-01
5.937487e+00	6.165645e-01
5.906237e+00	6.110347e-01
5.874987e+00	6.055050e-01
5.843737e+00	5.889158e-01
5.812487e+00	5.723267e-01
5.781238e+00	5.585023e-01
5.749988e+00	5.446781e-01
5.718738e+00	5.225592e-01
5.687488e+00	5.114997e-01
5.656238e+00	4.976754e-01
5.624989e+00	4.893808e-01
5.593739e+00	4.866159e-01
5.562489e+00	4.755565e-01
5.531239e+00	4.727916e-01
5.499990e+00	4.589673e-01
5.468740e+00	4.451430e-01
5.437490e+00	4.313187e-01
5.406240e+00	4.174943e-01
5.374990e+00	4.064349e-01
5.343741e+00	3.926106e-01
5.312491e+00	3.787863e-01
5.281241e+00	3.649619e-01
5.249991e+00	3.456079e-01
5.218742e+00	3.262539e-01
5.187492e+00	3.151944e-01
5.156242e+00	3.013701e-01
5.124992e+00	2.875458e-01
5.093742e+00	3.096647e-01
5.062493e+00	3.898457e-01
5.031243e+00	3.787863e-01
4.999993e+00	3.677268e-01
4.968743e+00	3.566674e-01
4.937493e+00	3.428430e-01
4.906244e+00	3.345484e-01
4.874994e+00	3.207241e-01
4.843744e+00	3.428430e-01
4.812494e+00	3.649619e-01
4.781245e+00	3.594322e-01
4.749995e+00	3.539025e-01
4.718745e+00	3.483728e-01
4.687495e+00	3.400782e-01
4.656245e+00	3.290187e-01
4.624996e+00	3.179593e-01
4.593746e+00	3.041349e-01
4.562496e+00	2.930755e-01
4.531246e+00	2.764863e-01
4.499997e+00	2.598971e-01
4.468747e+00	2.516026e-01
4.437497e+00	2.460728e-01
4.406247e+00	2.294836e-01
4.374997e+00	2.156593e-01
4.343748e+00	2.101296e-01
4.312498e+00	2.101296e-01
4.281248e+00	2.018350e-01
4.249998e+00	2.018350e-01
4.218748e+00	1.963053e-01
4.187499e+00	1.880107e-01
4.156249e+00	1.797161e-01
4.124999e+00	1.714215e-01
4.093749e+00	1.658918e-01
4.062500e+00	1.548323e-01
4.031250e+00	1.465377e-01
4.000000e+00	1.299486e-01
3.968750e+00	1.382432e-01
3.937500e+00	1.327134e-01
3.906251e+00	1.271837e-01
3.875001e+00	1.188891e-01
3.843751e+00	1.105945e-01
3.812501e+00	9.677021e-02
3.781251e+00	8.571076e-02
3.750001e+00	1.105945e-01
3.718751e+00	1.493026e-01
3.687501e+00	1.410080e-01
3.656251e+00	1.299486e-01
3.625001e+00	1.188891e-01
3.593751e+00	1.105945e-01
3.562501e+00	1.050648e-01
3.531251e+00	1.327134e-01
3.500001e+00	1.271837e-01
3.468751e+00	1.161243e-01
3.437501e+00	1.078297e-01
3.406251e+00	9.400535e-02
3.375001e+00	8.018103e-02
3.343751e+00	6.912158e-02
3.312501e+00	1.244188e-01
3.281251e+00	1.741864e-01
3.250001e+00	1.603621e-01
3.218751e+00	1.493026e-01
3.187501e+00	1.686567e-01
3.156251e+00	2.045999e-01
3.125001e+00	1.907756e-01
3.093751e+00	1.797161e-01
3.062501e+00	1.658918e-01
3.031251e+00	1.493026e-01
3.000001e+00	1.382432e-01
2.968751e+00	1.271837e-01
2.937501e+00	1.161243e-01
2.906251e+00	1.022999e-01
2.875001e+00	8.847562e-02
2.843751e+00	7.465130e-02
2.812501e+00	6.359186e-02
2.781251e+00	1.382432e-01
2.750001e+00	1.216540e-01
2.718751e+00	1.105945e-01
2.687501e+00	1.022999e-01
2.656251e+00	1.520675e-01
2.625001e+00	1.631269e-01
2.593751e+00	1.410080e-01
2.562501e+00	1.271837e-01
2.531251e+00	1.161243e-01
2.500001e+00	1.658918e-01
2.468751e+00	1.631269e-01
2.437501e+00	1.493026e-01
2.406251e+00	1.520675e-01
2.375001e+00	1.465377e-01
2.343751e+00	1.327134e-01
2.312501e+00	1.161243e-01
2.281251e+00	9.953507e-02
2.250001e+00	8.294590e-02
2.218751e+00	6.359186e-02
2.187501e+00	5.529726e-02
2.156251e+00	1.658918e-01
2.125000e+00	1.548323e-01
2.093750e+00	1.410080e-01
2.062500e+00	1.299486e-01
2.031250e+00	1.161243e-01
2.000000e+00	1.022999e-01
1.968750e+00	8.847562e-02
1.937500e+00	7.188644e-02
1.906250e+00	6.082699e-02
1.875000e+00	5.253240e-02
1.843750e+00	3.870808e-02
1.812500e+00	2.211891e-02
1.781250e+00	8.294590e-03
1.750000e+00	8.018103e-02
1.718750e+00	1.520675e-01
1.687500e+00	1.382432e-01
1.656250e+00	1.299486e-01
1.625000e+00	1.271837e-01
1.593750e+00	1.105945e-01
1.562500e+00	9.677021e-02
1.531250e+00	8.018103e-02
1.500000e+00	6.635672e-02
1.468750e+00	5.806213e-02
1.437500e+00	4.423781e-02
1.406250e+00	3.041350e-02
1.375000e+00	8.294590e-02
1.343750e+00	1.410080e-01
1.312500e+00	1.271837e-01
1.281250e+00	1.133594e-01
1.250000e+00	9.953507e-02
1.218750e+00	8.571076e-02
1.187500e+00	7.188644e-02
1.156250e+00	5.806213e-02
1.125000e+00	4.976754e-02
1.093750e+00	3.594322e-02
1.062500e+00	2.211891e-02
1.031250e+00	8.294590e-03
1.000000e+00	-5.529558e-03
9.687501e-01	1.105945e-01
9.375001e-01	9.400535e-02
9.062501e-01	8.018103e-02
8.750001e-01	6.912158e-02
8.437501e-01	5.529726e-02
8.125000e-01	4.147295e-02
7.812500e-01	2.764863e-02
7.500000e-01	1.382432e-02
7.187500e-01	0.000000e+00
6.875000e-01	-1.658867e-02
6.562500e-01	-3.317735e-02
6.250000e-01	-4.976602e-02
5.937500e-01	1.105945e-02
5.625000e-01	1.022999e-01
5.312500e-01	8.847562e-02
4.999999e-01	7.741617e-02
4.687500e-01	6.359186e-02
4.375000e-01	5.253240e-02
4.062500e-01	3.870808e-02
3.750000e-01	2.211891e-02
3.437500e-01	1.105945e-02
3.125000e-01	-2.764779e-03
2.812501e-01	-1.935345e-02
2.500001e-01	-3.041257e-02
2.187501e-01	-4.423646e-02
1.875001e-01	-4.976602e-02
1.562501e-01	8.294590e-02
1.250001e-01	7.188644e-02
9.375010e-02	5.806213e-02
6.250011e-02	4.700268e-02
3.125011e-02	3.317836e-02
1.207923e-07	1.935404e-02
