实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为5000nm，下压力为10uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
4.980471e+00	1.067237e+00
4.960940e+00	1.056178e+00
4.941408e+00	1.072767e+00
4.921877e+00	1.081062e+00
4.902346e+00	1.089356e+00
4.882814e+00	1.097651e+00
4.863283e+00	1.105945e+00
4.843751e+00	1.111475e+00
4.824220e+00	1.119770e+00
4.804689e+00	1.128064e+00
4.785157e+00	1.130829e+00
4.765626e+00	1.141888e+00
4.746094e+00	1.147418e+00
4.726563e+00	1.158478e+00
4.707032e+00	1.166772e+00
4.687500e+00	1.172302e+00
4.667969e+00	1.183361e+00
4.648437e+00	1.188891e+00
4.628906e+00	1.202715e+00
4.609375e+00	1.202715e+00
4.589843e+00	1.213775e+00
4.570312e+00	1.222069e+00
4.550780e+00	1.227599e+00
4.531249e+00	1.238659e+00
4.511718e+00	1.244188e+00
4.492186e+00	1.252483e+00
4.472655e+00	1.260778e+00
4.453123e+00	1.269072e+00
4.433592e+00	1.280132e+00
4.414061e+00	1.282897e+00
4.394529e+00	1.293956e+00
4.374998e+00	1.302251e+00
4.355466e+00	1.307780e+00
4.335935e+00	1.316075e+00
4.316404e+00	1.324369e+00
4.296872e+00	1.332664e+00
4.277341e+00	1.340959e+00
4.257809e+00	1.349253e+00
4.238278e+00	1.360313e+00
4.218747e+00	1.365842e+00
4.199215e+00	1.371372e+00
4.179684e+00	1.376902e+00
4.160152e+00	1.382432e+00
4.140621e+00	1.396256e+00
4.121090e+00	1.404551e+00
4.101558e+00	1.410080e+00
4.082027e+00	1.418375e+00
4.062495e+00	1.426669e+00
4.042964e+00	1.437729e+00
4.023433e+00	1.446023e+00
4.003901e+00	1.451553e+00
3.984370e+00	1.454318e+00
3.964838e+00	1.468142e+00
3.945307e+00	1.473672e+00
3.925776e+00	1.481967e+00
3.906244e+00	1.490261e+00
3.886713e+00	1.498556e+00
3.867181e+00	1.506850e+00
3.847650e+00	1.515145e+00
3.828119e+00	1.523440e+00
3.808588e+00	1.528969e+00
3.789056e+00	1.531734e+00
3.769525e+00	1.542794e+00
3.749994e+00	1.548323e+00
3.730463e+00	1.556618e+00
3.710932e+00	1.564913e+00
3.691400e+00	1.570442e+00
3.671869e+00	1.575972e+00
3.652338e+00	1.584267e+00
3.632807e+00	1.589796e+00
3.613276e+00	1.598091e+00
