实验仪器为布鲁克AFM，所用模式为peak force QNM in air，扫描范围（scan size）为50nm×50nm，压电陶瓷总位移为4000nm，下压力为3uN。
AFM探针型号为DDESP-V2，所测材料为二维cof薄膜，基底为铜网，此时将铜网放置在干净的硅片上，进行测试。以下数据为随着探针下压，探针所受力的变化。
    um         	uN
3.984364e+00	3.436725e+00
3.968738e+00	3.439490e+00
3.953113e+00	3.456079e+00
3.937488e+00	3.456079e+00
3.921863e+00	3.467139e+00
3.906238e+00	3.472668e+00
3.890613e+00	3.472668e+00
3.874988e+00	3.472668e+00
3.859363e+00	3.475433e+00
3.843737e+00	3.469903e+00
3.828112e+00	3.475433e+00
3.812487e+00	3.467139e+00
3.796863e+00	3.475433e+00
3.781238e+00	3.469903e+00
3.765613e+00	3.458844e+00
3.749988e+00	3.469903e+00
3.734363e+00	3.467139e+00
3.718738e+00	3.467139e+00
3.703113e+00	3.458844e+00
3.687488e+00	3.464374e+00
3.671863e+00	3.458844e+00
3.656239e+00	3.456079e+00
3.640614e+00	3.456079e+00
3.624989e+00	3.450549e+00
3.609364e+00	3.450549e+00
3.593739e+00	3.445020e+00
3.578114e+00	3.439490e+00
3.562489e+00	3.433960e+00
3.546864e+00	3.433960e+00
3.531239e+00	3.428430e+00
3.515614e+00	3.431195e+00
3.499990e+00	3.422901e+00
3.484365e+00	3.420136e+00
3.468740e+00	3.409076e+00
3.453115e+00	3.403547e+00
3.437490e+00	3.403547e+00
3.421865e+00	3.395252e+00
3.406240e+00	3.381428e+00
3.390615e+00	3.378663e+00
3.374990e+00	3.373133e+00
3.359366e+00	3.353779e+00
3.343741e+00	3.348249e+00
3.328116e+00	3.339955e+00
3.312491e+00	3.320601e+00
3.296866e+00	3.306776e+00
3.281241e+00	3.295717e+00
3.265616e+00	3.284657e+00
3.249991e+00	3.265303e+00
3.234366e+00	3.248714e+00
3.218742e+00	3.229360e+00
3.203117e+00	3.215536e+00
3.187492e+00	3.193417e+00
3.171867e+00	3.174063e+00
3.156242e+00	3.154709e+00
3.140617e+00	3.135355e+00
3.124992e+00	3.113236e+00
3.109367e+00	3.088352e+00
3.093742e+00	3.068998e+00
3.078118e+00	3.049644e+00
3.062493e+00	3.030290e+00
3.046868e+00	2.999876e+00
3.031243e+00	2.969463e+00
3.015618e+00	2.944579e+00
2.999993e+00	2.927990e+00
2.984368e+00	2.903106e+00
2.968743e+00	2.878222e+00
2.953118e+00	2.858868e+00
2.937493e+00	2.842279e+00
2.921869e+00	2.814631e+00
2.906244e+00	2.795277e+00
2.890619e+00	2.767628e+00
2.874994e+00	2.742744e+00
2.859369e+00	2.712331e+00
2.843744e+00	2.692977e+00
2.828119e+00	2.676388e+00
2.812494e+00	2.645974e+00
2.796869e+00	2.610031e+00
2.781245e+00	2.571323e+00
2.765620e+00	2.551969e+00
2.749995e+00	2.532615e+00
2.734370e+00	2.510496e+00
2.718745e+00	2.482847e+00
2.703120e+00	2.460728e+00
2.687495e+00	2.441374e+00
2.671870e+00	2.433080e+00
2.656245e+00	2.416490e+00
2.640621e+00	2.402666e+00
2.624996e+00	2.383312e+00
2.609371e+00	2.361193e+00
2.593746e+00	2.341839e+00
2.578121e+00	2.325250e+00
2.562496e+00	2.300366e+00
2.546871e+00	2.278247e+00
2.531246e+00	2.256128e+00
2.515621e+00	2.234009e+00
2.499997e+00	2.211890e+00
2.484372e+00	2.181477e+00
2.468747e+00	2.164888e+00
2.453122e+00	2.153829e+00
2.437497e+00	2.140004e+00
2.421872e+00	2.115120e+00
2.406247e+00	2.098531e+00
2.390622e+00	2.070882e+00
2.374997e+00	2.048763e+00
2.359373e+00	2.029410e+00
2.343748e+00	2.007291e+00
2.328123e+00	1.993466e+00
2.312498e+00	1.968583e+00
2.296873e+00	1.943699e+00
2.281248e+00	1.918815e+00
2.265623e+00	1.902226e+00
2.249998e+00	1.860753e+00
2.234373e+00	1.830339e+00
2.218748e+00	1.805456e+00
2.203124e+00	1.786102e+00
2.187499e+00	1.777807e+00
2.171874e+00	1.758453e+00
2.156249e+00	1.741864e+00
2.140624e+00	1.719745e+00
2.124999e+00	1.703156e+00
2.109374e+00	1.686567e+00
2.093749e+00	1.672742e+00
2.078124e+00	1.658918e+00
2.062500e+00	1.631269e+00
2.046875e+00	1.614680e+00
2.031250e+00	1.595326e+00
2.015625e+00	1.587031e+00
2.000000e+00	1.564913e+00
1.984375e+00	1.545559e+00
1.968750e+00	1.534499e+00
1.953125e+00	1.512380e+00
1.937500e+00	1.501321e+00
1.921876e+00	1.470907e+00
1.906251e+00	1.443259e+00
1.890626e+00	1.429434e+00
1.875001e+00	1.407315e+00
1.859376e+00	1.393491e+00
1.843751e+00	1.368607e+00
1.828126e+00	1.357548e+00
1.812500e+00	1.343724e+00
1.796875e+00	1.313310e+00
1.781250e+00	1.299486e+00
1.765625e+00	1.274602e+00
1.750000e+00	1.244188e+00
1.734375e+00	1.213775e+00
1.718750e+00	1.188891e+00
1.703125e+00	1.169537e+00
1.687500e+00	1.150183e+00
1.671875e+00	1.133594e+00
1.656250e+00	1.114240e+00
1.640625e+00	1.097651e+00
1.625000e+00	1.014705e+00
1.609375e+00	9.870562e-01
1.593750e+00	9.538778e-01
1.578125e+00	9.400535e-01
1.562500e+00	9.317589e-01
1.546875e+00	9.151697e-01
1.531250e+00	8.958157e-01
1.515625e+00	8.819914e-01
1.500000e+00	8.654022e-01
1.484375e+00	8.515779e-01
1.468750e+00	8.405184e-01
1.453125e+00	8.211643e-01
1.437500e+00	8.101049e-01
1.421875e+00	7.962806e-01
1.406250e+00	7.658671e-01
1.390625e+00	7.465131e-01
1.375000e+00	7.326888e-01
1.359375e+00	7.160996e-01
1.343750e+00	6.967455e-01
1.328125e+00	6.801563e-01
1.312500e+00	6.690969e-01
1.296875e+00	6.442131e-01
1.281250e+00	6.248591e-01
1.265625e+00	6.055050e-01
1.250000e+00	5.889158e-01
1.234375e+00	6.303888e-01
1.218750e+00	6.829212e-01
1.203125e+00	6.801563e-01
1.187500e+00	6.801563e-01
1.171875e+00	6.939807e-01
1.156250e+00	6.718618e-01
1.140625e+00	6.690969e-01
1.125000e+00	6.608023e-01
1.109375e+00	6.525077e-01
1.093750e+00	6.469780e-01
1.078125e+00	6.469780e-01
1.062500e+00	6.248591e-01
1.046875e+00	6.193293e-01
1.031250e+00	6.193293e-01
1.015625e+00	6.137996e-01
1.000000e+00	6.082699e-01
9.843752e-01	6.055050e-01
9.687502e-01	5.999753e-01
9.531252e-01	5.972104e-01
9.375002e-01	5.861510e-01
9.218752e-01	5.750915e-01
9.062502e-01	5.667969e-01
8.906252e-01	5.585023e-01
8.750002e-01	5.502077e-01
8.593752e-01	5.363835e-01
8.437502e-01	5.253240e-01
8.281252e-01	5.142646e-01
8.125002e-01	5.059700e-01
7.968752e-01	4.976754e-01
7.812502e-01	5.087348e-01
7.656251e-01	5.446781e-01
7.500001e-01	5.391483e-01
7.343751e-01	5.336186e-01
7.187501e-01	5.391483e-01
7.031251e-01	5.391483e-01
6.875001e-01	5.363835e-01
6.718751e-01	5.336186e-01
6.562501e-01	5.308538e-01
6.406251e-01	5.253240e-01
6.250001e-01	5.197943e-01
6.093751e-01	5.059700e-01
5.937501e-01	5.032051e-01
5.781251e-01	4.893808e-01
5.625001e-01	5.253240e-01
5.468751e-01	5.114997e-01
5.312501e-01	5.059700e-01
5.156251e-01	5.087348e-01
5.000001e-01	5.170294e-01
4.843751e-01	5.142646e-01
4.687500e-01	5.059700e-01
4.531250e-01	5.004403e-01
4.375000e-01	4.949105e-01
4.218750e-01	4.893808e-01
4.062500e-01	4.783213e-01
3.906250e-01	4.727916e-01
3.750000e-01	4.755565e-01
3.593750e-01	5.253240e-01
3.437500e-01	5.363835e-01
3.281250e-01	5.308538e-01
3.125000e-01	5.225592e-01
2.968750e-01	5.197943e-01
2.812500e-01	5.142646e-01
2.656250e-01	5.059700e-01
2.500000e-01	4.976754e-01
2.343750e-01	4.921457e-01
2.187500e-01	5.004403e-01
2.031250e-01	4.949105e-01
1.874999e-01	5.032051e-01
1.718749e-01	5.557375e-01
1.562499e-01	5.502077e-01
1.406249e-01	5.474429e-01
1.249999e-01	5.446781e-01
1.093749e-01	5.419132e-01
9.374993e-02	5.419132e-01
7.812493e-02	5.391483e-01
6.249994e-02	5.363835e-01
4.687494e-02	5.225592e-01
3.124994e-02	5.419132e-01
1.562494e-02	5.446781e-01
-6.039613e-08	5.557375e-01
