    nm         	nN
0.000000e+00	1.260109e+01
1.953125e+00	1.254570e+01
3.906250e+00	1.265648e+01
5.859376e+00	1.265648e+01
7.812501e+00	1.262879e+01
9.765627e+00	1.262879e+01
1.171875e+01	1.262879e+01
1.367188e+01	1.265648e+01
1.562500e+01	1.260109e+01
1.757813e+01	1.268417e+01
1.953125e+01	1.265648e+01
2.148438e+01	1.262879e+01
2.343751e+01	1.273956e+01
2.539063e+01	1.273956e+01
2.734376e+01	1.273956e+01
2.929688e+01	1.268417e+01
3.125001e+01	1.268417e+01
3.320313e+01	1.273956e+01
3.515626e+01	1.276726e+01
3.710938e+01	1.271187e+01
3.906251e+01	1.273956e+01
4.101564e+01	1.260109e+01
4.296876e+01	1.254570e+01
4.492189e+01	1.260109e+01
4.687501e+01	1.260109e+01
4.882814e+01	1.254570e+01
5.078126e+01	1.254570e+01
5.273439e+01	1.262879e+01
5.468751e+01	1.260109e+01
5.664064e+01	1.262879e+01
5.859377e+01	1.265648e+01
6.054689e+01	1.265648e+01
6.250001e+01	1.265648e+01
6.445314e+01	1.276726e+01
6.640627e+01	1.271187e+01
6.835939e+01	1.268417e+01
7.031252e+01	1.268417e+01
7.226564e+01	1.279495e+01
7.421877e+01	1.285034e+01
7.617189e+01	1.282265e+01
7.812502e+01	1.279495e+01
8.007815e+01	1.265648e+01
8.203127e+01	1.262879e+01
8.398440e+01	1.265648e+01
8.593752e+01	1.268417e+01
8.789065e+01	1.260109e+01
8.984377e+01	1.262879e+01
9.179690e+01	1.268417e+01
9.375002e+01	1.262879e+01
9.570315e+01	1.271187e+01
9.765628e+01	1.273956e+01
9.960940e+01	1.273956e+01
1.015625e+02	1.282265e+01
1.035157e+02	1.282265e+01
1.054688e+02	1.279495e+01
1.074219e+02	1.271187e+01
1.093750e+02	1.271187e+01
1.113282e+02	1.279495e+01
1.132813e+02	1.285034e+01
1.152344e+02	1.287804e+01
1.171875e+02	1.287804e+01
1.191407e+02	1.273956e+01
1.210938e+02	1.273956e+01
1.230469e+02	1.273956e+01
1.250000e+02	1.271187e+01
1.269532e+02	1.271187e+01
1.289063e+02	1.268417e+01
1.308594e+02	1.271187e+01
1.328125e+02	1.271187e+01
1.347657e+02	1.273956e+01
1.367188e+02	1.282265e+01
1.386719e+02	1.285034e+01
1.406250e+02	1.285034e+01
1.425782e+02	1.290573e+01
1.445313e+02	1.285034e+01
1.464844e+02	1.285034e+01
1.484375e+02	1.285034e+01
1.503907e+02	1.287804e+01
1.523438e+02	1.296112e+01
1.542969e+02	1.298882e+01
1.562500e+02	1.304421e+01
1.582032e+02	1.296112e+01
1.601563e+02	1.290573e+01
1.621094e+02	1.290573e+01
1.640625e+02	1.287804e+01
1.660157e+02	1.287804e+01
1.679688e+02	1.293343e+01
1.699219e+02	1.287804e+01
1.718750e+02	1.282265e+01
1.738282e+02	1.285034e+01
1.757813e+02	1.285034e+01
1.777344e+02	1.293343e+01
1.796875e+02	1.290573e+01
1.816407e+02	1.296112e+01
1.835938e+02	1.298882e+01
1.855469e+02	1.298882e+01
1.875000e+02	1.287804e+01
1.894532e+02	1.290573e+01
1.914063e+02	1.296112e+01
1.933594e+02	1.290573e+01
1.953126e+02	1.301651e+01
1.972657e+02	1.293343e+01
1.992188e+02	1.287804e+01
2.011719e+02	1.279495e+01
2.031251e+02	1.293343e+01
2.050782e+02	1.285034e+01
2.070313e+02	1.285034e+01
2.089844e+02	1.282265e+01
2.109376e+02	1.290573e+01
2.128907e+02	1.285034e+01
2.148438e+02	1.285034e+01
2.167969e+02	1.296112e+01
2.187501e+02	1.304421e+01
2.207032e+02	1.301651e+01
2.226563e+02	1.301651e+01
2.246094e+02	1.298882e+01
2.265626e+02	1.304421e+01
2.285157e+02	1.298882e+01
2.304688e+02	1.307190e+01
2.324219e+02	1.312729e+01
2.343751e+02	1.304421e+01
2.363282e+02	1.309960e+01
2.382813e+02	1.307190e+01
2.402344e+02	1.301651e+01
2.421876e+02	1.298882e+01
2.441407e+02	1.296112e+01
2.460938e+02	1.296112e+01
2.480469e+02	1.298882e+01
2.500000e+02	1.298882e+01
2.519531e+02	1.296112e+01
2.539062e+02	1.301651e+01
2.558593e+02	1.296112e+01
2.578124e+02	1.298882e+01
2.597656e+02	1.307190e+01
2.617187e+02	1.309960e+01
2.636718e+02	1.312729e+01
2.656249e+02	1.309960e+01
2.675780e+02	1.309960e+01
2.695311e+02	1.304421e+01
2.714842e+02	1.296112e+01
2.734373e+02	1.309960e+01
2.753904e+02	1.315498e+01
2.773436e+02	1.318268e+01
2.792967e+02	1.315498e+01
2.812498e+02	1.309960e+01
2.832029e+02	1.287804e+01
2.851560e+02	1.296112e+01
2.871091e+02	1.301651e+01
2.890622e+02	1.301651e+01
2.910153e+02	1.304421e+01
2.929685e+02	1.296112e+01
2.949216e+02	1.304421e+01
2.968747e+02	1.312729e+01
2.988278e+02	1.307190e+01
3.007809e+02	1.307190e+01
3.027340e+02	1.304421e+01
3.046871e+02	1.315498e+01
3.066402e+02	1.304421e+01
