    um         	nN
7.929688e+00	-1.890677e+01
7.968751e+00	-1.874050e+01
8.007813e+00	-1.862174e+01
8.046876e+00	-1.847923e+01
8.085939e+00	-1.836047e+01
8.125002e+00	-1.817045e+01
8.164065e+00	-1.800418e+01
8.203127e+00	-1.776666e+01
8.242190e+00	-1.750539e+01
8.281253e+00	-1.733912e+01
8.320316e+00	-1.714910e+01
8.359379e+00	-1.691158e+01
8.398441e+00	-1.672156e+01
8.437504e+00	-1.662655e+01
8.476567e+00	-1.648404e+01
8.515630e+00	-1.631777e+01
8.554693e+00	-1.617526e+01
8.593755e+00	-1.600900e+01
8.632818e+00	-1.577147e+01
8.671881e+00	-1.553395e+01
8.710944e+00	-1.539144e+01
8.750007e+00	-1.517767e+01
8.789069e+00	-1.496390e+01
8.828132e+00	-1.484514e+01
8.867195e+00	-1.470262e+01
8.906258e+00	-1.458386e+01
8.945321e+00	-1.441760e+01
8.984383e+00	-1.425133e+01
9.023446e+00	-1.389505e+01
9.062509e+00	-1.370503e+01
9.101572e+00	-1.358627e+01
9.140635e+00	-1.339625e+01
9.179697e+00	-1.313498e+01
9.218760e+00	-1.299246e+01
9.257823e+00	-1.287370e+01
9.296886e+00	-1.275494e+01
9.335949e+00	-1.258868e+01
9.375011e+00	-1.230365e+01
9.414074e+00	-1.213738e+01
9.453137e+00	-1.185236e+01
9.492200e+00	-1.163859e+01
9.531263e+00	-1.147232e+01
9.570325e+00	-1.125855e+01
9.609388e+00	-1.104478e+01
9.648451e+00	-1.090227e+01
9.687514e+00	-1.073600e+01
9.726577e+00	-1.049848e+01
9.765639e+00	-1.023721e+01
9.804702e+00	-1.007094e+01
9.843765e+00	-9.833419e+00
9.882828e+00	-9.690905e+00
9.921891e+00	-9.548391e+00
9.960953e+00	-9.239613e+00
