    nm         	nN
1.500000e+02	3.266030e+01
1.511719e+02	3.275531e+01
1.523437e+02	3.268405e+01
1.535156e+02	3.273155e+01
1.546875e+02	3.266030e+01
1.558593e+02	3.258904e+01
1.570312e+02	3.258904e+01
1.582031e+02	3.261279e+01
1.593749e+02	3.268405e+01
1.605468e+02	3.263655e+01
1.617187e+02	3.270780e+01
1.628906e+02	3.270780e+01
1.640624e+02	3.275531e+01
1.652343e+02	3.263655e+01
1.664062e+02	3.261279e+01
1.675780e+02	3.258904e+01
1.687499e+02	3.268405e+01
1.699218e+02	3.277906e+01
1.710936e+02	3.280281e+01
1.722655e+02	3.277906e+01
1.734374e+02	3.280281e+01
1.746093e+02	3.273155e+01
1.757811e+02	3.287407e+01
1.769530e+02	3.270780e+01
1.781249e+02	3.270780e+01
1.792967e+02	3.270780e+01
1.804686e+02	3.277906e+01
1.816405e+02	3.280281e+01
1.828123e+02	3.285032e+01
1.839842e+02	3.289783e+01
1.851561e+02	3.287407e+01
1.863280e+02	3.287407e+01
1.874998e+02	3.289783e+01
1.886717e+02	3.287407e+01
1.898436e+02	3.287407e+01
1.910154e+02	3.285032e+01
1.921873e+02	3.282657e+01
1.933592e+02	3.287407e+01
1.945310e+02	3.277906e+01
1.957029e+02	3.285032e+01
1.968748e+02	3.292158e+01
1.980466e+02	3.292158e+01
1.992185e+02	3.296908e+01
2.003904e+02	3.296908e+01
2.015623e+02	3.294533e+01
2.027341e+02	3.287407e+01
2.039060e+02	3.280281e+01
2.050779e+02	3.289783e+01
2.062497e+02	3.285032e+01
2.074216e+02	3.296908e+01
2.085935e+02	3.306410e+01
2.097653e+02	3.301659e+01
2.109372e+02	3.299284e+01
2.121091e+02	3.311160e+01
2.132810e+02	3.299284e+01
2.144528e+02	3.294533e+01
2.156247e+02	3.296908e+01
2.167966e+02	3.289783e+01
2.179684e+02	3.292158e+01
2.191403e+02	3.294533e+01
2.203122e+02	3.301659e+01
2.214840e+02	3.304034e+01
2.226559e+02	3.299284e+01
2.238278e+02	3.299284e+01
2.249997e+02	3.304034e+01
2.261715e+02	3.294533e+01
2.273434e+02	3.296908e+01
2.285153e+02	3.301659e+01
2.296871e+02	3.304034e+01
2.308590e+02	3.308785e+01
2.320309e+02	3.315911e+01
2.332027e+02	3.313536e+01
2.343746e+02	3.315911e+01
2.355465e+02	3.315911e+01
2.367183e+02	3.323037e+01
2.378902e+02	3.315911e+01
2.390621e+02	3.308785e+01
2.402340e+02	3.308785e+01
2.414059e+02	3.313536e+01
2.425778e+02	3.313536e+01
2.437496e+02	3.315911e+01
2.449215e+02	3.323037e+01
2.460934e+02	3.318286e+01
2.472653e+02	3.318286e+01
2.484372e+02	3.323037e+01
2.496091e+02	3.323037e+01
2.507809e+02	3.318286e+01
2.519528e+02	3.315911e+01
2.531247e+02	3.320661e+01
2.542966e+02	3.315911e+01
2.554685e+02	3.318286e+01
2.566404e+02	3.325412e+01
2.578122e+02	3.323037e+01
2.589841e+02	3.330162e+01
2.601560e+02	3.327787e+01
2.613279e+02	3.332538e+01
2.624998e+02	3.325412e+01
2.636717e+02	3.320661e+01
2.648435e+02	3.327787e+01
2.660154e+02	3.323037e+01
2.671873e+02	3.330162e+01
2.683592e+02	3.332538e+01
2.695311e+02	3.332538e+01
2.707030e+02	3.332538e+01
2.718749e+02	3.337288e+01
2.730467e+02	3.337288e+01
2.742186e+02	3.332538e+01
2.753905e+02	3.330162e+01
2.765624e+02	3.330162e+01
2.777343e+02	3.323037e+01
2.789062e+02	3.325412e+01
2.800780e+02	3.327787e+01
2.812499e+02	3.339664e+01
2.824218e+02	3.344415e+01
2.835937e+02	3.342039e+01
2.847656e+02	3.339664e+01
2.859375e+02	3.346790e+01
2.871093e+02	3.342039e+01
2.882812e+02	3.332538e+01
2.894531e+02	3.334913e+01
2.906250e+02	3.116386e+01
2.917969e+02	2.978619e+01
2.929688e+02	3.187645e+01
2.941406e+02	3.370543e+01
2.953125e+02	3.577193e+01
2.964844e+02	3.767217e+01
2.976563e+02	3.916860e+01
2.988282e+02	4.121136e+01
