    nm         	nN
8.203123e+01	2.111637e+01
8.593748e+01	2.114012e+01
8.984373e+01	2.125888e+01
9.374998e+01	2.128264e+01
9.765623e+01	2.116387e+01
1.015625e+02	2.114012e+01
1.054687e+02	2.109261e+01
1.093750e+02	2.123513e+01
1.132812e+02	2.125888e+01
1.171875e+02	2.128264e+01
1.210937e+02	2.137765e+01
1.250000e+02	2.137765e+01
1.289062e+02	2.142515e+01
1.328125e+02	2.137765e+01
1.367187e+02	2.142515e+01
1.406250e+02	2.137765e+01
1.445312e+02	2.140140e+01
1.484375e+02	2.142515e+01
1.523437e+02	2.152017e+01
1.562500e+02	2.144891e+01
1.601562e+02	2.142515e+01
1.640625e+02	2.144891e+01
1.679688e+02	2.149641e+01
1.718750e+02	2.156767e+01
1.757813e+02	2.159143e+01
1.796875e+02	2.163893e+01
1.835938e+02	2.159143e+01
1.875000e+02	2.171019e+01
1.914063e+02	2.171019e+01
1.953125e+02	2.178145e+01
1.992188e+02	2.178145e+01
2.031250e+02	2.175770e+01
2.070313e+02	2.185271e+01
2.109375e+02	2.187646e+01
2.148438e+02	2.190021e+01
2.187500e+02	2.185271e+01
2.226563e+02	2.187646e+01
2.265625e+02	2.187646e+01
2.304688e+02	2.192397e+01
2.343750e+02	2.192397e+01
2.382813e+02	2.197147e+01
2.421875e+02	2.209024e+01
2.460938e+02	2.206648e+01
2.500000e+02	2.206648e+01
2.539063e+02	2.216150e+01
2.578125e+02	2.213774e+01
2.617188e+02	2.204273e+01
2.656250e+02	2.211399e+01
2.695313e+02	2.223275e+01
2.734375e+02	2.228026e+01
2.773438e+02	2.230401e+01
2.812500e+02	2.232777e+01
2.851563e+02	2.237527e+01
2.890625e+02	2.239903e+01
2.929688e+02	2.249404e+01
2.968750e+02	2.251779e+01
3.007813e+02	2.244653e+01
3.046875e+02	2.242278e+01
3.085938e+02	2.254154e+01
3.125000e+02	2.249404e+01
3.164063e+02	2.261280e+01
3.203126e+02	2.256530e+01
3.242188e+02	2.256530e+01
3.281251e+02	2.263655e+01
3.320313e+02	2.268406e+01
3.359376e+02	2.277907e+01
3.398438e+02	2.268406e+01
3.437501e+02	2.261280e+01
3.476563e+02	2.268406e+01
3.515626e+02	2.268406e+01
3.554688e+02	2.273157e+01
3.593751e+02	2.285033e+01
3.632813e+02	2.289784e+01
3.671876e+02	2.287408e+01
3.710938e+02	2.289784e+01
3.750001e+02	2.299285e+01
3.789063e+02	2.299285e+01
3.828126e+02	2.287408e+01
3.867188e+02	2.294534e+01
3.906251e+02	2.289784e+01
3.945313e+02	2.292159e+01
3.984376e+02	2.306411e+01
4.023438e+02	2.315912e+01
4.062501e+02	2.318287e+01
4.101563e+02	2.308786e+01
4.140626e+02	2.313537e+01
4.179688e+02	2.325413e+01
4.218751e+02	2.311161e+01
4.257813e+02	2.315912e+01
4.296876e+02	2.313537e+01
4.335938e+02	2.311161e+01
4.375001e+02	2.315912e+01
4.414063e+02	2.320662e+01
4.453126e+02	2.332539e+01
4.492188e+02	2.330164e+01
4.531251e+02	2.334914e+01
4.570313e+02	2.344416e+01
4.609376e+02	2.342040e+01
4.648439e+02	2.334914e+01
4.687501e+02	2.339665e+01
4.726564e+02	2.337290e+01
4.765626e+02	2.339665e+01
4.804688e+02	2.349166e+01
4.843751e+02	2.353917e+01
4.882813e+02	2.358667e+01
4.921875e+02	2.356292e+01
4.960937e+02	2.361043e+01
4.999999e+02	2.363418e+01
5.039062e+02	2.353917e+01
5.078124e+02	2.349166e+01
5.117186e+02	2.349166e+01
5.156248e+02	2.358667e+01
5.195311e+02	2.358667e+01
5.234373e+02	2.370544e+01
5.273435e+02	2.365793e+01
5.312497e+02	2.372919e+01
5.351559e+02	2.368168e+01
5.390622e+02	2.387171e+01
5.429684e+02	2.384795e+01
5.468746e+02	2.370544e+01
5.507808e+02	2.382420e+01
5.546871e+02	2.375294e+01
5.585933e+02	2.389546e+01
5.624995e+02	2.396672e+01
5.664057e+02	2.396672e+01
5.703120e+02	2.394297e+01
5.742182e+02	2.396672e+01
5.781244e+02	2.406173e+01
5.820306e+02	2.408548e+01
5.859368e+02	2.399047e+01
5.898431e+02	2.396672e+01
5.937493e+02	2.410924e+01
5.976555e+02	2.403798e+01
6.015617e+02	2.408548e+01
6.054680e+02	2.415674e+01
6.093742e+02	2.425175e+01
6.132804e+02	2.422800e+01
6.171866e+02	2.429926e+01
6.210929e+02	2.434677e+01
6.249991e+02	2.434677e+01
6.289053e+02	2.432301e+01
6.328115e+02	2.439427e+01
6.367177e+02	2.439427e+01
6.406240e+02	2.448929e+01
6.445302e+02	2.456054e+01
6.484364e+02	2.460805e+01
6.523426e+02	2.458430e+01
6.562489e+02	2.467931e+01
6.601551e+02	2.475057e+01
6.640613e+02	2.470306e+01
6.679675e+02	2.465556e+01
6.718737e+02	2.470306e+01
6.757800e+02	2.472681e+01
6.796862e+02	2.465556e+01
6.835924e+02	2.472681e+01
6.874986e+02	2.479807e+01
6.914049e+02	2.486933e+01
6.953111e+02	2.484558e+01
6.992173e+02	2.491684e+01
7.031235e+02	2.494059e+01
7.070298e+02	2.496434e+01
7.109360e+02	2.486933e+01
7.148422e+02	2.491684e+01
7.187484e+02	2.496434e+01
7.226546e+02	2.496434e+01
7.265609e+02	2.494059e+01
7.304671e+02	2.503560e+01
7.343733e+02	2.505936e+01
7.382795e+02	2.510686e+01
7.421858e+02	2.513061e+01
7.460920e+02	2.515437e+01
7.499982e+02	2.513061e+01
7.539044e+02	2.517812e+01
7.578107e+02	2.515437e+01
7.617169e+02	2.510686e+01
7.656231e+02	2.520187e+01
7.695293e+02	2.524938e+01
7.734355e+02	2.534439e+01
7.773418e+02	2.532064e+01
7.812480e+02	2.534439e+01
7.851542e+02	2.534439e+01
7.890604e+02	2.524938e+01
7.929667e+02	2.527313e+01
7.968729e+02	2.536814e+01
8.007791e+02	2.532064e+01
8.046853e+02	2.539189e+01
8.085916e+02	2.546316e+01
8.124978e+02	2.546316e+01
8.164040e+02	2.546316e+01
8.203102e+02	2.555817e+01
8.242164e+02	2.562943e+01
8.281227e+02	2.560567e+01
8.320289e+02	2.560567e+01
8.359351e+02	2.555817e+01
8.398413e+02	2.558192e+01
8.437476e+02	2.562943e+01
8.476538e+02	2.562943e+01
8.515600e+02	2.565318e+01
8.554662e+02	2.567693e+01
8.593724e+02	2.572444e+01
8.632787e+02	2.584320e+01
8.671849e+02	2.579570e+01
8.710911e+02	2.574819e+01
8.749973e+02	2.574819e+01
8.789036e+02	2.577194e+01
8.828098e+02	2.579570e+01
8.867160e+02	2.584320e+01
8.906222e+02	2.591446e+01
8.945285e+02	2.596197e+01
8.984347e+02	2.596197e+01
9.023409e+02	2.593821e+01
9.062471e+02	2.603323e+01
9.101533e+02	2.610449e+01
9.140596e+02	2.608073e+01
9.179658e+02	2.598572e+01
9.218720e+02	2.600947e+01
9.257782e+02	2.608073e+01
9.296845e+02	2.615199e+01
9.335907e+02	2.615199e+01
9.374969e+02	2.619950e+01
9.414031e+02	2.619950e+01
9.453094e+02	2.624700e+01
9.492156e+02	2.629451e+01
9.531218e+02	2.624700e+01
9.570281e+02	2.624700e+01
9.609344e+02	2.627075e+01
9.648406e+02	2.634201e+01
9.687469e+02	2.648453e+01
9.726532e+02	2.648453e+01
9.765595e+02	2.650829e+01
9.804658e+02	2.653204e+01
9.843720e+02	2.615199e+01
9.882783e+02	2.517812e+01
9.921846e+02	2.783845e+01
9.960909e+02	3.045127e+01
