    um         	nN
4.140625e-01	1.410925e+01
4.218750e-01	1.418051e+01
4.296875e-01	1.425177e+01
4.375000e-01	1.425177e+01
4.453125e-01	1.432303e+01
4.531250e-01	1.439428e+01
4.609375e-01	1.453680e+01
4.687500e-01	1.451305e+01
4.765625e-01	1.453680e+01
4.843750e-01	1.453680e+01
4.921875e-01	1.453680e+01
5.000000e-01	1.451305e+01
5.078125e-01	1.458431e+01
5.156250e-01	1.460806e+01
5.234375e-01	1.467932e+01
5.312500e-01	1.477433e+01
5.390625e-01	1.477433e+01
5.468750e-01	1.482184e+01
5.546875e-01	1.486934e+01
5.625000e-01	1.494060e+01
5.703125e-01	1.501186e+01
5.781250e-01	1.486934e+01
5.859375e-01	1.503561e+01
5.937500e-01	1.501186e+01
6.015625e-01	1.510687e+01
6.093750e-01	1.522564e+01
6.171875e-01	1.539191e+01
6.250000e-01	1.534440e+01
6.328125e-01	1.536815e+01
6.406250e-01	1.548692e+01
6.484375e-01	1.558193e+01
6.562501e-01	1.553443e+01
6.640626e-01	1.553443e+01
6.718751e-01	1.565319e+01
6.796876e-01	1.567694e+01
6.875001e-01	1.574820e+01
6.953126e-01	1.589072e+01
7.031251e-01	1.581946e+01
7.109376e-01	1.586697e+01
7.187501e-01	1.591447e+01
7.265626e-01	1.603324e+01
7.343751e-01	1.603324e+01
7.421876e-01	1.600948e+01
7.500001e-01	1.612825e+01
7.578126e-01	1.619951e+01
7.656251e-01	1.619951e+01
7.734376e-01	1.624701e+01
7.812501e-01	1.629452e+01
7.890626e-01	1.631827e+01
7.968751e-01	1.634202e+01
8.046876e-01	1.648454e+01
8.125001e-01	1.653205e+01
8.203126e-01	1.646079e+01
8.281251e-01	1.648454e+01
8.359376e-01	1.650830e+01
8.437501e-01	1.653205e+01
8.515626e-01	1.657955e+01
8.593751e-01	1.667457e+01
8.671876e-01	1.679333e+01
8.750001e-01	1.686459e+01
8.828126e-01	1.684084e+01
8.906251e-01	1.688834e+01
8.984376e-01	1.691209e+01
9.062501e-01	1.686459e+01
9.140626e-01	1.691209e+01
9.218751e-01	1.703086e+01
9.296876e-01	1.705461e+01
9.375001e-01	1.714963e+01
9.453126e-01	1.726839e+01
9.531252e-01	1.733965e+01
9.609377e-01	1.741091e+01
9.687501e-01	1.748217e+01
9.765625e-01	1.748217e+01
9.843750e-01	1.750592e+01
9.921874e-01	1.755343e+01
9.999999e-01	1.750592e+01
1.007812e+00	1.760093e+01
1.015625e+00	1.767219e+01
1.023437e+00	1.783846e+01
1.031250e+00	1.793347e+01
1.039062e+00	1.793347e+01
1.046875e+00	1.800473e+01
1.054687e+00	1.807599e+01
1.062499e+00	1.805224e+01
1.070312e+00	1.800473e+01
1.078124e+00	1.807599e+01
1.085937e+00	1.812350e+01
1.093749e+00	1.826601e+01
1.101562e+00	1.828977e+01
1.109374e+00	1.840853e+01
1.117187e+00	1.828977e+01
1.124999e+00	1.836102e+01
1.132811e+00	1.845604e+01
1.140624e+00	1.850354e+01
1.148436e+00	1.845604e+01
1.156249e+00	1.845604e+01
1.164061e+00	1.852730e+01
1.171874e+00	1.852730e+01
1.179686e+00	1.857480e+01
1.187499e+00	1.869357e+01
1.195311e+00	1.876482e+01
1.203123e+00	1.885984e+01
1.210936e+00	1.883608e+01
1.218748e+00	1.883608e+01
1.226561e+00	1.885984e+01
1.234373e+00	1.878858e+01
1.242186e+00	1.888359e+01
1.249998e+00	1.890734e+01
1.257811e+00	1.902611e+01
1.265623e+00	1.902611e+01
1.273435e+00	1.912112e+01
1.281248e+00	1.914487e+01
1.289060e+00	1.926364e+01
1.296873e+00	1.935865e+01
1.304685e+00	1.938240e+01
1.312498e+00	1.931114e+01
1.320310e+00	1.942991e+01
1.328123e+00	1.954867e+01
1.335935e+00	1.957243e+01
1.343747e+00	1.966744e+01
1.351560e+00	1.973870e+01
1.359372e+00	1.983371e+01
1.367185e+00	1.988121e+01
1.374997e+00	1.995247e+01
1.382810e+00	2.002373e+01
1.390622e+00	1.999998e+01
1.398435e+00	2.009499e+01
1.406247e+00	2.019000e+01
1.414060e+00	2.014250e+01
1.421872e+00	2.030877e+01
1.429684e+00	2.038002e+01
1.437497e+00	2.045128e+01
1.445309e+00	2.042753e+01
1.453122e+00	2.049879e+01
1.460934e+00	2.047504e+01
1.468747e+00	2.040378e+01
1.476559e+00	2.035627e+01
1.484372e+00	2.042753e+01
1.492184e+00	2.049879e+01
1.499996e+00	2.052254e+01
1.507809e+00	2.059380e+01
1.515621e+00	2.064131e+01
1.523434e+00	2.071257e+01
1.531246e+00	2.078383e+01
1.539059e+00	2.080758e+01
1.546871e+00	2.087884e+01
1.554684e+00	2.085508e+01
1.562496e+00	2.087884e+01
1.570308e+00	2.083133e+01
1.578121e+00	2.090259e+01
1.585933e+00	2.097385e+01
1.593746e+00	2.111637e+01
1.601558e+00	2.109261e+01
1.609371e+00	2.114012e+01
1.617183e+00	2.121138e+01
1.624996e+00	2.135390e+01
1.632808e+00	2.125888e+01
1.640620e+00	2.125888e+01
1.648433e+00	2.137765e+01
1.656245e+00	2.144891e+01
1.664058e+00	2.154392e+01
1.671870e+00	2.163893e+01
1.679683e+00	2.166268e+01
1.687495e+00	2.166268e+01
1.695308e+00	2.175770e+01
1.703120e+00	2.182896e+01
1.710932e+00	2.190021e+01
1.718745e+00	2.182896e+01
1.726557e+00	2.194772e+01
1.734370e+00	2.211399e+01
1.742182e+00	2.204273e+01
1.749995e+00	2.209024e+01
1.757807e+00	2.218525e+01
1.765620e+00	2.228026e+01
1.773432e+00	2.228026e+01
1.781244e+00	2.239903e+01
1.789057e+00	2.239903e+01
1.796869e+00	2.239903e+01
1.804682e+00	2.244653e+01
1.812494e+00	2.247029e+01
1.820307e+00	2.249404e+01
1.828119e+00	2.258905e+01
1.835932e+00	2.268406e+01
1.843744e+00	2.263655e+01
1.851556e+00	2.266031e+01
1.859369e+00	2.277907e+01
1.867181e+00	2.289784e+01
1.874994e+00	2.289784e+01
1.882806e+00	2.285033e+01
1.890619e+00	2.292159e+01
1.898431e+00	2.287408e+01
1.906244e+00	2.294534e+01
1.914056e+00	2.304036e+01
1.921869e+00	2.308786e+01
1.929681e+00	2.313537e+01
1.937494e+00	2.320662e+01
1.945306e+00	2.325413e+01
1.953119e+00	2.342040e+01
1.960932e+00	2.332539e+01
1.968744e+00	2.334914e+01
1.976557e+00	2.344416e+01
1.984369e+00	2.356292e+01
1.992182e+00	2.358667e+01
