    um         	nN
3.515625e-01	1.496436e+01
3.593750e-01	1.496436e+01
3.671875e-01	1.503561e+01
3.750000e-01	1.508312e+01
3.828125e-01	1.508312e+01
3.906250e-01	1.508312e+01
3.984375e-01	1.510687e+01
4.062500e-01	1.515438e+01
4.140625e-01	1.529690e+01
4.218750e-01	1.536815e+01
4.296875e-01	1.541566e+01
4.375000e-01	1.551067e+01
4.453125e-01	1.548692e+01
4.531250e-01	1.555818e+01
4.609375e-01	1.570069e+01
4.687500e-01	1.562944e+01
4.765625e-01	1.567694e+01
4.843751e-01	1.579571e+01
4.921876e-01	1.579571e+01
5.000001e-01	1.579571e+01
5.078126e-01	1.593822e+01
5.156251e-01	1.598573e+01
5.234376e-01	1.610450e+01
5.312501e-01	1.617575e+01
5.390626e-01	1.619951e+01
5.468751e-01	1.617575e+01
5.546876e-01	1.624701e+01
5.625001e-01	1.631827e+01
5.703126e-01	1.624701e+01
5.781251e-01	1.627077e+01
5.859376e-01	1.643704e+01
5.937501e-01	1.646079e+01
6.015626e-01	1.646079e+01
6.093751e-01	1.655580e+01
6.171876e-01	1.667457e+01
6.250001e-01	1.667457e+01
6.328126e-01	1.662706e+01
6.406251e-01	1.665081e+01
6.484376e-01	1.662706e+01
6.562501e-01	1.669832e+01
6.640626e-01	1.679333e+01
6.718751e-01	1.679333e+01
6.796876e-01	1.688834e+01
6.875001e-01	1.688834e+01
6.953126e-01	1.691209e+01
7.031251e-01	1.693585e+01
7.109376e-01	1.691209e+01
7.187501e-01	1.693585e+01
7.265626e-01	1.703086e+01
7.343751e-01	1.705461e+01
7.421876e-01	1.714963e+01
7.500001e-01	1.722088e+01
7.578126e-01	1.729214e+01
7.656251e-01	1.729214e+01
7.734376e-01	1.741091e+01
7.812502e-01	1.743466e+01
7.890627e-01	1.748217e+01
7.968752e-01	1.745841e+01
8.046877e-01	1.757718e+01
8.125002e-01	1.764844e+01
8.203127e-01	1.774345e+01
8.281252e-01	1.776720e+01
8.359377e-01	1.786221e+01
8.437502e-01	1.786221e+01
8.515627e-01	1.802849e+01
8.593752e-01	1.812350e+01
8.671877e-01	1.821851e+01
8.750002e-01	1.807599e+01
8.828127e-01	1.802849e+01
8.906252e-01	1.814725e+01
8.984377e-01	1.819475e+01
9.062502e-01	1.824226e+01
9.140627e-01	1.831352e+01
9.218752e-01	1.838478e+01
9.296877e-01	1.843228e+01
9.375002e-01	1.847979e+01
9.453127e-01	1.847979e+01
9.531252e-01	1.850354e+01
9.609377e-01	1.843228e+01
9.687501e-01	1.852730e+01
9.765625e-01	1.855105e+01
9.843750e-01	1.859856e+01
9.921874e-01	1.866981e+01
9.999999e-01	1.866981e+01
1.007812e+00	1.869357e+01
1.015625e+00	1.869357e+01
1.023437e+00	1.876482e+01
1.031250e+00	1.883608e+01
1.039062e+00	1.881233e+01
1.046875e+00	1.881233e+01
1.054687e+00	1.893109e+01
1.062499e+00	1.900236e+01
1.070312e+00	1.907361e+01
1.078124e+00	1.912112e+01
1.085937e+00	1.916863e+01
1.093749e+00	1.919238e+01
1.101562e+00	1.928739e+01
1.109374e+00	1.935865e+01
1.117187e+00	1.945366e+01
1.124999e+00	1.942991e+01
1.132811e+00	1.950117e+01
1.140624e+00	1.959618e+01
1.148436e+00	1.969119e+01
1.156249e+00	1.978620e+01
1.164061e+00	1.985746e+01
1.171874e+00	1.992872e+01
1.179686e+00	2.004748e+01
1.187499e+00	2.004748e+01
1.195311e+00	2.014250e+01
1.203123e+00	2.007124e+01
1.210936e+00	2.002373e+01
1.218748e+00	2.014250e+01
1.226561e+00	2.014250e+01
1.234373e+00	2.026126e+01
1.242186e+00	2.030877e+01
1.249998e+00	2.040378e+01
1.257811e+00	2.040378e+01
1.265623e+00	2.040378e+01
1.273435e+00	2.045128e+01
1.281248e+00	2.042753e+01
1.289060e+00	2.049879e+01
1.296873e+00	2.049879e+01
1.304685e+00	2.042753e+01
1.312498e+00	2.057005e+01
1.320310e+00	2.059380e+01
1.328123e+00	2.068881e+01
1.335935e+00	2.073632e+01
1.343747e+00	2.076007e+01
1.351560e+00	2.090259e+01
1.359372e+00	2.085508e+01
1.367185e+00	2.087884e+01
1.374997e+00	2.097385e+01
1.382810e+00	2.095010e+01
1.390622e+00	2.095010e+01
1.398435e+00	2.102135e+01
1.406247e+00	2.109261e+01
1.414060e+00	2.118763e+01
1.421872e+00	2.121138e+01
1.429684e+00	2.128264e+01
1.437497e+00	2.137765e+01
1.445309e+00	2.135390e+01
1.453122e+00	2.133014e+01
1.460934e+00	2.135390e+01
1.468747e+00	2.147266e+01
1.476559e+00	2.159143e+01
1.484372e+00	2.166268e+01
1.492184e+00	2.175770e+01
1.499996e+00	2.178145e+01
1.507809e+00	2.182896e+01
1.515621e+00	2.192397e+01
1.523434e+00	2.194772e+01
1.531246e+00	2.192397e+01
1.539059e+00	2.204273e+01
1.546871e+00	2.199523e+01
1.554684e+00	2.206648e+01
1.562496e+00	2.216150e+01
1.570308e+00	2.230401e+01
1.578121e+00	2.237527e+01
1.585933e+00	2.230401e+01
1.593746e+00	2.244653e+01
1.601558e+00	2.247029e+01
1.609371e+00	2.237527e+01
1.617183e+00	2.239903e+01
1.624996e+00	2.244653e+01
1.632808e+00	2.242278e+01
1.640620e+00	2.251779e+01
1.648433e+00	2.256530e+01
1.656245e+00	2.261280e+01
1.664058e+00	2.268406e+01
1.671870e+00	2.277907e+01
1.679683e+00	2.285033e+01
1.687495e+00	2.282658e+01
1.695308e+00	2.280283e+01
1.703120e+00	2.287408e+01
1.710932e+00	2.282658e+01
1.718745e+00	2.287408e+01
1.726557e+00	2.292159e+01
1.734370e+00	2.301660e+01
1.742182e+00	2.294534e+01
1.749995e+00	2.311161e+01
1.757807e+00	2.318287e+01
1.765620e+00	2.323038e+01
1.773432e+00	2.320662e+01
1.781244e+00	2.327788e+01
1.789057e+00	2.330164e+01
1.796869e+00	2.337290e+01
1.804682e+00	2.349166e+01
1.812494e+00	2.361043e+01
1.820307e+00	2.363418e+01
1.828119e+00	2.365793e+01
1.835932e+00	2.377670e+01
1.843744e+00	2.380045e+01
1.851556e+00	2.380045e+01
1.859369e+00	2.372919e+01
1.867181e+00	2.391922e+01
1.874994e+00	2.391922e+01
1.882806e+00	2.401423e+01
1.890619e+00	2.410924e+01
1.898431e+00	2.420425e+01
1.906244e+00	2.425175e+01
1.914056e+00	2.432301e+01
1.921869e+00	2.439427e+01
1.929681e+00	2.432301e+01
1.937494e+00	2.432301e+01
1.945306e+00	2.434677e+01
1.953119e+00	2.439427e+01
1.960932e+00	2.446553e+01
1.968744e+00	2.451304e+01
1.976557e+00	2.453679e+01
1.984369e+00	2.460805e+01
1.992182e+00	2.467931e+01
