    nm         	nN
2.851563e+02	5.102132e+01
2.871094e+02	5.159140e+01
2.890625e+02	5.230398e+01
2.910157e+02	5.209020e+01
2.929688e+02	5.370541e+01
2.949219e+02	5.394293e+01
2.968750e+02	5.406170e+01
2.988281e+02	5.456051e+01
3.007812e+02	5.543937e+01
3.027343e+02	5.567690e+01
3.046874e+02	5.691205e+01
3.066405e+02	6.102131e+01
3.085937e+02	6.218520e+01
3.105468e+02	6.318282e+01
3.124999e+02	6.406169e+01
3.144530e+02	6.491680e+01
3.164061e+02	6.551062e+01
3.183592e+02	6.752961e+01
3.203123e+02	6.961987e+01
3.222654e+02	7.064126e+01
3.242185e+02	7.201892e+01
3.261717e+02	7.289778e+01
3.281248e+02	7.380039e+01
3.300779e+02	7.441798e+01
3.320310e+02	7.548685e+01
3.339841e+02	7.681702e+01
3.359372e+02	7.700704e+01
3.378903e+02	7.800466e+01
3.398434e+02	7.950110e+01
3.417966e+02	8.049873e+01
3.437497e+02	8.059374e+01
3.457028e+02	8.190015e+01
3.476559e+02	8.277901e+01
3.496090e+02	8.387164e+01
3.515621e+02	8.494052e+01
3.535152e+02	8.636570e+01
3.554683e+02	8.847972e+01
3.574214e+02	8.940608e+01
3.593746e+02	9.035620e+01
3.613277e+02	9.090251e+01
3.632808e+02	9.199515e+01
3.652339e+02	9.277900e+01
3.671870e+02	9.444170e+01
3.691401e+02	9.510678e+01
3.710932e+02	9.596189e+01
3.730463e+02	9.895476e+01
3.749994e+02	1.000711e+02
3.769526e+02	1.008312e+02
3.789057e+02	1.022089e+02
3.808588e+02	1.031590e+02
3.828119e+02	1.039191e+02
3.847650e+02	1.047030e+02
3.867181e+02	1.055581e+02
3.886712e+02	1.069833e+02
3.906243e+02	1.080521e+02
3.925774e+02	1.100236e+02
3.945306e+02	1.121139e+02
3.964837e+02	1.128265e+02
3.984368e+02	1.131353e+02
4.003899e+02	1.152493e+02
4.023430e+02	1.167220e+02
4.042961e+02	1.187410e+02
4.062492e+02	1.200711e+02
4.082023e+02	1.207837e+02
4.101555e+02	1.217101e+02
4.121086e+02	1.227077e+02
4.140617e+02	1.238953e+02
4.160148e+02	1.252255e+02
4.179679e+02	1.266507e+02
4.199210e+02	1.268645e+02
4.218741e+02	1.276483e+02
4.238272e+02	1.291210e+02
4.257803e+02	1.295248e+02
4.277335e+02	1.304037e+02
4.296866e+02	1.312350e+02
4.316397e+02	1.322089e+02
4.335928e+02	1.347029e+02
4.355459e+02	1.362231e+02
4.374990e+02	1.368882e+02
4.394521e+02	1.379808e+02
4.414052e+02	1.390972e+02
4.433583e+02	1.413300e+02
4.453115e+02	1.431827e+02
4.472646e+02	1.443229e+02
4.492177e+02	1.451780e+02
4.511708e+02	1.461994e+02
4.531239e+02	1.464369e+02
4.550770e+02	1.475533e+02
4.570301e+02	1.484084e+02
4.589832e+02	1.489785e+02
4.609363e+02	1.502849e+02
4.628895e+02	1.518763e+02
4.648426e+02	1.531827e+02
4.667957e+02	1.538478e+02
4.687488e+02	1.551067e+02
4.707019e+02	1.563419e+02
4.726550e+02	1.571970e+02
4.746081e+02	1.581471e+02
4.765612e+02	1.589785e+02
4.785144e+02	1.602374e+02
4.804675e+02	1.605461e+02
4.824207e+02	1.615675e+02
4.843738e+02	1.628264e+02
4.863269e+02	1.634440e+02
4.882801e+02	1.646079e+02
4.902332e+02	1.665556e+02
4.921864e+02	1.682183e+02
4.941395e+02	1.688359e+02
4.960926e+02	1.699286e+02
4.980458e+02	1.701423e+02
