    nm         	nN
3.906251e+01	6.990491e+01
4.296876e+01	6.954862e+01
4.687501e+01	6.912106e+01
5.078126e+01	6.893104e+01
5.468751e+01	6.821845e+01
5.859376e+01	6.769589e+01
6.250001e+01	6.757713e+01
6.640627e+01	6.748211e+01
7.031252e+01	6.532060e+01
7.421877e+01	6.577190e+01
7.812502e+01	6.479803e+01
8.203127e+01	6.517808e+01
8.593752e+01	6.403793e+01
8.984377e+01	6.432297e+01
9.375002e+01	6.339661e+01
9.765628e+01	6.332534e+01
1.015625e+02	6.282654e+01
1.054688e+02	6.182891e+01
1.093750e+02	6.175765e+01
1.132813e+02	6.018996e+01
1.171875e+02	6.099756e+01
1.210938e+02	6.004744e+01
1.250000e+02	6.004744e+01
1.289063e+02	5.942987e+01
1.328125e+02	5.864602e+01
1.367188e+02	5.826597e+01
1.406250e+02	5.795718e+01
1.445313e+02	5.798093e+01
1.484375e+02	5.743462e+01
1.523438e+02	5.629447e+01
1.562500e+02	5.622322e+01
1.601563e+02	5.546312e+01
1.640625e+02	5.551063e+01
1.679688e+02	5.553438e+01
1.718750e+02	5.505932e+01
1.757813e+02	5.342037e+01
1.796875e+02	5.325410e+01
1.835938e+02	5.368165e+01
1.875000e+02	5.387168e+01
1.914063e+02	5.180517e+01
1.953126e+02	5.185268e+01
1.992188e+02	5.230398e+01
2.031251e+02	5.106883e+01
2.070313e+02	5.095006e+01
2.109376e+02	5.087881e+01
2.148438e+02	4.988118e+01
2.187501e+02	4.931111e+01
2.226563e+02	4.995244e+01
2.265626e+02	5.035624e+01
2.304688e+02	4.878855e+01
2.343751e+02	4.843225e+01
2.382813e+02	4.826598e+01
2.421876e+02	4.795719e+01
2.460938e+02	4.755339e+01
2.500001e+02	4.774341e+01
2.539063e+02	4.705458e+01
2.578126e+02	4.674579e+01
2.617188e+02	4.567691e+01
2.656251e+02	4.574817e+01
2.695313e+02	4.463178e+01
2.734376e+02	4.560565e+01
2.773438e+02	4.394294e+01
2.812501e+02	4.410921e+01
2.851563e+02	4.370542e+01
2.890626e+02	4.296907e+01
2.929688e+02	4.311159e+01
2.968751e+02	4.251777e+01
3.007813e+02	4.156765e+01
3.046876e+02	4.166266e+01
3.085938e+02	4.083131e+01
3.125001e+02	4.087881e+01
3.164063e+02	3.980993e+01
3.203126e+02	3.985744e+01
3.242188e+02	3.966742e+01
3.281251e+02	3.833725e+01
3.320313e+02	3.802846e+01
3.359376e+02	3.847977e+01
3.398438e+02	3.695958e+01
3.437501e+02	3.591445e+01
3.476563e+02	3.669830e+01
3.515626e+02	3.546315e+01
3.554688e+02	3.532063e+01
3.593751e+02	3.510685e+01
3.632813e+02	3.384794e+01
3.671876e+02	3.356291e+01
3.710938e+02	3.256529e+01
3.750001e+02	3.282657e+01
3.789063e+02	3.237526e+01
3.828126e+02	3.209023e+01
3.867189e+02	3.080757e+01
3.906251e+02	3.071256e+01
3.945314e+02	3.095009e+01
3.984376e+02	2.959617e+01
4.023439e+02	2.999997e+01
4.062501e+02	2.912111e+01
4.101564e+02	2.771969e+01
4.140626e+02	2.750591e+01
4.179689e+02	2.798097e+01
4.218751e+02	2.710211e+01
4.257814e+02	2.665080e+01
4.296876e+02	2.736339e+01
4.335939e+02	2.598572e+01
4.375001e+02	2.524938e+01
4.414064e+02	2.536814e+01
4.453126e+02	2.572444e+01
