    um         	nN
1.453125e+00	2.555817e+01
1.460938e+00	2.565318e+01
1.468750e+00	2.562943e+01
1.476562e+00	2.565318e+01
1.484375e+00	2.577194e+01
1.492187e+00	2.584320e+01
1.500000e+00	2.589071e+01
1.507812e+00	2.593821e+01
1.515625e+00	2.610449e+01
1.523437e+00	2.610449e+01
1.531250e+00	2.610449e+01
1.539062e+00	2.612824e+01
1.546875e+00	2.617574e+01
1.554687e+00	2.612824e+01
1.562499e+00	2.634201e+01
1.570312e+00	2.631826e+01
1.578124e+00	2.646078e+01
1.585937e+00	2.643703e+01
1.593749e+00	2.650829e+01
1.601562e+00	2.650829e+01
1.609374e+00	2.646078e+01
1.617187e+00	2.646078e+01
1.624999e+00	2.648453e+01
1.632811e+00	2.655579e+01
1.640624e+00	2.669831e+01
1.648436e+00	2.676957e+01
1.656249e+00	2.679332e+01
1.664061e+00	2.686458e+01
1.671874e+00	2.698334e+01
1.679686e+00	2.710211e+01
1.687499e+00	2.705460e+01
1.695311e+00	2.707836e+01
1.703123e+00	2.707836e+01
1.710936e+00	2.714961e+01
1.718748e+00	2.722087e+01
1.726561e+00	2.726838e+01
1.734373e+00	2.733964e+01
1.742186e+00	2.736339e+01
1.749998e+00	2.745840e+01
1.757811e+00	2.748216e+01
1.765623e+00	2.762467e+01
1.773435e+00	2.752966e+01
1.781248e+00	2.750591e+01
1.789060e+00	2.755341e+01
1.796873e+00	2.767218e+01
1.804685e+00	2.774344e+01
1.812498e+00	2.776719e+01
1.820310e+00	2.788596e+01
1.828123e+00	2.795721e+01
1.835935e+00	2.798097e+01
1.843747e+00	2.805223e+01
1.851560e+00	2.798097e+01
1.859372e+00	2.807598e+01
1.867185e+00	2.814724e+01
1.874997e+00	2.817099e+01
1.882810e+00	2.821850e+01
1.890622e+00	2.819474e+01
1.898435e+00	2.862230e+01
1.906247e+00	2.907360e+01
1.914060e+00	2.990496e+01
1.921872e+00	3.007122e+01
1.929685e+00	3.059379e+01
1.937497e+00	3.109260e+01
1.945310e+00	3.173393e+01
1.953122e+00	3.247028e+01
1.960935e+00	3.292158e+01
1.968747e+00	3.365792e+01
1.976560e+00	3.372918e+01
1.984373e+00	3.472680e+01
1.992185e+00	3.541564e+01
