    um         	nN
1.390625e+00	2.448929e+01
1.398438e+00	2.456054e+01
1.406250e+00	2.460805e+01
1.414062e+00	2.467931e+01
1.421875e+00	2.475057e+01
1.429687e+00	2.479807e+01
1.437500e+00	2.482182e+01
1.445312e+00	2.494059e+01
1.453125e+00	2.505936e+01
1.460937e+00	2.505936e+01
1.468750e+00	2.503560e+01
1.476562e+00	2.508311e+01
1.484374e+00	2.508311e+01
1.492187e+00	2.522563e+01
1.499999e+00	2.524938e+01
1.507812e+00	2.534439e+01
1.515624e+00	2.539189e+01
1.523437e+00	2.546316e+01
1.531249e+00	2.546316e+01
1.539062e+00	2.555817e+01
1.546874e+00	2.555817e+01
1.554686e+00	2.555817e+01
1.562499e+00	2.560567e+01
1.570311e+00	2.562943e+01
1.578124e+00	2.570068e+01
1.585936e+00	2.574819e+01
1.593749e+00	2.581945e+01
1.601561e+00	2.584320e+01
1.609374e+00	2.593821e+01
1.617186e+00	2.600947e+01
1.624999e+00	2.612824e+01
1.632811e+00	2.605698e+01
1.640623e+00	2.608073e+01
1.648436e+00	2.617574e+01
1.656248e+00	2.622325e+01
1.664061e+00	2.636577e+01
1.671873e+00	2.638952e+01
1.679686e+00	2.643703e+01
1.687498e+00	2.643703e+01
1.695311e+00	2.648453e+01
1.703123e+00	2.657954e+01
1.710935e+00	2.653204e+01
1.718748e+00	2.660330e+01
1.726560e+00	2.667456e+01
1.734373e+00	2.665080e+01
1.742185e+00	2.676957e+01
1.749998e+00	2.691208e+01
1.757810e+00	2.695959e+01
1.765623e+00	2.705460e+01
1.773435e+00	2.705460e+01
1.781247e+00	2.719712e+01
1.789060e+00	2.722087e+01
1.796872e+00	2.712586e+01
1.804685e+00	2.722087e+01
1.812497e+00	2.726838e+01
1.820310e+00	2.731589e+01
1.828122e+00	2.736339e+01
1.835935e+00	2.738714e+01
1.843747e+00	2.743465e+01
1.851559e+00	2.757717e+01
1.859372e+00	2.767218e+01
1.867184e+00	2.767218e+01
1.874997e+00	2.762467e+01
1.882809e+00	2.767218e+01
1.890622e+00	2.769593e+01
1.898434e+00	2.769593e+01
1.906247e+00	2.779094e+01
1.914059e+00	2.786220e+01
1.921872e+00	2.774344e+01
1.929684e+00	2.774344e+01
1.937497e+00	2.845603e+01
1.945309e+00	2.942990e+01
1.953122e+00	2.992871e+01
1.960934e+00	3.052253e+01
1.968747e+00	3.087883e+01
1.976560e+00	3.109260e+01
1.984372e+00	3.173393e+01
1.992185e+00	3.280281e+01
