    nm         	nN
3.164062e+01	7.140135e+01
3.281250e+01	7.211394e+01
3.398437e+01	7.190016e+01
3.515624e+01	7.194767e+01
3.632812e+01	7.163888e+01
3.749999e+01	7.128259e+01
3.867186e+01	7.118757e+01
3.984374e+01	7.128259e+01
4.101561e+01	7.035622e+01
4.218748e+01	7.154386e+01
4.335936e+01	7.159137e+01
4.453123e+01	7.102130e+01
4.570310e+01	7.085503e+01
4.687498e+01	7.068876e+01
4.804685e+01	7.059375e+01
4.921872e+01	7.066501e+01
5.039060e+01	7.080752e+01
5.156247e+01	7.047498e+01
5.273434e+01	7.033246e+01
5.390622e+01	6.980990e+01
5.507809e+01	7.004743e+01
5.624996e+01	6.938235e+01
5.742184e+01	6.976239e+01
5.859371e+01	6.938235e+01
5.976558e+01	6.985741e+01
6.093746e+01	6.957237e+01
6.210934e+01	6.847974e+01
6.328121e+01	6.855100e+01
6.445309e+01	6.904980e+01
6.562497e+01	6.871727e+01
6.679684e+01	6.847974e+01
6.796872e+01	6.885978e+01
6.914060e+01	6.814719e+01
7.031247e+01	6.843223e+01
7.148435e+01	6.883603e+01
7.265623e+01	6.755337e+01
7.382810e+01	6.805218e+01
7.499998e+01	6.814719e+01
7.617186e+01	6.795717e+01
7.734373e+01	6.748211e+01
7.851561e+01	6.752961e+01
7.968749e+01	6.795717e+01
8.085937e+01	6.695954e+01
8.203124e+01	6.764838e+01
8.320312e+01	6.757713e+01
8.437500e+01	6.788591e+01
8.554687e+01	6.703080e+01
8.671875e+01	6.736335e+01
8.789063e+01	6.774339e+01
8.906250e+01	6.703080e+01
9.023438e+01	6.752961e+01
9.140626e+01	6.698330e+01
9.257813e+01	6.700706e+01
9.375001e+01	6.674577e+01
9.492189e+01	6.733959e+01
9.609376e+01	6.717332e+01
9.726564e+01	6.714957e+01
9.843752e+01	6.681703e+01
9.960939e+01	6.760088e+01
1.007813e+02	6.679328e+01
1.019531e+02	6.657950e+01
1.031250e+02	6.781465e+01
1.042969e+02	6.705456e+01
1.054688e+02	6.707831e+01
1.066407e+02	6.686454e+01
1.078125e+02	6.726834e+01
1.089844e+02	6.684078e+01
1.101563e+02	6.695954e+01
1.113282e+02	6.660325e+01
1.125000e+02	6.674577e+01
1.136719e+02	6.638948e+01
1.148438e+02	6.681703e+01
1.160157e+02	6.650824e+01
1.171875e+02	6.686454e+01
1.183594e+02	6.705456e+01
1.195313e+02	6.638948e+01
1.207032e+02	6.679328e+01
1.218750e+02	6.686454e+01
1.230469e+02	6.660325e+01
1.242188e+02	6.672202e+01
1.253906e+02	6.624696e+01
1.265625e+02	6.624696e+01
1.277344e+02	6.653200e+01
1.289063e+02	6.691204e+01
1.300781e+02	6.638948e+01
1.312500e+02	6.691204e+01
1.324219e+02	6.698330e+01
1.335937e+02	6.700706e+01
1.347656e+02	6.662701e+01
1.359375e+02	6.674577e+01
1.371093e+02	6.705456e+01
1.382812e+02	6.660325e+01
1.394531e+02	6.655574e+01
1.406249e+02	6.691204e+01
1.417968e+02	6.641323e+01
1.429687e+02	6.681703e+01
1.441406e+02	6.684078e+01
1.453124e+02	6.676952e+01
1.464843e+02	6.686454e+01
1.476562e+02	6.729208e+01
1.488280e+02	6.748211e+01
1.499999e+02	6.662701e+01
1.511718e+02	6.705456e+01
1.523436e+02	6.736335e+01
1.535155e+02	6.679328e+01
1.546874e+02	6.648449e+01
1.558593e+02	6.774339e+01
1.570311e+02	6.798093e+01
1.582030e+02	6.736335e+01
1.593749e+02	6.731584e+01
1.605467e+02	6.862225e+01
1.617186e+02	6.795717e+01
1.628905e+02	6.748211e+01
1.640623e+02	6.826595e+01
1.652342e+02	6.809969e+01
1.664061e+02	6.812344e+01
1.675780e+02	6.812344e+01
1.687498e+02	6.790966e+01
1.699217e+02	6.836098e+01
1.710936e+02	6.802843e+01
1.722654e+02	6.821845e+01
1.734373e+02	6.767213e+01
1.746092e+02	6.800467e+01
1.757810e+02	6.824221e+01
1.769529e+02	6.786216e+01
1.781248e+02	6.843223e+01
1.792966e+02	6.817095e+01
1.804685e+02	6.845598e+01
1.816404e+02	6.900230e+01
1.828123e+02	6.824221e+01
1.839841e+02	6.866976e+01
1.851560e+02	6.890729e+01
1.863279e+02	6.895480e+01
1.874997e+02	6.807593e+01
1.886716e+02	6.933485e+01
1.898435e+02	6.876477e+01
1.910153e+02	6.855100e+01
1.921872e+02	6.921608e+01
1.933591e+02	6.897854e+01
1.945310e+02	6.904980e+01
1.957028e+02	6.921608e+01
1.968747e+02	6.921608e+01
1.980466e+02	6.985741e+01
1.992184e+02	6.957237e+01
2.003903e+02	6.950111e+01
2.015622e+02	6.983365e+01
2.027340e+02	6.909731e+01
2.039059e+02	6.945361e+01
2.050778e+02	7.018995e+01
2.062497e+02	6.969114e+01
2.074215e+02	6.907356e+01
2.085934e+02	6.971489e+01
2.097653e+02	6.973864e+01
2.109371e+02	6.952487e+01
2.121090e+02	7.007118e+01
2.132809e+02	6.959612e+01
2.144527e+02	6.992867e+01
2.156246e+02	6.971489e+01
2.167965e+02	7.018995e+01
2.179683e+02	7.037997e+01
2.191402e+02	7.087878e+01
2.203121e+02	7.028496e+01
2.214840e+02	7.047498e+01
2.226558e+02	7.111631e+01
2.238277e+02	7.061750e+01
2.249996e+02	7.092629e+01
2.261714e+02	7.171013e+01
2.273433e+02	7.144885e+01
2.285152e+02	7.147261e+01
2.296870e+02	7.097380e+01
2.308589e+02	7.161513e+01
2.320308e+02	7.171013e+01
2.332027e+02	7.185265e+01
2.343745e+02	7.213769e+01
2.355464e+02	7.152011e+01
2.367183e+02	7.171013e+01
2.378901e+02	7.199517e+01
2.390620e+02	7.230395e+01
2.402339e+02	7.171013e+01
2.414058e+02	7.197142e+01
2.425777e+02	7.220895e+01
2.437496e+02	7.242272e+01
2.449214e+02	7.247023e+01
2.460933e+02	7.235147e+01
2.472652e+02	7.235147e+01
2.484371e+02	7.211394e+01
2.496090e+02	7.334909e+01
2.507809e+02	7.323032e+01
2.519527e+02	7.256524e+01
2.531246e+02	7.299279e+01
2.542965e+02	7.313531e+01
2.554684e+02	7.275526e+01
2.566403e+02	7.270776e+01
2.578122e+02	7.380039e+01
2.589840e+02	7.434671e+01
2.601559e+02	7.425170e+01
2.613278e+02	7.304030e+01
2.624997e+02	7.356287e+01
2.636716e+02	7.391916e+01
2.648435e+02	7.470300e+01
2.660153e+02	7.446548e+01
2.671872e+02	7.482177e+01
2.683591e+02	7.470300e+01
2.695310e+02	7.546310e+01
2.707029e+02	7.551061e+01
2.718748e+02	7.534433e+01
2.730467e+02	7.510680e+01
2.742185e+02	7.570063e+01
2.753904e+02	7.591441e+01
2.765623e+02	7.572438e+01
2.777342e+02	7.605692e+01
2.789061e+02	7.684077e+01
2.800780e+02	7.596191e+01
2.812498e+02	7.574814e+01
2.824217e+02	7.650823e+01
2.835936e+02	7.660324e+01
2.847655e+02	7.596191e+01
2.859374e+02	7.676951e+01
2.871093e+02	7.674576e+01
2.882811e+02	7.669826e+01
2.894530e+02	7.631821e+01
2.906249e+02	7.712580e+01
2.917968e+02	7.724457e+01
2.929687e+02	7.717331e+01
2.941406e+02	7.733959e+01
2.953124e+02	7.764837e+01
2.964843e+02	7.729208e+01
2.976562e+02	7.741084e+01
2.988281e+02	7.802842e+01
