    nm         	nN
0.000000e+00	7.204267e+01
1.171875e+00	7.192391e+01
2.343750e+00	7.178139e+01
3.515625e+00	7.090254e+01
4.687500e+00	7.180515e+01
5.859375e+00	7.206643e+01
7.031250e+00	7.130633e+01
8.203124e+00	7.007118e+01
9.374999e+00	7.095004e+01
1.054687e+01	7.104505e+01
1.171875e+01	7.083128e+01
1.289062e+01	7.021370e+01
1.406250e+01	7.083128e+01
1.523437e+01	7.078377e+01
1.640625e+01	6.997617e+01
1.757812e+01	7.111631e+01
1.875000e+01	7.030872e+01
1.992187e+01	7.004743e+01
2.109375e+01	6.999992e+01
2.226562e+01	7.002367e+01
2.343750e+01	6.990491e+01
2.460937e+01	7.004743e+01
2.578125e+01	6.992867e+01
2.695312e+01	6.921608e+01
2.812500e+01	6.904980e+01
2.929687e+01	6.954862e+01
3.046875e+01	6.945361e+01
3.164062e+01	6.952487e+01
3.281249e+01	6.909731e+01
3.398437e+01	6.959612e+01
3.515624e+01	6.904980e+01
3.632811e+01	6.940610e+01
3.749999e+01	6.883603e+01
3.867186e+01	6.923982e+01
3.984373e+01	6.862225e+01
4.101561e+01	6.859850e+01
4.218748e+01	6.926358e+01
4.335935e+01	6.890729e+01
4.453123e+01	6.864600e+01
4.570310e+01	6.928734e+01
4.687497e+01	6.900230e+01
4.804685e+01	6.852724e+01
4.921872e+01	6.850348e+01
5.039059e+01	6.921608e+01
5.156247e+01	6.850348e+01
5.273434e+01	6.840848e+01
5.390621e+01	6.812344e+01
5.507809e+01	6.876477e+01
5.624996e+01	6.824221e+01
5.742183e+01	6.852724e+01
5.859371e+01	6.878852e+01
5.976558e+01	6.824221e+01
6.093746e+01	6.786216e+01
6.210934e+01	6.826595e+01
6.328121e+01	6.859850e+01
6.445309e+01	6.798093e+01
6.562497e+01	6.767213e+01
6.679684e+01	6.845598e+01
6.796872e+01	6.850348e+01
6.914060e+01	6.779090e+01
7.031247e+01	6.750587e+01
7.148435e+01	6.833722e+01
7.265623e+01	6.767213e+01
7.382810e+01	6.817095e+01
7.499998e+01	6.817095e+01
7.617186e+01	6.807593e+01
