    nm         	nN
1.910156e+02	9.016617e+01
1.921875e+02	8.983363e+01
1.933594e+02	8.973862e+01
1.945312e+02	9.037995e+01
1.957031e+02	9.042746e+01
1.968750e+02	8.978612e+01
1.980468e+02	8.921606e+01
1.992187e+02	8.907354e+01
2.003906e+02	8.976237e+01
2.015624e+02	8.878850e+01
2.027343e+02	8.895477e+01
2.039062e+02	8.921606e+01
2.050781e+02	8.919230e+01
2.062499e+02	8.878850e+01
2.074218e+02	8.885976e+01
2.085937e+02	8.845596e+01
2.097655e+02	8.850347e+01
2.109374e+02	8.847972e+01
2.121093e+02	8.793339e+01
2.132811e+02	8.795715e+01
2.144530e+02	8.847972e+01
2.156249e+02	8.805216e+01
2.167967e+02	8.698328e+01
2.179686e+02	8.802841e+01
2.191405e+02	8.805216e+01
2.203124e+02	8.762461e+01
2.214842e+02	8.688826e+01
2.226561e+02	8.712579e+01
2.238280e+02	8.705454e+01
2.249998e+02	8.724456e+01
2.261717e+02	8.695952e+01
2.273436e+02	8.719706e+01
2.285154e+02	8.726831e+01
2.296873e+02	8.665074e+01
2.308592e+02	8.688826e+01
2.320311e+02	8.726831e+01
2.332029e+02	8.684076e+01
2.343748e+02	8.717331e+01
2.355467e+02	8.724456e+01
2.367185e+02	8.672200e+01
2.378904e+02	8.660323e+01
2.390623e+02	8.724456e+01
2.402342e+02	8.691202e+01
2.414060e+02	8.672200e+01
2.425779e+02	8.646072e+01
2.437498e+02	8.724456e+01
2.449217e+02	8.643696e+01
2.460936e+02	8.600941e+01
2.472655e+02	8.726831e+01
2.484373e+02	8.629444e+01
2.496092e+02	8.636570e+01
2.507811e+02	8.636570e+01
2.519530e+02	8.714955e+01
2.531249e+02	8.653197e+01
2.542968e+02	8.627069e+01
2.554686e+02	8.631820e+01
2.566405e+02	8.660323e+01
2.578124e+02	8.589064e+01
2.589843e+02	8.638946e+01
2.601562e+02	8.707829e+01
2.613281e+02	8.764836e+01
2.625000e+02	8.817093e+01
2.636718e+02	9.002365e+01
2.648437e+02	9.045121e+01
2.660156e+02	9.068874e+01
2.671875e+02	9.106878e+01
2.683594e+02	9.123505e+01
2.695313e+02	9.154385e+01
2.707031e+02	9.204265e+01
2.718750e+02	9.201890e+01
2.730469e+02	9.223267e+01
2.742188e+02	9.192389e+01
2.753907e+02	9.292151e+01
2.765626e+02	9.251772e+01
2.777344e+02	9.256522e+01
2.789063e+02	9.277900e+01
2.800782e+02	9.299277e+01
2.812501e+02	9.261272e+01
2.824220e+02	9.346783e+01
2.835939e+02	9.380037e+01
2.847657e+02	9.418042e+01
2.859376e+02	9.377662e+01
2.871095e+02	9.384788e+01
2.882814e+02	9.420418e+01
2.894533e+02	9.532057e+01
2.906252e+02	9.446546e+01
2.917971e+02	9.477424e+01
2.929689e+02	9.546308e+01
2.941408e+02	9.508303e+01
2.953127e+02	9.491676e+01
2.964846e+02	9.543933e+01
2.976565e+02	9.508303e+01
2.988284e+02	9.520180e+01
