    um         	nN
1.207031e+00	-2.398974e+00
1.212891e+00	-1.448885e+00
1.218750e+00	-1.876425e+00
1.224609e+00	-2.422726e+00
1.230469e+00	-2.256461e+00
1.236328e+00	-2.303965e+00
1.242188e+00	-2.588992e+00
1.248047e+00	-2.588992e+00
1.253907e+00	-2.232708e+00
1.259766e+00	-2.493983e+00
1.265625e+00	-2.588992e+00
1.271485e+00	-2.137700e+00
1.277344e+00	-2.921523e+00
1.283204e+00	-3.182797e+00
1.289063e+00	-2.470231e+00
1.294923e+00	-1.947682e+00
1.300782e+00	-2.945275e+00
1.306641e+00	-2.802762e+00
1.312501e+00	-2.446479e+00
1.318360e+00	-2.588992e+00
1.324220e+00	-2.113947e+00
1.330079e+00	-2.493983e+00
1.335938e+00	-1.140106e+00
1.341798e+00	-2.066443e+00
1.347657e+00	-1.876425e+00
1.353517e+00	-1.472638e+00
1.359376e+00	-1.401381e+00
1.365236e+00	-1.092602e+00
1.371095e+00	-1.092602e+00
1.376954e+00	-2.375222e-02
1.382814e+00	-3.087788e-01
1.388673e+00	-8.313276e-01
1.394533e+00	2.612824e-01
1.400392e+00	1.187647e-01
1.406251e+00	1.900236e-01
1.412111e+00	7.600942e-01
1.417970e+00	1.021377e+00
1.423830e+00	1.425177e+00
1.429689e+00	1.472683e+00
1.435549e+00	2.280283e+00
1.441408e+00	2.921612e+00
1.447267e+00	2.684083e+00
1.453127e+00	3.206647e+00
1.458986e+00	4.323036e+00
1.464846e+00	3.824224e+00
1.470705e+00	4.560565e+00
1.476565e+00	5.415671e+00
1.482424e+00	4.869353e+00
1.488283e+00	4.750589e+00
1.494143e+00	5.938236e+00
