    nm         	nN
0.000000e+00	1.271733e+02
5.859375e-01	1.273870e+02
1.171875e+00	1.266982e+02
1.757812e+00	1.261994e+02
2.343750e+00	1.271020e+02
2.929687e+00	1.265082e+02
3.515625e+00	1.262706e+02
4.101562e+00	1.268170e+02
4.687500e+00	1.271495e+02
5.273437e+00	1.270545e+02
5.859375e+00	1.259856e+02
6.445312e+00	1.264132e+02
7.031250e+00	1.262469e+02
7.617187e+00	1.261756e+02
8.203124e+00	1.264132e+02
8.789062e+00	1.270545e+02
9.374999e+00	1.256056e+02
9.960937e+00	1.264369e+02
1.054687e+01	1.264132e+02
1.113281e+01	1.262706e+02
1.171875e+01	1.267219e+02
1.230469e+01	1.267932e+02
1.289062e+01	1.270307e+02
1.347656e+01	1.261281e+02
1.406250e+01	1.265557e+02
1.464844e+01	1.263419e+02
1.523437e+01	1.260331e+02
1.582031e+01	1.260094e+02
1.640625e+01	1.262231e+02
1.699218e+01	1.263894e+02
1.757812e+01	1.264369e+02
1.816406e+01	1.264369e+02
1.874999e+01	1.257481e+02
1.933593e+01	1.261281e+02
1.992187e+01	1.255818e+02
2.050780e+01	1.261994e+02
2.109374e+01	1.259618e+02
2.167968e+01	1.258906e+02
2.226561e+01	1.260331e+02
2.285155e+01	1.263656e+02
2.343749e+01	1.254393e+02
2.402342e+01	1.257481e+02
2.460936e+01	1.265319e+02
2.519530e+01	1.264132e+02
2.578123e+01	1.254393e+02
2.636717e+01	1.257718e+02
2.695311e+01	1.261519e+02
2.753904e+01	1.254868e+02
2.812498e+01	1.259856e+02
2.871092e+01	1.257481e+02
2.929685e+01	1.258906e+02
2.988279e+01	1.250117e+02
3.046873e+01	1.257718e+02
3.105467e+01	1.257718e+02
3.164061e+01	1.255106e+02
3.222654e+01	1.254393e+02
3.281248e+01	1.259618e+02
3.339842e+01	1.262706e+02
3.398436e+01	1.250355e+02
3.457030e+01	1.252018e+02
3.515624e+01	1.250355e+02
3.574218e+01	1.250117e+02
3.632811e+01	1.248217e+02
3.691405e+01	1.256768e+02
3.749999e+01	1.261044e+02
3.808593e+01	1.244417e+02
3.867187e+01	1.252255e+02
3.925781e+01	1.256056e+02
3.984374e+01	1.257243e+02
4.042968e+01	1.251305e+02
4.101562e+01	1.250592e+02
4.160156e+01	1.250117e+02
4.218750e+01	1.251780e+02
4.277344e+01	1.248217e+02
4.335937e+01	1.252018e+02
4.394531e+01	1.248930e+02
4.453125e+01	1.244892e+02
4.511719e+01	1.243942e+02
4.570313e+01	1.247267e+02
4.628907e+01	1.240854e+02
4.687501e+01	1.248692e+02
4.746094e+01	1.246079e+02
4.804688e+01	1.236578e+02
4.863282e+01	1.242754e+02
4.921876e+01	1.245367e+02
4.980470e+01	1.249642e+02
5.039064e+01	1.246317e+02
5.097657e+01	1.244654e+02
5.156251e+01	1.243467e+02
5.214845e+01	1.240854e+02
5.273439e+01	1.243704e+02
5.332033e+01	1.249167e+02
5.390627e+01	1.245367e+02
5.449220e+01	1.247742e+02
5.507814e+01	1.247505e+02
5.566408e+01	1.245842e+02
5.625002e+01	1.243942e+02
5.683596e+01	1.246792e+02
5.742190e+01	1.251305e+02
5.800783e+01	1.241566e+02
5.859377e+01	1.244179e+02
5.917971e+01	1.242754e+02
5.976565e+01	1.244654e+02
6.035158e+01	1.247505e+02
6.093752e+01	1.245604e+02
6.152345e+01	1.243704e+02
6.210939e+01	1.243942e+02
6.269532e+01	1.243229e+02
6.328126e+01	1.241091e+02
6.386719e+01	1.247742e+02
6.445313e+01	1.244179e+02
6.503906e+01	1.248455e+02
6.562500e+01	1.248692e+02
6.621093e+01	1.246317e+02
6.679686e+01	1.243704e+02
6.738280e+01	1.247267e+02
6.796873e+01	1.252255e+02
6.855467e+01	1.242754e+02
6.914060e+01	1.254630e+02
6.972654e+01	1.247030e+02
7.031247e+01	1.250117e+02
7.089841e+01	1.249880e+02
7.148434e+01	1.247267e+02
7.207028e+01	1.245129e+02
7.265621e+01	1.256056e+02
7.324215e+01	1.251068e+02
7.382808e+01	1.258668e+02
7.441402e+01	1.251543e+02
7.499995e+01	1.252018e+02
7.558589e+01	1.259856e+02
7.617182e+01	1.259144e+02
7.675776e+01	1.256768e+02
7.734369e+01	1.259618e+02
7.792963e+01	1.262469e+02
7.851556e+01	1.265082e+02
7.910150e+01	1.262944e+02
7.968743e+01	1.257481e+02
8.027337e+01	1.281709e+02
8.085930e+01	1.263181e+02
8.144524e+01	1.267457e+02
8.203117e+01	1.270782e+02
8.261711e+01	1.271020e+02
8.320304e+01	1.269120e+02
8.378898e+01	1.268882e+02
8.437491e+01	1.274345e+02
8.496085e+01	1.273870e+02
8.554678e+01	1.271733e+02
8.613272e+01	1.271733e+02
8.671865e+01	1.271970e+02
8.730458e+01	1.278146e+02
8.789052e+01	1.275296e+02
8.847645e+01	1.276246e+02
8.906239e+01	1.277196e+02
8.964832e+01	1.272920e+02
9.023426e+01	1.279571e+02
9.082019e+01	1.275533e+02
9.140613e+01	1.281234e+02
9.199206e+01	1.285747e+02
9.257800e+01	1.281709e+02
9.316393e+01	1.278383e+02
9.374987e+01	1.280996e+02
9.433580e+01	1.288122e+02
9.492174e+01	1.279334e+02
9.550767e+01	1.289785e+02
9.609361e+01	1.288360e+02
9.667954e+01	1.278146e+02
9.726548e+01	1.281709e+02
9.785141e+01	1.287410e+02
9.843735e+01	1.287885e+02
9.902328e+01	1.282421e+02
9.960922e+01	1.283847e+02
1.001952e+02	1.289310e+02
1.007811e+02	1.287647e+02
1.013670e+02	1.290022e+02
1.019530e+02	1.284084e+02
1.025389e+02	1.291923e+02
1.031248e+02	1.286459e+02
1.037108e+02	1.291923e+02
1.042967e+02	1.293110e+02
1.048826e+02	1.285272e+02
1.054686e+02	1.288835e+02
1.060545e+02	1.293348e+02
1.066404e+02	1.297861e+02
1.072264e+02	1.292398e+02
1.078123e+02	1.287172e+02
1.083982e+02	1.299286e+02
1.089842e+02	1.295486e+02
1.095701e+02	1.296673e+02
1.101560e+02	1.302136e+02
1.107420e+02	1.304749e+02
1.113279e+02	1.294060e+02
1.119138e+02	1.299999e+02
1.124998e+02	1.305462e+02
1.130857e+02	1.300711e+02
1.136717e+02	1.300236e+02
1.142576e+02	1.301899e+02
1.148435e+02	1.301661e+02
1.154295e+02	1.304987e+02
1.160154e+02	1.302611e+02
1.166013e+02	1.303324e+02
1.171873e+02	1.297148e+02
1.177732e+02	1.303324e+02
1.183591e+02	1.304512e+02
1.189451e+02	1.304512e+02
1.195310e+02	1.299761e+02
1.201170e+02	1.309500e+02
1.207029e+02	1.308312e+02
1.212888e+02	1.312588e+02
1.218748e+02	1.301424e+02
1.224607e+02	1.313063e+02
1.230467e+02	1.307600e+02
1.236326e+02	1.308312e+02
1.242185e+02	1.307125e+02
1.248045e+02	1.316388e+02
1.253904e+02	1.312113e+02
1.259764e+02	1.312350e+02
1.265623e+02	1.315675e+02
1.271483e+02	1.309262e+02
1.277342e+02	1.318051e+02
1.283201e+02	1.318763e+02
1.289061e+02	1.319951e+02
1.294920e+02	1.322801e+02
1.300780e+02	1.315675e+02
1.306639e+02	1.324464e+02
1.312498e+02	1.327314e+02
1.318358e+02	1.327552e+02
1.324217e+02	1.328502e+02
1.330077e+02	1.334203e+02
1.335936e+02	1.328265e+02
1.341796e+02	1.336103e+02
1.347655e+02	1.336578e+02
1.353514e+02	1.333015e+02
1.359374e+02	1.326839e+02
1.365233e+02	1.339428e+02
1.371093e+02	1.332540e+02
1.376952e+02	1.331115e+02
1.382812e+02	1.339904e+02
1.388671e+02	1.342991e+02
1.394530e+02	1.344179e+02
1.400390e+02	1.333965e+02
1.406249e+02	1.341091e+02
1.412109e+02	1.342754e+02
1.417968e+02	1.335153e+02
1.423827e+02	1.341091e+02
1.429687e+02	1.343704e+02
1.435546e+02	1.341804e+02
1.441406e+02	1.343466e+02
1.447265e+02	1.345129e+02
1.453125e+02	1.339666e+02
1.458984e+02	1.345129e+02
1.464843e+02	1.344654e+02
1.470703e+02	1.345129e+02
1.476562e+02	1.346317e+02
1.482422e+02	1.356293e+02
1.488281e+02	1.361281e+02
1.494140e+02	1.361044e+02
