    um         	nN
3.984364e+00	-2.755257e+00
3.968739e+00	-2.897771e+00
3.953114e+00	-2.945275e+00
3.937489e+00	-3.040284e+00
3.921863e+00	-3.159045e+00
3.906238e+00	-3.230302e+00
3.890613e+00	-3.254054e+00
3.874988e+00	-3.301558e+00
3.859363e+00	-3.467824e+00
3.843738e+00	-3.539081e+00
3.828113e+00	-3.634089e+00
3.812488e+00	-3.729098e+00
3.796863e+00	-3.871611e+00
3.781238e+00	-4.014125e+00
3.765613e+00	-4.061629e+00
3.749988e+00	-4.132886e+00
3.734363e+00	-4.132886e+00
3.718739e+00	-4.251647e+00
3.703114e+00	-4.370408e+00
3.687489e+00	-4.394161e+00
3.671864e+00	-4.370408e+00
3.656239e+00	-4.465417e+00
3.640614e+00	-4.607930e+00
3.624989e+00	-4.702939e+00
3.609364e+00	-4.702939e+00
3.593739e+00	-4.869205e+00
3.578115e+00	-4.940461e+00
3.562490e+00	-4.964213e+00
3.546865e+00	-5.082975e+00
3.531240e+00	-5.177984e+00
3.515615e+00	-5.201736e+00
3.499990e+00	-5.272992e+00
3.484365e+00	-5.391754e+00
3.468740e+00	-5.558019e+00
3.453115e+00	-5.629276e+00
3.437490e+00	-5.748037e+00
3.421866e+00	-5.771789e+00
3.406241e+00	-5.795541e+00
3.390616e+00	-5.938054e+00
3.374991e+00	-5.985559e+00
3.359366e+00	-6.128072e+00
3.343741e+00	-6.033063e+00
3.328116e+00	-6.151824e+00
3.312491e+00	-6.270586e+00
3.296866e+00	-6.341842e+00
3.281242e+00	-6.460604e+00
3.265617e+00	-6.531860e+00
3.249992e+00	-6.555612e+00
3.234367e+00	-6.626869e+00
3.218742e+00	-6.721878e+00
3.203117e+00	-6.769382e+00
3.187492e+00	-6.793134e+00
3.171867e+00	-6.840639e+00
3.156242e+00	-7.101913e+00
3.140618e+00	-7.220674e+00
3.124993e+00	-7.315683e+00
3.109368e+00	-7.434444e+00
3.093743e+00	-7.529454e+00
3.078118e+00	-7.576958e+00
3.062493e+00	-7.576958e+00
3.046868e+00	-7.600710e+00
3.031243e+00	-7.671966e+00
3.015618e+00	-7.695719e+00
2.999994e+00	-7.814480e+00
2.984369e+00	-7.956993e+00
2.968744e+00	-8.004498e+00
2.953119e+00	-8.075754e+00
2.937494e+00	-8.194515e+00
2.921869e+00	-8.147011e+00
2.906244e+00	-8.218268e+00
2.890619e+00	-8.289525e+00
2.874994e+00	-8.384533e+00
2.859369e+00	-8.384533e+00
2.843745e+00	-8.527047e+00
2.828120e+00	-8.669559e+00
2.812495e+00	-8.717064e+00
2.796870e+00	-8.835825e+00
2.781245e+00	-8.930834e+00
2.765620e+00	-8.978339e+00
2.749995e+00	-9.025843e+00
2.734370e+00	-9.144604e+00
2.718745e+00	-9.239613e+00
2.703121e+00	-9.358374e+00
2.687496e+00	-9.358374e+00
2.671871e+00	-9.477136e+00
2.656246e+00	-9.524640e+00
2.640621e+00	-9.595897e+00
2.624996e+00	-9.738409e+00
2.609371e+00	-9.785914e+00
2.593746e+00	-9.809666e+00
2.578121e+00	-9.904675e+00
2.562497e+00	-9.904675e+00
2.546872e+00	-9.999684e+00
2.531247e+00	-1.004719e+01
2.515622e+00	-1.014220e+01
2.499997e+00	-1.026096e+01
2.484372e+00	-1.033222e+01
2.468747e+00	-1.033222e+01
2.453122e+00	-1.045098e+01
2.437497e+00	-1.052223e+01
2.421873e+00	-1.056974e+01
2.406248e+00	-1.064099e+01
2.390623e+00	-1.073600e+01
2.374998e+00	-1.080726e+01
2.359373e+00	-1.087852e+01
2.343748e+00	-1.106853e+01
2.328123e+00	-1.111604e+01
2.312498e+00	-1.118729e+01
2.296873e+00	-1.132981e+01
2.281248e+00	-1.132981e+01
2.265624e+00	-1.135356e+01
2.249999e+00	-1.142482e+01
2.234374e+00	-1.149607e+01
2.218749e+00	-1.151983e+01
2.203124e+00	-1.163859e+01
2.187499e+00	-1.168609e+01
2.171874e+00	-1.189986e+01
2.156249e+00	-1.197112e+01
2.140624e+00	-1.213738e+01
2.125000e+00	-1.213738e+01
2.109375e+00	-1.218489e+01
2.093750e+00	-1.223239e+01
2.078125e+00	-1.230365e+01
2.062500e+00	-1.242241e+01
2.046875e+00	-1.251742e+01
2.031250e+00	-1.254117e+01
2.015625e+00	-1.268368e+01
2.000000e+00	-1.277869e+01
1.984376e+00	-1.284995e+01
1.968751e+00	-1.294496e+01
1.953126e+00	-1.301622e+01
1.937501e+00	-1.296871e+01
1.921876e+00	-1.301622e+01
1.906251e+00	-1.311122e+01
1.890626e+00	-1.311122e+01
1.875001e+00	-1.313498e+01
1.859376e+00	-1.325374e+01
1.843751e+00	-1.342000e+01
1.828126e+00	-1.353876e+01
1.812501e+00	-1.358627e+01
1.796876e+00	-1.370503e+01
1.781251e+00	-1.377629e+01
1.765626e+00	-1.380004e+01
1.750001e+00	-1.389505e+01
1.734376e+00	-1.403756e+01
1.718751e+00	-1.410882e+01
1.703126e+00	-1.420383e+01
1.687501e+00	-1.429884e+01
1.671876e+00	-1.439384e+01
1.656251e+00	-1.437009e+01
1.640626e+00	-1.437009e+01
1.625001e+00	-1.437009e+01
1.609376e+00	-1.434634e+01
1.593751e+00	-1.434634e+01
1.578126e+00	-1.434634e+01
1.562501e+00	-1.437009e+01
1.546876e+00	-1.429884e+01
1.531251e+00	-1.437009e+01
1.515626e+00	-1.444135e+01
1.500001e+00	-1.437009e+01
1.484376e+00	-1.444135e+01
1.468751e+00	-1.439384e+01
1.453126e+00	-1.434634e+01
1.437501e+00	-1.432259e+01
1.421876e+00	-1.437009e+01
1.406251e+00	-1.432259e+01
1.390626e+00	-1.427508e+01
1.375001e+00	-1.429884e+01
1.359376e+00	-1.439384e+01
1.343751e+00	-1.437009e+01
1.328126e+00	-1.439384e+01
1.312501e+00	-1.432259e+01
1.296876e+00	-1.434634e+01
1.281251e+00	-1.432259e+01
1.265626e+00	-1.432259e+01
1.250001e+00	-1.444135e+01
