    nm         	nN
4.980453e+02	4.304033e+01
4.960922e+02	4.090257e+01
4.941390e+02	3.826599e+01
4.921859e+02	3.460804e+01
4.902328e+02	3.147265e+01
4.882796e+02	2.776719e+01
4.863265e+02	2.983370e+01
4.843733e+02	3.372918e+01
4.824202e+02	3.380044e+01
4.804671e+02	3.372918e+01
4.785139e+02	3.380044e+01
4.765608e+02	3.391920e+01
4.746077e+02	3.399046e+01
4.726546e+02	3.399046e+01
4.707015e+02	3.413298e+01
4.687484e+02	3.415673e+01
4.667953e+02	3.410923e+01
4.648421e+02	3.403797e+01
4.628890e+02	3.401421e+01
4.609359e+02	3.399046e+01
4.589828e+02	3.399046e+01
4.570297e+02	3.410923e+01
4.550766e+02	3.406172e+01
4.531235e+02	3.399046e+01
4.511704e+02	3.401421e+01
4.492173e+02	3.399046e+01
4.472641e+02	3.396671e+01
4.453110e+02	3.387170e+01
4.433579e+02	3.384794e+01
4.414048e+02	3.384794e+01
4.394517e+02	3.377669e+01
4.374986e+02	3.380044e+01
4.355455e+02	3.389545e+01
4.335924e+02	3.391920e+01
4.316393e+02	3.382419e+01
4.296861e+02	3.387170e+01
4.277330e+02	3.387170e+01
4.257799e+02	3.377669e+01
4.238268e+02	3.372918e+01
4.218737e+02	3.370543e+01
4.199206e+02	3.372918e+01
4.179675e+02	3.370543e+01
4.160144e+02	3.380044e+01
4.140612e+02	3.375293e+01
4.121081e+02	3.368167e+01
4.101550e+02	3.361042e+01
4.082019e+02	3.368167e+01
4.062488e+02	3.363417e+01
4.042957e+02	3.358666e+01
4.023426e+02	3.351540e+01
4.003895e+02	3.351540e+01
3.984364e+02	3.353916e+01
3.964832e+02	3.353916e+01
3.945301e+02	3.353916e+01
3.925770e+02	3.353916e+01
3.906239e+02	3.358666e+01
3.886708e+02	3.363417e+01
3.867177e+02	3.361042e+01
3.847646e+02	3.349165e+01
3.828115e+02	3.349165e+01
3.808584e+02	3.356291e+01
3.789052e+02	3.349165e+01
3.769521e+02	3.349165e+01
3.749990e+02	3.351540e+01
3.730459e+02	3.346790e+01
3.710928e+02	3.337288e+01
3.691397e+02	3.334913e+01
3.671866e+02	3.349165e+01
3.652335e+02	3.339664e+01
3.632803e+02	3.334913e+01
3.613272e+02	3.330162e+01
