    um         	nN
1.494142e+00	4.850351e+01
1.488282e+00	4.757715e+01
1.482423e+00	4.790969e+01
1.476563e+00	4.833724e+01
1.470704e+00	4.869353e+01
1.464845e+00	4.838475e+01
1.458985e+00	4.840850e+01
1.453126e+00	4.857477e+01
1.447266e+00	4.779092e+01
1.441407e+00	4.802845e+01
1.435547e+00	4.781467e+01
1.429688e+00	4.726836e+01
1.423829e+00	4.726836e+01
1.417969e+00	4.672204e+01
1.412110e+00	4.676954e+01
1.406250e+00	4.629448e+01
1.400391e+00	4.627073e+01
1.394532e+00	4.584318e+01
1.388672e+00	4.532061e+01
1.382813e+00	4.517810e+01
1.376953e+00	4.529686e+01
1.371094e+00	4.486931e+01
1.365234e+00	4.444176e+01
1.359375e+00	4.458427e+01
1.353516e+00	4.427548e+01
1.347656e+00	4.453677e+01
1.341797e+00	4.399045e+01
1.335937e+00	4.375292e+01
1.330078e+00	4.249402e+01
1.324218e+00	4.213772e+01
1.318359e+00	4.137763e+01
1.312500e+00	4.109259e+01
1.306640e+00	4.121136e+01
1.300781e+00	3.995245e+01
1.294921e+00	3.971492e+01
1.289062e+00	3.809972e+01
1.283203e+00	3.774343e+01
1.277343e+00	3.790970e+01
1.271484e+00	3.783844e+01
1.265624e+00	3.622324e+01
1.259765e+00	3.410923e+01
1.253905e+00	3.394296e+01
1.248046e+00	3.368167e+01
1.242187e+00	3.211398e+01
1.236327e+00	3.192396e+01
1.230468e+00	3.220899e+01
1.224608e+00	3.180519e+01
1.218749e+00	3.095009e+01
1.212890e+00	3.011873e+01
1.207030e+00	2.904985e+01
1.201171e+00	2.871731e+01
1.195311e+00	2.795721e+01
1.189452e+00	2.667456e+01
1.183592e+00	2.619950e+01
1.177733e+00	2.551066e+01
1.171874e+00	2.510686e+01
1.166014e+00	2.391922e+01
1.160155e+00	2.377670e+01
1.154295e+00	2.334914e+01
1.148436e+00	2.273157e+01
1.142576e+00	2.237527e+01
1.136717e+00	2.209024e+01
1.130858e+00	2.095010e+01
1.124998e+00	2.016625e+01
