    nm         	nN
2.988281e+02	8.809967e+01
2.976562e+02	8.855097e+01
2.964843e+02	8.812342e+01
2.953124e+02	8.859848e+01
2.941406e+02	8.940608e+01
2.929687e+02	8.928731e+01
2.917968e+02	8.935857e+01
2.906249e+02	8.973862e+01
2.894530e+02	8.995239e+01
2.882811e+02	8.999990e+01
2.871093e+02	8.995239e+01
2.859374e+02	9.095002e+01
2.847655e+02	9.042746e+01
2.835936e+02	9.028494e+01
2.824217e+02	9.014241e+01
2.812498e+02	9.052246e+01
2.800780e+02	9.095002e+01
2.789061e+02	9.102128e+01
2.777342e+02	9.066498e+01
2.765623e+02	9.206641e+01
2.753904e+02	9.014241e+01
2.742185e+02	9.085501e+01
2.730467e+02	9.171011e+01
2.718748e+02	9.166261e+01
2.707029e+02	9.116380e+01
2.695310e+02	9.163885e+01
2.683591e+02	9.206641e+01
2.671872e+02	9.152009e+01
2.660153e+02	9.190014e+01
2.648435e+02	9.192389e+01
2.636716e+02	9.228019e+01
2.624997e+02	9.187639e+01
2.613278e+02	9.280275e+01
2.601559e+02	9.235144e+01
2.589840e+02	9.223267e+01
2.578122e+02	9.192389e+01
2.566403e+02	9.239895e+01
2.554684e+02	9.273149e+01
2.542965e+02	9.258897e+01
2.531246e+02	9.285026e+01
2.519527e+02	9.277900e+01
2.507809e+02	9.299277e+01
2.496090e+02	9.263648e+01
2.484371e+02	9.313529e+01
2.472652e+02	9.330156e+01
2.460933e+02	9.356284e+01
2.449214e+02	9.353909e+01
2.437496e+02	9.361035e+01
2.425777e+02	9.275524e+01
2.414058e+02	9.391913e+01
2.402339e+02	9.391913e+01
2.390620e+02	9.346783e+01
2.378901e+02	9.344408e+01
2.367183e+02	9.413291e+01
2.355464e+02	9.401415e+01
2.343745e+02	9.249396e+01
2.332027e+02	9.396664e+01
2.320308e+02	9.425168e+01
2.308589e+02	9.389539e+01
2.296871e+02	9.401415e+01
2.285152e+02	9.458422e+01
2.273433e+02	9.439420e+01
2.261715e+02	9.391913e+01
2.249996e+02	9.475049e+01
2.238277e+02	9.477424e+01
2.226558e+02	9.467923e+01
2.214840e+02	9.444170e+01
2.203121e+02	9.503552e+01
2.191402e+02	9.429918e+01
2.179684e+02	9.422793e+01
2.167965e+02	9.505928e+01
2.156246e+02	9.482175e+01
2.144528e+02	9.444170e+01
2.132809e+02	9.477424e+01
2.121090e+02	9.541557e+01
2.109371e+02	9.420418e+01
2.097653e+02	9.387163e+01
2.085934e+02	9.465548e+01
2.074215e+02	9.458422e+01
2.062497e+02	9.484550e+01
2.050778e+02	9.477424e+01
2.039059e+02	9.446546e+01
2.027341e+02	9.427543e+01
2.015622e+02	9.434669e+01
2.003903e+02	9.489300e+01
1.992184e+02	9.510678e+01
1.980466e+02	9.460798e+01
1.968747e+02	9.453672e+01
1.957028e+02	9.479800e+01
1.945310e+02	9.413291e+01
1.933591e+02	9.489300e+01
1.921872e+02	9.508303e+01
1.910154e+02	9.467923e+01
1.898435e+02	9.498802e+01
1.886716e+02	9.541557e+01
1.874998e+02	9.489300e+01
1.863279e+02	9.501177e+01
1.851560e+02	9.489300e+01
1.839841e+02	9.510678e+01
1.828123e+02	9.432294e+01
1.816404e+02	9.517805e+01
1.804685e+02	9.505928e+01
1.792967e+02	9.467923e+01
1.781248e+02	9.467923e+01
1.769529e+02	9.432294e+01
1.757811e+02	9.524930e+01
1.746092e+02	9.467923e+01
1.734373e+02	9.418042e+01
1.722654e+02	9.470298e+01
1.710936e+02	9.456047e+01
1.699217e+02	9.415667e+01
1.687498e+02	9.401415e+01
1.675780e+02	9.410916e+01
1.664061e+02	9.453672e+01
1.652342e+02	9.441795e+01
1.640624e+02	9.375287e+01
1.628905e+02	9.427543e+01
1.617186e+02	9.472674e+01
1.605467e+02	9.384788e+01
1.593749e+02	9.408541e+01
1.582030e+02	9.387163e+01
1.570311e+02	9.356284e+01
1.558593e+02	9.337282e+01
1.546874e+02	9.418042e+01
1.535155e+02	9.299277e+01
1.523437e+02	9.368161e+01
1.511718e+02	9.365785e+01
1.499999e+02	9.365785e+01
1.488281e+02	9.313529e+01
1.476562e+02	9.339657e+01
1.464843e+02	9.318279e+01
1.453124e+02	9.287401e+01
1.441406e+02	9.315904e+01
1.429687e+02	9.380037e+01
1.417968e+02	9.275524e+01
1.406250e+02	9.306403e+01
1.394531e+02	9.315904e+01
1.382812e+02	9.304028e+01
1.371094e+02	9.308778e+01
1.359375e+02	9.299277e+01
1.347656e+02	9.330156e+01
1.335937e+02	9.256522e+01
1.324219e+02	9.230394e+01
1.312500e+02	9.285026e+01
1.300781e+02	9.351534e+01
1.289063e+02	9.166261e+01
1.277344e+02	9.199515e+01
1.265625e+02	9.206641e+01
1.253907e+02	9.175762e+01
1.242188e+02	9.256522e+01
1.230469e+02	9.180513e+01
1.218750e+02	9.204265e+01
1.207032e+02	9.206641e+01
1.195313e+02	9.187639e+01
1.183594e+02	9.228019e+01
1.171876e+02	9.220892e+01
1.160157e+02	9.201890e+01
1.148438e+02	9.216142e+01
1.136719e+02	9.171011e+01
1.125000e+02	9.173387e+01
1.113282e+02	9.156760e+01
1.101563e+02	9.104503e+01
1.089844e+02	9.073624e+01
1.078125e+02	9.116380e+01
1.066407e+02	9.161510e+01
1.054688e+02	9.154385e+01
1.042969e+02	9.030869e+01
1.031250e+02	9.111629e+01
1.019532e+02	9.190014e+01
1.007813e+02	9.087876e+01
9.960940e+01	9.090251e+01
9.843752e+01	9.097377e+01
9.726565e+01	9.109254e+01
9.609377e+01	9.016617e+01
9.492189e+01	9.045121e+01
9.375002e+01	9.109254e+01
9.257814e+01	9.007116e+01
9.140626e+01	8.971487e+01
9.023439e+01	9.033244e+01
8.906251e+01	9.037995e+01
8.789063e+01	9.026118e+01
8.671876e+01	8.995239e+01
8.554688e+01	8.952484e+01
8.437500e+01	9.028494e+01
8.320313e+01	8.959611e+01
8.203125e+01	8.940608e+01
8.085937e+01	8.954859e+01
7.968750e+01	8.928731e+01
7.851562e+01	9.004741e+01
7.734374e+01	8.940608e+01
7.617187e+01	8.950109e+01
7.499999e+01	8.921606e+01
7.382811e+01	8.999990e+01
7.265623e+01	8.876475e+01
7.148436e+01	8.952484e+01
7.031248e+01	8.938233e+01
6.914060e+01	8.976237e+01
6.796873e+01	8.971487e+01
6.679685e+01	8.885976e+01
6.562497e+01	8.850347e+01
6.445310e+01	8.928731e+01
6.328122e+01	8.776713e+01
6.210934e+01	8.909729e+01
6.093747e+01	8.883601e+01
5.976559e+01	8.814717e+01
5.859372e+01	8.805216e+01
5.742184e+01	8.866974e+01
5.624997e+01	8.862223e+01
5.507810e+01	8.760085e+01
5.390622e+01	8.819467e+01
5.273435e+01	8.748209e+01
5.156248e+01	8.838470e+01
5.039060e+01	8.750584e+01
4.921873e+01	8.757710e+01
4.804686e+01	8.750584e+01
4.687498e+01	8.700703e+01
4.570311e+01	8.779088e+01
4.453124e+01	8.771962e+01
4.335936e+01	8.667449e+01
4.218749e+01	8.672200e+01
4.101562e+01	8.684076e+01
3.984374e+01	8.667449e+01
3.867187e+01	8.589064e+01
3.750000e+01	8.695952e+01
3.632812e+01	8.669824e+01
3.515625e+01	8.638946e+01
3.398438e+01	8.624693e+01
3.281250e+01	8.643696e+01
3.164063e+01	8.574813e+01
3.046876e+01	8.624693e+01
2.929688e+01	8.503554e+01
2.812501e+01	8.598565e+01
2.695313e+01	8.517805e+01
2.578126e+01	8.534433e+01
2.460938e+01	8.627069e+01
2.343751e+01	8.565311e+01
2.226563e+01	8.551059e+01
2.109376e+01	8.615192e+01
1.992188e+01	8.553435e+01
1.875001e+01	8.567687e+01
1.757813e+01	8.565311e+01
1.640626e+01	8.591439e+01
1.523438e+01	8.482176e+01
1.406251e+01	8.541559e+01
1.289063e+01	8.555810e+01
1.171876e+01	8.520180e+01
1.054688e+01	8.458423e+01
9.375007e+00	8.524932e+01
8.203132e+00	8.491677e+01
7.031257e+00	8.467924e+01
5.859382e+00	8.479800e+01
4.687507e+00	8.513055e+01
3.515632e+00	8.465549e+01
2.343757e+00	8.437046e+01
