    nm         	nN
2.988281e+02	7.807593e+01
2.976562e+02	7.741084e+01
2.964843e+02	7.840847e+01
2.953124e+02	7.852723e+01
2.941406e+02	7.857474e+01
2.929687e+02	7.855098e+01
2.917968e+02	7.869350e+01
2.906249e+02	7.866975e+01
2.894530e+02	7.869350e+01
2.882811e+02	7.969112e+01
2.871093e+02	7.985739e+01
2.859374e+02	7.999991e+01
2.847655e+02	7.907354e+01
2.835936e+02	8.035621e+01
2.824217e+02	8.002367e+01
2.812498e+02	7.992865e+01
2.800780e+02	8.056998e+01
2.789061e+02	8.076001e+01
2.777342e+02	8.030870e+01
2.765623e+02	7.992865e+01
2.753904e+02	8.092628e+01
2.742185e+02	8.040372e+01
2.730467e+02	8.087878e+01
2.718748e+02	8.066499e+01
2.707029e+02	8.087878e+01
2.695310e+02	8.068875e+01
2.683591e+02	8.095003e+01
2.671872e+02	8.159136e+01
2.660153e+02	8.118756e+01
2.648435e+02	8.071250e+01
2.636716e+02	8.199516e+01
2.624997e+02	8.166262e+01
2.613278e+02	8.156761e+01
2.601559e+02	8.225644e+01
2.589840e+02	8.218518e+01
2.578122e+02	8.213767e+01
2.566403e+02	8.204267e+01
2.554684e+02	8.261274e+01
2.542965e+02	8.206642e+01
2.531246e+02	8.239896e+01
2.519527e+02	8.237521e+01
2.507809e+02	8.249397e+01
2.496090e+02	8.287402e+01
2.484371e+02	8.280276e+01
2.472652e+02	8.277901e+01
2.460933e+02	8.292152e+01
2.449214e+02	8.346784e+01
2.437496e+02	8.306404e+01
2.425777e+02	8.391915e+01
2.414058e+02	8.394290e+01
2.402339e+02	8.380039e+01
2.390620e+02	8.344409e+01
2.378901e+02	8.415668e+01
2.367183e+02	8.380039e+01
2.355464e+02	8.342034e+01
2.343745e+02	8.415668e+01
2.332027e+02	8.377663e+01
2.320308e+02	8.420418e+01
2.308589e+02	8.391915e+01
2.296871e+02	8.384789e+01
2.285152e+02	8.342034e+01
2.273433e+02	8.358661e+01
2.261715e+02	8.351535e+01
2.249996e+02	8.368162e+01
2.238277e+02	8.394290e+01
2.226558e+02	8.432295e+01
2.214840e+02	8.446546e+01
2.203121e+02	8.408541e+01
2.191402e+02	8.453672e+01
2.179684e+02	8.434670e+01
2.167965e+02	8.403791e+01
2.156246e+02	8.427545e+01
2.144528e+02	8.389540e+01
2.132809e+02	8.363411e+01
2.121090e+02	8.410917e+01
2.109371e+02	8.444171e+01
2.097653e+02	8.482176e+01
2.085934e+02	8.482176e+01
2.074215e+02	8.448922e+01
2.062497e+02	8.503554e+01
2.050778e+02	8.446546e+01
2.039059e+02	8.413293e+01
2.027341e+02	8.453672e+01
2.015622e+02	8.479800e+01
2.003903e+02	8.448922e+01
