    nm         	nN
2.988284e+02	9.527305e+01
2.976565e+02	9.484550e+01
2.964846e+02	9.522555e+01
2.953127e+02	9.532057e+01
2.941408e+02	9.615191e+01
2.929689e+02	9.529681e+01
2.917971e+02	9.577187e+01
2.906252e+02	9.636569e+01
2.894533e+02	9.650821e+01
2.882814e+02	9.634194e+01
2.871095e+02	9.662697e+01
2.859376e+02	9.667448e+01
2.847657e+02	9.665073e+01
2.835939e+02	9.674574e+01
2.824220e+02	9.672198e+01
2.812501e+02	9.634194e+01
2.800782e+02	9.667448e+01
2.789063e+02	9.719705e+01
2.777344e+02	9.724455e+01
2.765626e+02	9.703078e+01
2.753907e+02	9.710203e+01
2.742188e+02	9.717329e+01
2.730469e+02	9.712578e+01
2.718750e+02	9.731581e+01
2.707031e+02	9.738707e+01
2.695313e+02	9.760085e+01
2.683594e+02	9.743457e+01
2.671875e+02	9.741082e+01
2.660156e+02	9.812341e+01
2.648437e+02	9.812341e+01
2.636718e+02	9.805215e+01
2.625000e+02	9.833719e+01
2.613281e+02	9.817091e+01
2.601562e+02	9.838469e+01
2.589843e+02	9.866973e+01
2.578124e+02	9.845595e+01
2.566405e+02	9.805215e+01
2.554686e+02	9.831344e+01
2.542968e+02	9.869348e+01
2.531249e+02	9.862222e+01
2.519530e+02	9.859846e+01
2.507811e+02	9.850346e+01
2.496092e+02	9.947733e+01
2.484373e+02	9.859846e+01
2.472655e+02	9.845595e+01
2.460936e+02	9.831344e+01
2.449217e+02	9.942983e+01
2.437498e+02	9.928730e+01
2.425779e+02	9.845595e+01
2.414060e+02	9.914478e+01
2.402342e+02	9.895476e+01
2.390623e+02	9.864598e+01
2.378904e+02	9.938232e+01
2.367185e+02	9.947733e+01
2.355467e+02	9.866973e+01
2.343748e+02	9.942983e+01
2.332029e+02	9.973861e+01
2.320311e+02	9.881224e+01
2.308592e+02	9.916854e+01
2.296873e+02	9.940607e+01
2.285154e+02	9.907353e+01
2.273436e+02	9.909729e+01
2.261717e+02	9.935856e+01
2.249998e+02	9.904978e+01
2.238280e+02	9.921605e+01
2.226561e+02	9.909729e+01
2.214842e+02	9.961984e+01
2.203124e+02	9.966735e+01
2.191405e+02	9.904978e+01
2.179686e+02	9.950108e+01
2.167967e+02	9.907353e+01
2.156249e+02	9.883600e+01
2.144530e+02	9.976235e+01
2.132811e+02	9.950108e+01
2.121093e+02	9.916854e+01
2.109374e+02	9.909729e+01
2.097655e+02	9.828968e+01
2.085937e+02	9.957234e+01
2.074218e+02	9.893100e+01
2.062499e+02	9.826593e+01
2.050781e+02	9.907353e+01
2.039062e+02	9.857471e+01
2.027343e+02	9.840844e+01
2.015624e+02	9.845595e+01
2.003906e+02	9.885975e+01
1.992187e+02	9.833719e+01
1.980468e+02	9.881224e+01
1.968750e+02	9.900226e+01
1.957031e+02	9.845595e+01
1.945312e+02	9.836094e+01
1.933594e+02	9.940607e+01
1.921875e+02	9.836094e+01
1.910156e+02	9.871724e+01
1.898437e+02	9.912103e+01
1.886719e+02	9.916854e+01
1.875000e+02	9.859846e+01
1.863281e+02	9.798089e+01
1.851563e+02	9.926354e+01
1.839844e+02	9.857471e+01
1.828125e+02	9.843220e+01
1.816407e+02	9.850346e+01
1.804688e+02	9.843220e+01
1.792969e+02	9.831344e+01
1.781250e+02	9.762460e+01
1.769532e+02	9.802839e+01
1.757813e+02	9.812341e+01
1.746094e+02	9.714954e+01
1.734376e+02	9.774336e+01
1.722657e+02	9.769585e+01
1.710938e+02	9.693576e+01
1.699220e+02	9.786213e+01
1.687501e+02	9.662697e+01
1.675782e+02	9.698326e+01
1.664064e+02	9.764835e+01
1.652345e+02	9.710203e+01
1.640626e+02	9.760085e+01
1.628907e+02	9.719705e+01
1.617189e+02	9.679324e+01
1.605470e+02	9.665073e+01
1.593751e+02	9.724455e+01
1.582033e+02	9.622317e+01
1.570314e+02	9.698326e+01
1.558595e+02	9.657946e+01
1.546877e+02	9.593814e+01
1.535158e+02	9.579562e+01
1.523439e+02	9.705452e+01
1.511720e+02	9.622317e+01
1.500002e+02	9.555809e+01
1.488283e+02	9.555809e+01
1.476564e+02	9.541557e+01
1.464846e+02	9.572436e+01
1.453127e+02	9.524930e+01
1.441408e+02	9.527305e+01
1.429690e+02	9.534432e+01
1.417971e+02	9.529681e+01
1.406252e+02	9.486926e+01
1.394533e+02	9.515429e+01
1.382815e+02	9.522555e+01
1.371096e+02	9.451296e+01
1.359377e+02	9.553434e+01
1.347659e+02	9.494052e+01
1.335940e+02	9.418042e+01
1.324221e+02	9.460798e+01
1.312503e+02	9.505928e+01
1.300784e+02	9.484550e+01
1.289065e+02	9.463172e+01
1.277347e+02	9.489300e+01
1.265628e+02	9.437045e+01
1.253909e+02	9.446546e+01
1.242190e+02	9.451296e+01
1.230472e+02	9.463172e+01
1.218753e+02	9.501177e+01
1.207034e+02	9.413291e+01
1.195316e+02	9.415667e+01
1.183597e+02	9.330156e+01
1.171878e+02	9.368161e+01
1.160159e+02	9.479800e+01
1.148441e+02	9.418042e+01
1.136722e+02	9.342033e+01
1.125003e+02	9.353909e+01
1.113284e+02	9.396664e+01
1.101565e+02	9.368161e+01
1.089847e+02	9.301653e+01
1.078128e+02	9.332531e+01
1.066409e+02	9.375287e+01
1.054690e+02	9.313529e+01
1.042972e+02	9.289776e+01
1.031253e+02	9.296902e+01
1.019534e+02	9.285026e+01
1.007815e+02	9.244645e+01
9.960966e+01	9.294526e+01
9.843778e+01	9.304028e+01
9.726590e+01	9.192389e+01
9.609403e+01	9.225644e+01
9.492215e+01	9.251772e+01
9.375027e+01	9.166261e+01
9.257840e+01	9.206641e+01
9.140652e+01	9.251772e+01
9.023464e+01	9.194764e+01
8.906277e+01	9.175762e+01
8.789089e+01	9.197139e+01
8.671901e+01	9.211391e+01
8.554714e+01	9.099752e+01
8.437526e+01	9.083126e+01
8.320338e+01	9.135382e+01
8.203151e+01	9.071249e+01
8.085963e+01	9.068874e+01
7.968775e+01	9.049871e+01
7.851587e+01	9.011867e+01
7.734400e+01	9.030869e+01
7.617212e+01	8.990489e+01
7.500024e+01	9.018993e+01
7.382837e+01	9.061748e+01
7.265649e+01	9.011867e+01
7.148461e+01	8.964361e+01
7.031274e+01	9.009491e+01
6.914086e+01	8.957235e+01
6.796898e+01	8.980988e+01
6.679711e+01	8.985739e+01
6.562523e+01	9.014241e+01
6.445335e+01	8.945359e+01
6.328148e+01	8.971487e+01
6.210960e+01	8.995239e+01
6.093772e+01	8.935857e+01
5.976585e+01	8.973862e+01
5.859397e+01	8.947734e+01
5.742210e+01	8.992864e+01
5.625023e+01	8.947734e+01
5.507835e+01	8.942983e+01
5.390648e+01	8.940608e+01
5.273461e+01	8.869349e+01
5.156273e+01	8.923981e+01
5.039086e+01	8.921606e+01
4.921899e+01	8.912104e+01
4.804711e+01	8.833720e+01
4.687524e+01	8.812342e+01
4.570337e+01	8.838470e+01
4.453149e+01	8.812342e+01
4.335962e+01	8.790965e+01
4.218775e+01	8.750584e+01
4.101587e+01	8.738708e+01
3.984400e+01	8.776713e+01
3.867213e+01	8.788589e+01
3.750025e+01	8.736333e+01
3.632838e+01	8.724456e+01
3.515651e+01	8.698328e+01
3.398463e+01	8.714955e+01
3.281276e+01	8.705454e+01
3.164089e+01	8.681701e+01
3.046901e+01	8.712579e+01
2.929714e+01	8.655573e+01
2.812526e+01	8.655573e+01
2.695339e+01	8.695952e+01
2.578151e+01	8.657948e+01
2.460964e+01	8.596190e+01
2.343776e+01	8.584314e+01
2.226589e+01	8.598565e+01
2.109401e+01	8.669824e+01
1.992214e+01	8.591439e+01
1.875026e+01	8.660323e+01
1.757839e+01	8.608067e+01
1.640651e+01	8.631820e+01
1.523464e+01	8.579563e+01
1.406276e+01	8.589064e+01
1.289089e+01	8.475050e+01
1.171901e+01	8.396665e+01
1.054714e+01	8.425169e+01
9.375263e+00	8.425169e+01
8.203388e+00	8.389540e+01
7.031513e+00	8.282652e+01
5.859638e+00	8.311154e+01
4.687763e+00	8.363411e+01
3.515888e+00	8.344409e+01
2.344013e+00	8.318281e+01
1.172138e+00	8.325406e+01
2.631229e-04	8.356285e+01
