    nm         	uN
0.000000e+00	1.415610e+00
3.906250e+00	1.415610e+00
7.812500e+00	1.415610e+00
1.171875e+01	1.410080e+00
1.562500e+01	1.412845e+00
1.953125e+01	1.410080e+00
2.343750e+01	1.410080e+00
2.734375e+01	1.410080e+00
3.125000e+01	1.410080e+00
3.515625e+01	1.407315e+00
3.906250e+01	1.407315e+00
4.296875e+01	1.404551e+00
4.687501e+01	1.404551e+00
5.078126e+01	1.401786e+00
5.468751e+01	1.399021e+00
5.859376e+01	1.399021e+00
6.250001e+01	1.399021e+00
6.640626e+01	1.399021e+00
7.031251e+01	1.396256e+00
7.421876e+01	1.399021e+00
7.812501e+01	1.396256e+00
8.203126e+01	1.396256e+00
8.593751e+01	1.396256e+00
8.984377e+01	1.396256e+00
9.375002e+01	1.393491e+00
9.765627e+01	1.393491e+00
1.015625e+02	1.393491e+00
1.054688e+02	1.393491e+00
1.093750e+02	1.390726e+00
1.132813e+02	1.390726e+00
1.171875e+02	1.390726e+00
1.210938e+02	1.387961e+00
1.250000e+02	1.387961e+00
1.289063e+02	1.387961e+00
1.328125e+02	1.385196e+00
1.367188e+02	1.387961e+00
1.406250e+02	1.382432e+00
1.445313e+02	1.382432e+00
1.484375e+02	1.382432e+00
1.523438e+02	1.382432e+00
1.562500e+02	1.382432e+00
1.601563e+02	1.385196e+00
1.640625e+02	1.382432e+00
1.679688e+02	1.376902e+00
1.718750e+02	1.376902e+00
1.757813e+02	1.376902e+00
1.796875e+02	1.374137e+00
1.835938e+02	1.376902e+00
1.875000e+02	1.376902e+00
1.914063e+02	1.374137e+00
1.953126e+02	1.371372e+00
1.992188e+02	1.374137e+00
2.031251e+02	1.371372e+00
2.070313e+02	1.371372e+00
2.109376e+02	1.371372e+00
2.148438e+02	1.368607e+00
2.187501e+02	1.368607e+00
2.226563e+02	1.365842e+00
2.265626e+02	1.365842e+00
2.304688e+02	1.365842e+00
2.343751e+02	1.363078e+00
2.382813e+02	1.365842e+00
2.421876e+02	1.363078e+00
2.460938e+02	1.360313e+00
2.500001e+02	1.363078e+00
