    um         	uN
0.000000e+00	1.880107e-01
3.124999e-02	1.963053e-01
6.249999e-02	2.073647e-01
9.374997e-02	2.156593e-01
1.250000e-01	2.267188e-01
1.562500e-01	2.350134e-01
1.875000e-01	2.460728e-01
2.187500e-01	2.543674e-01
2.499999e-01	2.626620e-01
2.812499e-01	2.709566e-01
3.124999e-01	2.792512e-01
3.437499e-01	2.875458e-01
3.749999e-01	2.958404e-01
4.062499e-01	3.013701e-01
4.374998e-01	3.096647e-01
4.687498e-01	3.179593e-01
4.999998e-01	3.234890e-01
5.312498e-01	3.317836e-01
5.624998e-01	3.400782e-01
5.937499e-01	3.483728e-01
6.249999e-01	3.566674e-01
6.562499e-01	3.649619e-01
6.874999e-01	3.760214e-01
7.187499e-01	3.870808e-01
7.499999e-01	3.981403e-01
7.812499e-01	4.064349e-01
8.124999e-01	4.091997e-01
8.437499e-01	4.147295e-01
8.750000e-01	4.230241e-01
9.062500e-01	4.285538e-01
9.375000e-01	4.368484e-01
9.687500e-01	4.479078e-01
1.000000e+00	4.534376e-01
1.031250e+00	4.506727e-01
1.062500e+00	4.506727e-01
1.093750e+00	4.617322e-01
1.125000e+00	4.700267e-01
1.156250e+00	2.709566e-01
1.187500e+00	2.128945e-01
1.218750e+00	2.211891e-01
1.250000e+00	2.322485e-01
1.281250e+00	2.433080e-01
1.312500e+00	2.543674e-01
1.343750e+00	2.681917e-01
1.375000e+00	2.820160e-01
1.406250e+00	2.875458e-01
1.437500e+00	2.681917e-01
1.468750e+00	2.654269e-01
1.500000e+00	2.681917e-01
1.531250e+00	2.571323e-01
1.562500e+00	2.626620e-01
1.593750e+00	2.681917e-01
1.625000e+00	2.764863e-01
1.656250e+00	2.764863e-01
1.687500e+00	2.875458e-01
1.718750e+00	2.875458e-01
1.750000e+00	2.847809e-01
1.781250e+00	2.709566e-01
1.812500e+00	2.571323e-01
1.843750e+00	2.681917e-01
1.875000e+00	2.737215e-01
1.906250e+00	2.681917e-01
1.937500e+00	2.792512e-01
1.968750e+00	2.903106e-01
2.000000e+00	2.958404e-01
2.031250e+00	2.709566e-01
2.062500e+00	2.764863e-01
2.093750e+00	2.903106e-01
2.125000e+00	2.875458e-01
2.156250e+00	2.958404e-01
2.187500e+00	2.986052e-01
2.218750e+00	3.068998e-01
2.250000e+00	3.124295e-01
2.281250e+00	3.207241e-01
2.312500e+00	3.262539e-01
2.343750e+00	3.400782e-01
2.375000e+00	3.317836e-01
2.406250e+00	3.179593e-01
2.437500e+00	3.317836e-01
2.468750e+00	3.124295e-01
2.500000e+00	2.875458e-01
2.531250e+00	2.986052e-01
2.562500e+00	3.013701e-01
2.593750e+00	2.958404e-01
2.625000e+00	2.958404e-01
2.656250e+00	3.068998e-01
2.687500e+00	2.930755e-01
2.718750e+00	2.820160e-01
2.750000e+00	2.792512e-01
2.781250e+00	2.847809e-01
2.812500e+00	2.986052e-01
2.843751e+00	3.041349e-01
2.875001e+00	3.041349e-01
2.906251e+00	3.151944e-01
2.937501e+00	3.262539e-01
2.968751e+00	3.373133e-01
3.000001e+00	3.151944e-01
3.031251e+00	3.179593e-01
3.062501e+00	3.234890e-01
3.093751e+00	3.068998e-01
3.125001e+00	3.096647e-01
3.156251e+00	3.068998e-01
3.187501e+00	3.013701e-01
3.218751e+00	3.068998e-01
3.250001e+00	3.151944e-01
3.281251e+00	3.179593e-01
3.312501e+00	3.234890e-01
3.343751e+00	3.317836e-01
3.375001e+00	3.234890e-01
3.406251e+00	3.234890e-01
3.437501e+00	3.290187e-01
3.468751e+00	3.290187e-01
3.500001e+00	3.400782e-01
3.531251e+00	3.511376e-01
3.562501e+00	3.621971e-01
3.593751e+00	3.760214e-01
3.625001e+00	3.843160e-01
3.656251e+00	3.787863e-01
3.687501e+00	3.649619e-01
3.718751e+00	3.566674e-01
3.750001e+00	3.621971e-01
3.781251e+00	3.732565e-01
3.812501e+00	3.843160e-01
3.843751e+00	3.953754e-01
3.875000e+00	4.009052e-01
3.906250e+00	3.926106e-01
3.937500e+00	3.843160e-01
3.968750e+00	3.787863e-01
4.000000e+00	3.649619e-01
4.031249e+00	3.787863e-01
4.062499e+00	3.815511e-01
4.093749e+00	3.926106e-01
4.124999e+00	4.036700e-01
4.156248e+00	4.147295e-01
4.187498e+00	4.230241e-01
4.218748e+00	4.202592e-01
4.249998e+00	4.313187e-01
4.281248e+00	4.479078e-01
4.312497e+00	4.423781e-01
4.343747e+00	4.506727e-01
4.374997e+00	4.009052e-01
4.406247e+00	4.091997e-01
4.437497e+00	4.174943e-01
4.468746e+00	4.313187e-01
4.499996e+00	3.926106e-01
4.531246e+00	4.009052e-01
4.562496e+00	4.147295e-01
4.593745e+00	4.285538e-01
4.624995e+00	4.423781e-01
4.656245e+00	4.617322e-01
4.687495e+00	4.755565e-01
4.718745e+00	4.866159e-01
4.749994e+00	4.368484e-01
4.781244e+00	4.285538e-01
4.812494e+00	4.423781e-01
4.843744e+00	4.589673e-01
4.874993e+00	4.755565e-01
4.906243e+00	4.810862e-01
4.937493e+00	4.810862e-01
4.968743e+00	4.589673e-01
4.999993e+00	4.617322e-01
5.031242e+00	4.230241e-01
5.062492e+00	4.368484e-01
5.093742e+00	4.506727e-01
5.124992e+00	4.617322e-01
5.156242e+00	4.783213e-01
5.187491e+00	4.949105e-01
5.218741e+00	5.114997e-01
5.249991e+00	5.280889e-01
5.281241e+00	5.308538e-01
5.312490e+00	4.727916e-01
5.343740e+00	4.866159e-01
5.374990e+00	4.949105e-01
5.406240e+00	4.755565e-01
5.437490e+00	4.838511e-01
5.468739e+00	4.976754e-01
5.499989e+00	5.087348e-01
5.531239e+00	5.280889e-01
5.562489e+00	5.446781e-01
5.593738e+00	5.474429e-01
5.624988e+00	5.502077e-01
5.656238e+00	5.280889e-01
5.687488e+00	4.976754e-01
5.718738e+00	5.114997e-01
5.749987e+00	5.280889e-01
5.781237e+00	5.474429e-01
5.812487e+00	5.640321e-01
5.843737e+00	5.778564e-01
5.874987e+00	5.419132e-01
5.906236e+00	5.280889e-01
5.937486e+00	5.474429e-01
5.968736e+00	5.667969e-01
5.999986e+00	4.396132e-01
6.031235e+00	4.451430e-01
6.062485e+00	4.644970e-01
6.093735e+00	4.810862e-01
6.124985e+00	4.976754e-01
6.156235e+00	5.142646e-01
6.187484e+00	5.170294e-01
6.218734e+00	5.308538e-01
6.249984e+00	5.363835e-01
6.281234e+00	5.557375e-01
6.312483e+00	5.778564e-01
