    nm         	nN
7.812499e+00	-1.842356e+02
8.593749e+00	-1.842356e+02
9.374999e+00	-1.842356e+02
1.015625e+01	-1.842356e+02
1.093750e+01	-1.842356e+02
1.171875e+01	-1.842356e+02
1.250000e+01	-1.842356e+02
1.328125e+01	-1.842356e+02
1.406250e+01	-1.842356e+02
1.484375e+01	-1.842356e+02
1.562500e+01	-1.842356e+02
1.640625e+01	-1.842356e+02
1.718750e+01	-1.842356e+02
1.796875e+01	-1.842356e+02
1.875000e+01	-1.842356e+02
1.953125e+01	-1.842356e+02
2.031250e+01	-1.842356e+02
2.109375e+01	-1.842356e+02
2.187500e+01	-1.842356e+02
2.265625e+01	-1.842356e+02
2.343750e+01	-1.842356e+02
2.421875e+01	-1.803157e+02
2.500000e+01	-1.803157e+02
2.578125e+01	-1.803157e+02
2.656251e+01	-1.763958e+02
2.734376e+01	-1.803157e+02
2.812501e+01	-1.803157e+02
2.890626e+01	-1.803157e+02
2.968751e+01	-1.803157e+02
3.046876e+01	-1.763958e+02
3.125001e+01	-1.803157e+02
3.203126e+01	-1.803157e+02
3.281250e+01	-1.763958e+02
3.359375e+01	-1.763958e+02
3.437500e+01	-1.724759e+02
3.515625e+01	-1.724759e+02
3.593750e+01	-1.763958e+02
3.671875e+01	-1.763958e+02
3.750000e+01	-1.763958e+02
3.828125e+01	-1.763958e+02
3.906250e+01	-1.763958e+02
3.984374e+01	-1.724759e+02
4.062499e+01	-1.724759e+02
4.140624e+01	-1.724759e+02
4.218749e+01	-1.724759e+02
4.296874e+01	-1.685560e+02
4.374999e+01	-1.724759e+02
4.453124e+01	-1.724759e+02
4.531249e+01	-1.724759e+02
4.609374e+01	-1.724759e+02
4.687498e+01	-1.724759e+02
4.765623e+01	-1.685560e+02
4.843748e+01	-1.685560e+02
4.921873e+01	-1.685560e+02
4.999998e+01	-1.685560e+02
5.078123e+01	-1.724759e+02
5.156248e+01	-1.685560e+02
5.234373e+01	-1.724759e+02
5.312497e+01	-1.685560e+02
5.390622e+01	-1.724759e+02
5.468747e+01	-1.685560e+02
5.546872e+01	-1.685560e+02
5.624997e+01	-1.685560e+02
5.703122e+01	-1.685560e+02
5.781247e+01	-1.646361e+02
5.859372e+01	-1.646361e+02
5.937497e+01	-1.646361e+02
6.015622e+01	-1.646361e+02
6.093747e+01	-1.646361e+02
6.171872e+01	-1.646361e+02
6.249996e+01	-1.646361e+02
6.328121e+01	-1.646361e+02
6.406246e+01	-1.607162e+02
