    um         	nN
1.235915e+01	9.704670e+02
1.231068e+01	9.483481e+02
1.226221e+01	9.317589e+02
1.221374e+01	9.041103e+02
1.216528e+01	8.792265e+02
1.211681e+01	8.515779e+02
1.206834e+01	8.211643e+02
1.201988e+01	7.990454e+02
1.197141e+01	7.741617e+02
1.192294e+01	7.520428e+02
1.187448e+01	7.271590e+02
1.182601e+01	7.050401e+02
1.177754e+01	6.829212e+02
1.172907e+01	6.635672e+02
1.168061e+01	6.414483e+02
1.163214e+01	6.248591e+02
1.158367e+01	6.027402e+02
1.153521e+01	5.916807e+02
1.148674e+01	5.806212e+02
1.143827e+01	5.667969e+02
1.138981e+01	5.585023e+02
1.134134e+01	5.502077e+02
1.129287e+01	5.419132e+02
1.124440e+01	5.419132e+02
1.119594e+01	5.391483e+02
1.114747e+01	5.363835e+02
1.109900e+01	5.363835e+02
1.105054e+01	5.474429e+02
1.100207e+01	5.474429e+02
1.095360e+01	5.363835e+02
1.090514e+01	5.253240e+02
1.085667e+01	5.142646e+02
1.080820e+01	5.004403e+02
1.075974e+01	4.838511e+02
1.071127e+01	4.755565e+02
1.066280e+01	4.672619e+02
1.061433e+01	4.534376e+02
1.056587e+01	4.340835e+02
1.051740e+01	4.119646e+02
1.046893e+01	3.953754e+02
1.042047e+01	3.787863e+02
1.037200e+01	3.621971e+02
1.032353e+01	3.428430e+02
1.027507e+01	3.262539e+02
1.022660e+01	3.483728e+02
1.017813e+01	3.898457e+02
1.012966e+01	3.732565e+02
1.008120e+01	3.594322e+02
1.003273e+01	3.400782e+02
9.984264e+00	3.207241e+02
9.935797e+00	3.013701e+02
9.887330e+00	2.764863e+02
9.838863e+00	2.516026e+02
9.790396e+00	2.294836e+02
9.741929e+00	2.820160e+02
9.693462e+00	3.566674e+02
9.644995e+00	3.373133e+02
9.596528e+00	3.207241e+02
9.548061e+00	3.041349e+02
9.499594e+00	2.847809e+02
9.451127e+00	2.598971e+02
9.402660e+00	2.377782e+02
9.354193e+00	2.184242e+02
9.305726e+00	2.018350e+02
9.257259e+00	1.852458e+02
9.208792e+00	3.096647e+02
9.160325e+00	3.151944e+02
9.111858e+00	2.986052e+02
9.063391e+00	2.820160e+02
9.014924e+00	3.124295e+02
8.966457e+00	3.124295e+02
8.917990e+00	2.903106e+02
8.869523e+00	2.709566e+02
8.821056e+00	2.792512e+02
8.772589e+00	3.013701e+02
8.724122e+00	2.792512e+02
8.675655e+00	2.598971e+02
8.627188e+00	2.930755e+02
8.578721e+00	2.875458e+02
8.530254e+00	2.737215e+02
8.481788e+00	2.543674e+02
8.433321e+00	2.322485e+02
8.384854e+00	2.045999e+02
8.336387e+00	1.935404e+02
8.287920e+00	2.516026e+02
8.239453e+00	2.322485e+02
8.190986e+00	2.101296e+02
8.142519e+00	1.852458e+02
8.094052e+00	1.631269e+02
8.045585e+00	1.410080e+02
7.997118e+00	1.741864e+02
7.948651e+00	2.460728e+02
7.900184e+00	2.239539e+02
7.851717e+00	2.045999e+02
7.803250e+00	1.880107e+02
7.754783e+00	1.658918e+02
7.706316e+00	1.493026e+02
7.657849e+00	1.271837e+02
7.609382e+00	9.953507e+01
7.560914e+00	7.741617e+01
7.512447e+00	5.806213e+01
7.463979e+00	3.870808e+01
7.415512e+00	1.216540e+02
7.367044e+00	1.548323e+02
7.318577e+00	1.327134e+02
7.270110e+00	1.161243e+02
7.221642e+00	9.953507e+01
7.173175e+00	7.741617e+01
7.124707e+00	5.806213e+01
7.076240e+00	3.870808e+01
7.027772e+00	1.105945e+01
6.979305e+00	-1.658867e+01
6.930838e+00	-2.488301e+01
6.882370e+00	1.022999e+02
6.833903e+00	8.294590e+01
6.785435e+00	6.082699e+01
6.736968e+00	9.953507e+01
6.688500e+00	9.400535e+01
6.640033e+00	7.465130e+01
6.591566e+00	6.082699e+01
6.543098e+00	6.912158e+01
6.494631e+00	1.410080e+02
6.446163e+00	1.216540e+02
6.397696e+00	1.022999e+02
6.349228e+00	8.294590e+01
6.300761e+00	6.082699e+01
6.252294e+00	8.294590e+01
6.203826e+00	1.188891e+02
6.155359e+00	9.953507e+01
6.106891e+00	8.018103e+01
6.058424e+00	5.806213e+01
6.009956e+00	3.870808e+01
5.961489e+00	1.658918e+01
5.913022e+00	-8.294337e+00
5.864554e+00	-3.317735e+01
5.816087e+00	1.382432e+01
5.767619e+00	4.147295e+01
5.719152e+00	1.935404e+01
5.670684e+00	-2.764779e+00
5.622217e+00	-2.211823e+01
5.573750e+00	-4.423646e+01
5.525282e+00	-6.635469e+01
5.476815e+00	-9.123770e+01
5.428347e+00	-1.133559e+02
5.379880e+00	-1.382389e+02
5.331412e+00	-1.631220e+02
5.282945e+00	-1.852402e+02
5.234478e+00	-2.073584e+02
5.186010e+00	8.294590e+00
5.137543e+00	2.764863e+00
5.089075e+00	2.764863e+00
5.040608e+00	1.382432e+02
4.992140e+00	1.354783e+02
4.943673e+00	1.327134e+02
4.895206e+00	1.271837e+02
4.846738e+00	1.216540e+02
4.798271e+00	1.216540e+02
4.749803e+00	1.161243e+02
4.701336e+00	1.133594e+02
4.652868e+00	1.105945e+02
4.604401e+00	1.105945e+02
4.555934e+00	1.050648e+02
4.507466e+00	1.022999e+02
4.458999e+00	9.953507e+01
4.410531e+00	9.400535e+01
4.362064e+00	8.847562e+01
4.313596e+00	8.847562e+01
4.265129e+00	8.571076e+01
4.216662e+00	8.018103e+01
4.168194e+00	7.741617e+01
4.119727e+00	7.465130e+01
4.071259e+00	7.188644e+01
4.022792e+00	6.912158e+01
3.974324e+00	6.635672e+01
3.925857e+00	6.359186e+01
3.877390e+00	5.806213e+01
3.828922e+00	5.253240e+01
3.780455e+00	4.976754e+01
3.731987e+00	4.700268e+01
3.683520e+00	4.423781e+01
3.635053e+00	4.147295e+01
3.586585e+00	3.594322e+01
3.538118e+00	3.317836e+01
3.489650e+00	3.317836e+01
3.441183e+00	2.764863e+01
3.392715e+00	2.211891e+01
3.344248e+00	2.211891e+01
3.295781e+00	1.935404e+01
3.247313e+00	1.382432e+01
3.198846e+00	1.105945e+01
3.150378e+00	8.294590e+00
3.101911e+00	5.529726e+00
3.053443e+00	0.000000e+00
3.004976e+00	-2.764779e+00
2.956509e+00	-5.529558e+00
2.908041e+00	-1.105912e+01
2.859574e+00	-1.382389e+01
2.811106e+00	-1.658867e+01
2.762639e+00	-2.211823e+01
2.714171e+00	-2.488301e+01
2.665704e+00	-2.764779e+01
2.617237e+00	-3.317735e+01
2.568769e+00	-3.317735e+01
2.520302e+00	-3.594213e+01
2.471834e+00	-3.870690e+01
2.423367e+00	-4.423646e+01
2.374899e+00	-4.700124e+01
2.326432e+00	-4.976602e+01
2.277965e+00	-5.529558e+01
2.229497e+00	-5.806035e+01
2.181030e+00	-6.358992e+01
2.132562e+00	-6.358992e+01
2.084095e+00	-6.635469e+01
2.035627e+00	-7.188425e+01
1.987160e+00	-7.188425e+01
1.938693e+00	-7.741381e+01
1.890225e+00	-8.017859e+01
1.841758e+00	-8.294337e+01
1.793291e+00	-8.847292e+01
1.744823e+00	-9.123770e+01
1.696356e+00	-9.676726e+01
1.647889e+00	-9.953204e+01
1.599421e+00	-9.953204e+01
1.550954e+00	-1.050616e+02
1.502487e+00	-1.078264e+02
1.454019e+00	-1.078264e+02
1.405552e+00	-1.133559e+02
1.357085e+00	-1.188855e+02
1.308617e+00	-1.216503e+02
1.260150e+00	-1.244151e+02
1.211683e+00	-1.299446e+02
1.163216e+00	-1.327094e+02
1.114748e+00	-1.354742e+02
1.066281e+00	-1.382389e+02
1.017814e+00	-1.410037e+02
9.693463e-01	-1.465333e+02
9.208790e-01	-1.492981e+02
8.724116e-01	-1.520628e+02
8.239443e-01	-1.575924e+02
7.754770e-01	-1.631220e+02
7.270097e-01	-1.658867e+02
6.785424e-01	-1.714163e+02
6.300751e-01	-1.714163e+02
5.816078e-01	-1.741811e+02
5.331405e-01	-1.769458e+02
4.846731e-01	-1.797106e+02
4.362058e-01	-1.824754e+02
3.877385e-01	-1.880050e+02
3.392712e-01	-1.935345e+02
2.908039e-01	-1.962993e+02
2.423366e-01	-1.990641e+02
1.938692e-01	-2.045936e+02
1.454019e-01	-2.073584e+02
9.693458e-02	-2.101232e+02
4.846726e-02	-2.128880e+02
-7.105427e-08	-2.184175e+02
