    um         	uN
2.988287e+00	2.023880e+00
2.976568e+00	2.023880e+00
2.964849e+00	2.032175e+00
2.953130e+00	2.032175e+00
2.941411e+00	2.037704e+00
2.929693e+00	2.037704e+00
2.917974e+00	2.037704e+00
2.906255e+00	2.040469e+00
2.894536e+00	2.034939e+00
2.882817e+00	2.032175e+00
2.871098e+00	2.029410e+00
2.859379e+00	2.023880e+00
2.847661e+00	2.015585e+00
2.835942e+00	2.010056e+00
2.824223e+00	2.001761e+00
2.812504e+00	1.990702e+00
2.800785e+00	1.982407e+00
2.789066e+00	1.968583e+00
2.777348e+00	1.960288e+00
2.765629e+00	1.946464e+00
2.753910e+00	1.935404e+00
2.742191e+00	1.929875e+00
2.730472e+00	1.924345e+00
2.718753e+00	1.921580e+00
2.707035e+00	1.927109e+00
2.695316e+00	1.943699e+00
2.683597e+00	1.965818e+00
2.671878e+00	1.996231e+00
2.660159e+00	2.026645e+00
2.648440e+00	2.054293e+00
2.636722e+00	2.065353e+00
2.625003e+00	2.068118e+00
2.613284e+00	2.070882e+00
2.601565e+00	2.076412e+00
2.589846e+00	2.073647e+00
2.578127e+00	2.070882e+00
2.566409e+00	2.070882e+00
2.554690e+00	2.076412e+00
2.542971e+00	2.076412e+00
2.531252e+00	2.081942e+00
2.519533e+00	2.079177e+00
2.507814e+00	2.076412e+00
2.496095e+00	2.079177e+00
2.484377e+00	2.079177e+00
2.472658e+00	2.076412e+00
2.460939e+00	2.076412e+00
2.449220e+00	2.073647e+00
2.437501e+00	2.070882e+00
2.425782e+00	2.070882e+00
2.414064e+00	2.065353e+00
2.402345e+00	2.059823e+00
2.390626e+00	2.059823e+00
2.378907e+00	2.057058e+00
2.367188e+00	2.051529e+00
2.355469e+00	2.048763e+00
2.343751e+00	2.043234e+00
2.332032e+00	2.037704e+00
2.320313e+00	2.034939e+00
2.308594e+00	2.032175e+00
2.296875e+00	2.026645e+00
2.285156e+00	2.021115e+00
2.273438e+00	2.015585e+00
2.261719e+00	2.007291e+00
2.250000e+00	2.001761e+00
2.238281e+00	2.001761e+00
2.226562e+00	1.998996e+00
2.214843e+00	1.990702e+00
2.203124e+00	1.985172e+00
2.191406e+00	1.976877e+00
2.179687e+00	1.971347e+00
2.167968e+00	1.965818e+00
2.156249e+00	1.960288e+00
2.144530e+00	1.949228e+00
2.132811e+00	1.946464e+00
2.121093e+00	1.935404e+00
2.109374e+00	1.927109e+00
2.097655e+00	1.921580e+00
2.085936e+00	1.910520e+00
2.074217e+00	1.907756e+00
2.062498e+00	1.899461e+00
2.050780e+00	1.893931e+00
2.039061e+00	1.891166e+00
2.027342e+00	1.880107e+00
2.015623e+00	1.869048e+00
2.003904e+00	1.855223e+00
1.992185e+00	1.846929e+00
1.980467e+00	1.841399e+00
1.968748e+00	1.835869e+00
1.957029e+00	1.827574e+00
1.945310e+00	1.819280e+00
1.933591e+00	1.813750e+00
1.921872e+00	1.805456e+00
1.910154e+00	1.799926e+00
1.898435e+00	1.794396e+00
1.886716e+00	1.788867e+00
1.874997e+00	1.783337e+00
1.863279e+00	1.772277e+00
1.851560e+00	1.763983e+00
1.839841e+00	1.750158e+00
1.828122e+00	1.736334e+00
1.816404e+00	1.722510e+00
1.804685e+00	1.722510e+00
1.792966e+00	1.716980e+00
1.781248e+00	1.711450e+00
1.769529e+00	1.705920e+00
1.757810e+00	1.703156e+00
1.746091e+00	1.697626e+00
1.734373e+00	1.692096e+00
1.722654e+00	1.686567e+00
1.710935e+00	1.683802e+00
1.699216e+00	1.678272e+00
1.687498e+00	1.675507e+00
1.675779e+00	1.667213e+00
1.664060e+00	1.664448e+00
1.652342e+00	1.658918e+00
1.640623e+00	1.653388e+00
1.628904e+00	1.650623e+00
1.617185e+00	1.642329e+00
1.605467e+00	1.636799e+00
1.593748e+00	1.631269e+00
1.582029e+00	1.625740e+00
1.570310e+00	1.620210e+00
1.558592e+00	1.614680e+00
1.546873e+00	1.609150e+00
1.535154e+00	1.600856e+00
1.523436e+00	1.592561e+00
1.511717e+00	1.587031e+00
1.499998e+00	1.581502e+00
1.488279e+00	1.573207e+00
1.476561e+00	1.564913e+00
1.464842e+00	1.559383e+00
1.453123e+00	1.551088e+00
1.441404e+00	1.545559e+00
1.429686e+00	1.540029e+00
1.417967e+00	1.531734e+00
1.406248e+00	1.526205e+00
1.394530e+00	1.517910e+00
1.382811e+00	1.512380e+00
1.371092e+00	1.504086e+00
1.359373e+00	1.498556e+00
1.347655e+00	1.490261e+00
1.335936e+00	1.484731e+00
1.324217e+00	1.479202e+00
1.312499e+00	1.473672e+00
1.300780e+00	1.462613e+00
1.289061e+00	1.451553e+00
1.277342e+00	1.446023e+00
1.265624e+00	1.437729e+00
1.253905e+00	1.432199e+00
1.242186e+00	1.423905e+00
1.230467e+00	1.418375e+00
1.218749e+00	1.410080e+00
1.207030e+00	1.404551e+00
1.195311e+00	1.390726e+00
1.183593e+00	1.382432e+00
1.171874e+00	1.374137e+00
1.160155e+00	1.365842e+00
1.148436e+00	1.357548e+00
1.136718e+00	1.349253e+00
1.124999e+00	1.343724e+00
1.113280e+00	1.338194e+00
1.101561e+00	1.329899e+00
1.089843e+00	1.324369e+00
1.078124e+00	1.318840e+00
1.066405e+00	1.313310e+00
1.054687e+00	1.305015e+00
1.042968e+00	1.299486e+00
1.031249e+00	1.293956e+00
1.019530e+00	1.285661e+00
1.007812e+00	1.282897e+00
9.960929e-01	1.277367e+00
9.843742e-01	1.269072e+00
9.726555e-01	1.263542e+00
9.609367e-01	1.260778e+00
9.492180e-01	1.255248e+00
9.374993e-01	1.246953e+00
9.257806e-01	1.238659e+00
9.140618e-01	1.233129e+00
9.023431e-01	1.227599e+00
8.906244e-01	1.219305e+00
8.789057e-01	1.216540e+00
8.671869e-01	1.211010e+00
8.554682e-01	1.205480e+00
8.437495e-01	1.202715e+00
8.320308e-01	1.197186e+00
8.203120e-01	1.188891e+00
8.085933e-01	1.183361e+00
7.968746e-01	1.177832e+00
7.851559e-01	1.172302e+00
7.734371e-01	1.169537e+00
7.617184e-01	1.161242e+00
