    nm         	nN
1.992192e+02	-1.215171e+02
1.984380e+02	-1.254370e+02
1.976567e+02	-1.254370e+02
1.968755e+02	-1.293569e+02
1.960942e+02	-1.293569e+02
1.953130e+02	-1.332768e+02
1.945317e+02	-1.332768e+02
1.937505e+02	-1.332768e+02
1.929692e+02	-1.293569e+02
1.921879e+02	-1.332768e+02
1.914067e+02	-1.332768e+02
1.906254e+02	-1.332768e+02
1.898442e+02	-1.332768e+02
1.890629e+02	-1.371967e+02
1.882817e+02	-1.371967e+02
1.875004e+02	-1.371967e+02
1.867191e+02	-1.371967e+02
1.859379e+02	-1.332768e+02
1.851566e+02	-1.332768e+02
1.843754e+02	-1.332768e+02
1.835941e+02	-1.332768e+02
1.828129e+02	-1.293569e+02
1.820316e+02	-1.332768e+02
1.812504e+02	-1.371967e+02
1.804691e+02	-1.371967e+02
1.796878e+02	-1.371967e+02
1.789066e+02	-1.371967e+02
1.781253e+02	-1.371967e+02
1.773441e+02	-1.411166e+02
1.765628e+02	-1.411166e+02
1.757816e+02	-1.371967e+02
1.750003e+02	-1.371967e+02
1.742191e+02	-1.371967e+02
1.734378e+02	-1.411166e+02
1.726565e+02	-1.450365e+02
1.718753e+02	-1.411166e+02
1.710940e+02	-1.411166e+02
1.703128e+02	-1.450365e+02
1.695315e+02	-1.450365e+02
1.687503e+02	-1.450365e+02
1.679690e+02	-1.450365e+02
1.671877e+02	-1.450365e+02
1.664065e+02	-1.411166e+02
1.656252e+02	-1.411166e+02
1.648440e+02	-1.450365e+02
1.640627e+02	-1.450365e+02
1.632815e+02	-1.450365e+02
1.625002e+02	-1.450365e+02
1.617190e+02	-1.489564e+02
1.609377e+02	-1.489564e+02
1.601564e+02	-1.489564e+02
1.593752e+02	-1.489564e+02
1.585939e+02	-1.489564e+02
1.578127e+02	-1.489564e+02
1.570314e+02	-1.489564e+02
1.562502e+02	-1.528763e+02
1.554689e+02	-1.489564e+02
1.546877e+02	-1.528763e+02
1.539064e+02	-1.528763e+02
1.531251e+02	-1.528763e+02
1.523439e+02	-1.528763e+02
1.515626e+02	-1.528763e+02
1.507814e+02	-1.528763e+02
1.500001e+02	-1.528763e+02
1.492189e+02	-1.567962e+02
1.484376e+02	-1.567962e+02
1.476564e+02	-1.567962e+02
1.468751e+02	-1.567962e+02
1.460938e+02	-1.567962e+02
1.453126e+02	-1.567962e+02
1.445313e+02	-1.567962e+02
1.437501e+02	-1.528763e+02
1.429688e+02	-1.528763e+02
1.421876e+02	-1.528763e+02
1.414063e+02	-1.567962e+02
1.406250e+02	-1.607162e+02
1.398438e+02	-1.646361e+02
1.390625e+02	-1.607162e+02
1.382813e+02	-1.607162e+02
1.375000e+02	-1.607162e+02
1.367188e+02	-1.607162e+02
1.359375e+02	-1.607162e+02
1.351563e+02	-1.646361e+02
1.343750e+02	-1.607162e+02
1.335937e+02	-1.607162e+02
1.328125e+02	-1.646361e+02
1.320312e+02	-1.646361e+02
1.312500e+02	-1.607162e+02
1.304687e+02	-1.646361e+02
1.296875e+02	-1.646361e+02
1.289062e+02	-1.607162e+02
1.281250e+02	-1.607162e+02
1.273437e+02	-1.646361e+02
1.265624e+02	-1.646361e+02
1.257812e+02	-1.646361e+02
1.249999e+02	-1.646361e+02
1.242187e+02	-1.646361e+02
1.234374e+02	-1.685560e+02
1.226562e+02	-1.685560e+02
1.218749e+02	-1.724759e+02
1.210936e+02	-1.724759e+02
1.203124e+02	-1.685560e+02
1.195311e+02	-1.685560e+02
1.187499e+02	-1.685560e+02
1.179686e+02	-1.685560e+02
1.171874e+02	-1.685560e+02
1.164061e+02	-1.724759e+02
1.156249e+02	-1.724759e+02
1.148436e+02	-1.724759e+02
1.140624e+02	-1.724759e+02
1.132811e+02	-1.763958e+02
1.124999e+02	-1.763958e+02
1.117186e+02	-1.763958e+02
1.109374e+02	-1.724759e+02
1.101562e+02	-1.724759e+02
1.093749e+02	-1.724759e+02
1.085937e+02	-1.763958e+02
1.078124e+02	-1.803157e+02
1.070312e+02	-1.763958e+02
1.062499e+02	-1.803157e+02
1.054687e+02	-1.803157e+02
1.046874e+02	-1.803157e+02
1.039062e+02	-1.763958e+02
1.031249e+02	-1.763958e+02
