date,branch,file,source_path,direction,time_direction,n_points,sample,linker,surfactant,scan_size_nm,displacement_nm,setpoint,probe_model,probe_radius_nm,cantilever_stiffness_N_m,baseline_slope,baseline_intercept,baseline_points,baseline_status,min_force_nN,max_force_nN,snap_f_nN,snap_z_nm,contact_z_nm,contact_f_nN,pull_off_f_nN,pull_off_z_nm,repulsive_points,max_indentation_nm,loading_stiffness_nN_per_nm,max_repulsive_force_nN,work_area_nN_nm,warnings,valid,group
20260416,extend,k80-linker1-paa-50nm-4000nm-3uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-4000nm-3uN - NanoScope Analysis.txt,inc,inc,207,k80,linker1,paa,50.0,4000.0,3uN,DDESP-V2,100.0,89.0,-0.0298248670967744,445.26785096774216,31,OK_extend_edge,-207.98464,3104.7602757974305,-207.98464,1281.25,1687.5,44.67481225806466,,,148,2296.8291150530804,1.364399942168133,3104.7602757974305,3209983.1663347287,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-4500nm-3uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-4500nm-3uN - NanoScope Analysis.txt,inc,inc,221,k80,linker1,paa,50.0,4500.0,3uN,DDESP-V2,100.0,89.0,0.0850059473574932,390.0499502096407,33,OK_extend_edge,-276.8125945579052,2671.1728612480792,-276.8125945579052,1757.814,2267.578,3.3434336933495388,,,127,2214.8099868217832,1.2185118053759831,2671.1728612480792,2438404.3275483297,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-2500nm-3uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-2500nm-3uN - NanoScope Analysis.txt,inc,inc,225,k80,linker1,paa,50.0,2500.0,3uN,DDESP-V2,100.0,89.0,0.1746312036121623,2056.802943549006,34,OK_extend_edge,-46.073149869981535,2659.264146492658,-46.073149869981535,439.453,546.875,1.524616975592835,,,199,1943.331120627567,1.4238271591493736,2659.264146492658,2383639.4373058383,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-7000nm-10uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-7000nm-10uN - NanoScope Analysis.txt,inc,inc,256,k80,linker1,paa,50.0,7000.0,10uN,DDESP-V2,100.0,89.0,0.0,222.571475,4,OK_const,-17.971575,2578.234525,-17.971575,0.0,54.68751,6.912125000000032,,,254,6917.961521072753,0.2419756138969747,2578.234525,3542870.3130789045,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-3500nm-3uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-3500nm-3uN - NanoScope Analysis.txt,inc,inc,191,k80,linker1,paa,50.0,3500.0,3uN,DDESP-V2,100.0,89.0,0.1805127317052563,367.6341375353693,29,OK_extend_edge,-26.515397702244854,2542.0622859240593,-26.515397702244854,1066.406,1203.125,1.337482131744082,,,168,2283.1854375024054,1.1193123459383787,2542.0622859240593,2527191.4077908634,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-9000nm-10uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-9000nm-10uN - NanoScope Analysis.txt,inc,inc,256,k80,linker1,paa,50.0,9000.0,10uN,DDESP-V2,100.0,89.0,0.0,13.824316666666666,3,OK_const,-5.529726666666667,2159.3586833333334,-5.529726666666667,0.0,35.15625,3.33333333379926e-06,,,255,8929.656487542883,0.1439136275688255,2159.3586833333334,4553882.366575325,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-8000nm-10uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-8000nm-10uN - NanoScope Analysis.txt,inc,inc,256,k80,linker1,paa,50.0,8000.0,10uN,DDESP-V2,100.0,89.0,0.0,201.835,4,OK_const,-13.824299999999994,2120.65,-13.824299999999994,0.0,62.49999,5.529699999999991,,,254,7906.203182471911,0.1550242124424558,2120.65,3016284.6171875726,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-5000nm-3uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-5000nm-3uN - NanoScope Analysis.txt,inc,inc,245,k80,linker1,paa,50.0,5000.0,3uN,DDESP-V2,100.0,89.0,0.2004274186897139,308.08095822997836,37,OK_extend_edge,-562.1732203565766,2011.5320953810433,-562.1732203565766,2343.749,3203.121,12.098167989206445,,,92,1777.3273985157816,1.1054148659720897,2011.5320953810433,1101476.3700185234,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-10000nm-10uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-10000nm-10uN - NanoScope Analysis.txt,inc,inc,256,k80,linker1,paa,50.0,10000.0,10uN,DDESP-V2,100.0,89.0,0.0,-87.55132666666667,3,OK_const,-0.921593333333334,1998.071326666667,-0.921593333333334,0.0,78.125,1.843186666666668,,,254,9882.794549760374,0.125460693630348,1998.071326666667,5159535.406093381,,True,k80-linker1-paa
20260416,extend,k80-linker1-paa-50nm-12000nm-10uN - NanoScope Analysis.txt,/Users/kejunliu/Desktop/Research_Data/AFM/JJS_project/RealRaw/20260416/extend/k80-linker1-paa-50nm-12000nm-10uN - NanoScope Analysis.txt,inc,inc,256,k80,linker1,paa,50.0,12000.0,10uN,DDESP-V2,100.0,89.0,0.0,-243.3005333333333,3,OK_const,-2.7647666666666737,1899.453533333333,-2.7647666666666737,0.0,46.87499,3.3333333306018176e-05,,,255,11906.25366782547,0.1041997041098252,1899.453533333333,6219603.997078249,,True,k80-linker1-paa
