file,drop_slope,rise_slope,ratio,disp_nm
JJS-50nm-1000nm-10nN,40.2,6.8,0.169,1000.0
JJS-50nm-1000nm-50nN,56.2,6.9,0.124,1000.0
JJS-50nm-1000nm-8nN,44.8,6.9,0.154,1000.0
JJS-50nm-1000nm-8nN-,34.7,6.7,0.194,1000.0
JJS-50nm-1500nm-10nN,33.6,6.5,0.194,1500.0
JJS-50nm-1500nm-8nN,28.6,6.5,0.226,1500.0
JJS-50nm-1500nm-9nN,20.4,6.4,0.314,1500.0
JJS-50nm-454nm-8.862nN,93.6,6.9,0.074,454.0
JJS-50nm-500nm-10nN,88.6,7.3,0.082,500.0
JJS-50nm-500nm-8.862nN,114.4,7.3,0.064,500.0
JJS-50nm-500nm-9nN,77.7,7.0,0.09,500.0
