point_idx,delta_nm,raw_force_nN,stitched_force_nN,segment_id,cumulative_offset_nN,used_for_fit,date,file,group,sample,linker,surfactant,displacement_nm,setpoint,curve_id,rupture_idx
0,-0.00014199714893598728,0.993980042551911,0.993980042551911,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
1,1.953028892267464,1.1977541280186657,1.1977541280186657,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
2,3.9061235275186825,1.2353073695326415,1.2353073695326415,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
3,5.859235127055615,1.1541106110466473,1.1541106110466473,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
4,7.812350120878206,1.0491538525606785,1.0491538525606785,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
5,9.76550244184371,0.6829070940746931,0.6829070940746931,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
6,11.718451167094928,1.741830335588702,1.741830335588702,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
7,13.671389710917575,2.8720235771026807,2.8720235771026807,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
8,15.624480950454508,2.933346818616684,2.933346818616684,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
9,17.577521294277155,3.3509400601306822,3.3509400601306822,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
10,19.530732902264926,3.2696841455974663,3.2696841455974663,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
11,21.483841110373287,3.2122273871114686,3.2122273871114686,0,0.0,True,20260415,linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,linker1-paa,linker1,linker1,paa,500.0,,20260415::linker1-paa--100nN-500nm.spm - NanoScope Analysis.txt,
