file,date_folder,probe,material,substrate,scan_size_nm,piezo_displacement_nm,setpoint_force,setpoint_unit,force_unit,data_points,z_start_nm,z_end_nm,z_range_nm,min_force,max_force,snap_in_z_nm,has_snap_in
20260409\JJS-50nm-1000nm-10nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1000.0,10.0,nN,nN,512,998.05,-0.0,998.05,-102.246,24.648,976.56,Yes
20260409\JJS-50nm-1000nm-50nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1000.0,50.0,nN,nN,512,998.05,-0.0,998.05,-101.166,64.196,970.71,Yes
20260409\JJS-50nm-1000nm-8nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1000.0,8.0,nN,nN,512,998.05,-0.0,998.05,-105.957,21.519,976.56,Yes
20260409\JJS-50nm-1000nm-8nN- - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1000.0,8.0,nN,nN,512,998.05,-0.0,998.05,-101.526,25.451,976.56,Yes
20260409\JJS-50nm-1500nm-10nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1500.0,10.0,nN,nN,512,1.5,0.0,1.5,-85.685,32.707,1.47,Yes
20260409\JJS-50nm-1500nm-8nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1500.0,8.0,nN,nN,512,1.5,-0.0,1.5,-86.626,30.464,1.48,Yes
20260409\JJS-50nm-1500nm-9nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,1500.0,9.0,nN,nN,512,1.5,0.0,1.5,-89.95,25.479,1.48,Yes
20260409\JJS-50nm-454nm-8.862nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,454.0,8.862,nN,nN,512,453.06,0.0,453.06,-135.312,26.227,428.24,Yes
20260409\JJS-50nm-500nm-10nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,500.0,10.0,nN,nN,512,499.02,0.0,499.02,-113.323,25.756,476.56,Yes
20260409\JJS-50nm-500nm-8.862nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,500.0,8.862,nN,nN,512,499.02,0.0,499.02,-127.253,26.947,474.61,Yes
