filename,material,k1_N_m,k3_N_m3,sigma_0_MPa,E_2D_N_m,R_squared,QC_Status,max_D_nm,max_F_nN,n_fit_points,snap_depth_nm
k80-linker1-paa-50nm-10000nm-10uN - NanoScope Analysis.txt,linker1,0.007080534098468247,3.1671534783949217e-09,0.045076080060077524,2.02697822617275e-07,0.8304933353090252,Pass,8217.135455291665,2018.35,211,2.1427040416666663
k80-linker1-paa-50nm-1000nm-3uN - NanoScope Analysis.txt,linker1,0.06175892368056569,6.0472690966221295e-09,0.3931695193518856,3.870252221838163e-07,0.7123257990257323,Pass,945.1391089944266,6334.301,218,0.08291827679208837
k80-linker1-paa-50nm-12000nm-10uN - NanoScope Analysis.txt,linker1,0.05884679613491168,1.4996722557929042e-09,0.37463033959968933,9.597902437074587e-08,0.7324721093392343,Pass,8648.423787500002,1725.2749999999999,185,0.23039875000000015
k80-linker1-paa-50nm-12410nm-10uN - NanoScope Analysis.txt,linker1,,,,,,Discard: Baseline fail,,1457.0829999999999,0,
k80-linker1-paa-50nm-1500nm-3uN - NanoScope Analysis.txt,linker1,,,,,,Discard: No positive force region,,6129.701,0,1.7350265519386199
k80-linker1-paa-50nm-2000nm-3uN - NanoScope Analysis.txt,linker1,,,,,,Discard: No positive force region,,5673.499,0,9.100196647529652
k80-linker1-paa-50nm-2500nm-3uN - NanoScope Analysis.txt,linker1,0.27142785477772424,1.2742915477038146e-29,1.7279633912281573,8.155465905304413e-28,-0.45179789686352323,Pass,2401.5002471614816,5159.235,246,0.08671491222962117
k80-linker1-paa-50nm-3000nm-3uN - NanoScope Analysis.txt,linker1,0.2926466993269903,1.3793811261440532e-24,1.8630467510967257,8.82803920732194e-23,0.4827446278624222,Pass,2844.841451199297,4268.9490000000005,243,0.06528121726737765
k80-linker1-paa-50nm-3500nm-3uN - NanoScope Analysis.txt,linker1,0.9614333391483861,5.809348121230437e-27,6.120674735152492,3.7179827975874796e-25,0.9415325204189748,Pass,2560.330957226875,3608.146,189,1.0108965107178052
k80-linker1-paa-50nm-4000nm-3uN - NanoScope Analysis.txt,linker1,0.8297332522056854,2.1248406819119443e-08,5.282245941449965,1.3598980364236443e-06,0.9559105609046262,Pass,3291.1318529103078,3475.433,208,0.7484858911991104
k80-linker1-paa-50nm-4500nm-3uN - NanoScope Analysis.txt,linker1,1.0656024717390473,3.169132769816887e-34,6.783836029928443,2.0282449726828078e-32,0.9612516408651174,Pass,2382.4419720442615,3480.963,137,2.6776387588035404
k80-linker1-paa-50nm-5000nm-3uN - NanoScope Analysis.txt,linker1,0.5746022115208907,1.4330122492456277e-32,3.658031291003383,9.171278395172017e-31,0.13457339691640546,Pass,1128.6325822020665,3370.368,58,12.714748957239088
k80-linker1-paa-50nm-500nm-3uN - NanoScope Analysis.txt,linker1,,,,,,Discard: No positive force region,,6140.761,0,0.4855853048940162
k80-linker1-paa-50nm-6000nm-10uN - NanoScope Analysis.txt,linker1,0.9091195973786652,5.054305775460887e-27,5.78763511138113,3.2347556962949677e-25,0.7569294243667761,Pass,1372.4444280445707,3146.414,59,13.699866183081905
k80-linker1-paa-50nm-7000nm-10uN - NanoScope Analysis.txt,linker1,1.3491424606213148e-25,8.992731948274263e-09,8.588907661721801e-25,5.755348446895528e-07,0.9101059266877173,Pass,6802.227963791666,2892.047,250,0.27648616666666664
k80-linker1-paa-50nm-8000nm-10uN - NanoScope Analysis.txt,linker1,9.221064540888066e-24,5.349195875093493e-09,5.870312009006937e-23,3.423485360059836e-07,0.8767564667412555,Pass,7626.781208937501,2463.493,245,0.38016181250000003
k80-linker1-paa-50nm-9000nm-10uN - NanoScope Analysis.txt,linker1,0.002295764630175283,3.47545822556479e-09,0.014615291562717334,2.2242932643614656e-07,0.8385690633054249,Pass,8479.120073208334,2272.717,242,0.7257544583333331
k80-linker2-paa-50nm-1000nm-10uN - NanoScope Analysis.txt,linker2,,,,,,Discard: No positive force region,,8867.099,0,3.8257777328625933
k80-linker2-paa-50nm-100nm-125.5nN - NanoScope Analysis.txt,linker2,,,,,,Discard-1: No contact,,-211.6749,0,
k80-linker2-paa-50nm-100nm-125.5nN-2 - NanoScope Analysis.txt,linker2,,,,,,Discard-1: No contact,,-207.755,0,
k80-linker2-paa-50nm-1500nm-10uN - NanoScope Analysis.txt,linker2,,,,,,Discard: No positive force region,,8392.775,0,3.4599340959239044
k80-linker2-paa-50nm-2000nm-10uN - NanoScope Analysis.txt,linker2,,,,,,Discard: No positive force region,,7879.252,0,1.5163666721411801
k80-linker2-paa-50nm-200nm-125.5nN - NanoScope Analysis.txt,linker2,,,,,,Discard-1: No contact,,-121.5171,0,
k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,linker2,,,,,,Discard-1: No contact,,-82.31803,0,
k80-linker2-paa-50nm-500nm-10uN - NanoScope Analysis.txt,linker2,0.10238270418050839,8.006923857075974e-07,0.6517885382977266,5.124431268528623e-05,0.9789169250285185,Pass,461.6897193376306,8714.217,219,0.11705073539372961
