    um         	nN
8.203125e-02	1.138252e+01
8.496094e-02	1.129944e+01
8.789063e-02	1.127174e+01
9.082031e-02	1.132713e+01
9.375000e-02	1.129944e+01
9.667969e-02	1.138252e+01
9.960938e-02	1.141022e+01
1.025391e-01	1.143791e+01
1.054688e-01	1.146561e+01
1.083984e-01	1.141022e+01
1.113281e-01	1.141022e+01
1.142578e-01	1.141022e+01
1.171875e-01	1.146561e+01
1.201172e-01	1.146561e+01
1.230469e-01	1.146561e+01
1.259766e-01	1.146561e+01
1.289062e-01	1.154869e+01
1.318359e-01	1.146561e+01
1.347656e-01	1.143791e+01
1.376953e-01	1.143791e+01
1.406250e-01	1.146561e+01
1.435546e-01	1.149330e+01
1.464843e-01	1.146561e+01
1.494140e-01	1.146561e+01
1.523437e-01	1.146561e+01
1.552734e-01	1.146561e+01
1.582031e-01	1.146561e+01
1.611327e-01	1.157639e+01
1.640624e-01	1.152100e+01
1.669921e-01	1.152100e+01
1.699218e-01	1.157639e+01
1.728515e-01	1.154869e+01
1.757811e-01	1.149330e+01
1.787108e-01	1.146561e+01
1.816405e-01	1.157639e+01
1.845702e-01	1.163178e+01
1.874999e-01	1.154869e+01
1.904295e-01	1.157639e+01
1.933592e-01	1.154869e+01
1.962889e-01	1.154869e+01
1.992186e-01	1.149330e+01
2.021483e-01	1.152100e+01
2.050780e-01	1.152100e+01
2.080076e-01	1.157639e+01
2.109373e-01	1.152100e+01
2.138670e-01	1.160408e+01
2.167967e-01	1.157639e+01
2.197264e-01	1.152100e+01
2.226560e-01	1.165947e+01
2.255857e-01	1.165947e+01
2.285154e-01	1.149330e+01
2.314451e-01	1.149330e+01
2.343748e-01	1.149330e+01
2.373044e-01	1.157639e+01
2.402341e-01	1.160408e+01
2.431638e-01	1.168717e+01
2.460935e-01	1.174255e+01
2.490232e-01	1.171486e+01
2.519529e-01	1.171486e+01
2.548825e-01	1.160408e+01
2.578122e-01	1.157639e+01
2.607419e-01	1.163178e+01
2.636716e-01	1.154869e+01
2.666013e-01	1.168717e+01
2.695309e-01	1.165947e+01
2.724606e-01	1.177025e+01
2.753903e-01	1.165947e+01
2.783200e-01	1.174255e+01
2.812497e-01	1.179794e+01
2.841794e-01	1.165947e+01
2.871090e-01	1.179794e+01
2.900387e-01	1.177025e+01
2.929684e-01	1.177025e+01
2.958981e-01	1.185333e+01
2.988278e-01	1.182564e+01
3.017574e-01	1.177025e+01
3.046871e-01	1.188103e+01
3.076168e-01	1.185333e+01
