    nm         	nN
3.635155e+01	1.501053e+01
3.723817e+01	1.498283e+01
3.812480e+01	1.503822e+01
3.901142e+01	1.495514e+01
3.989804e+01	1.506592e+01
4.078466e+01	1.503822e+01
4.167129e+01	1.512131e+01
4.255791e+01	1.520439e+01
4.344453e+01	1.520439e+01
4.433115e+01	1.531517e+01
4.521777e+01	1.517670e+01
4.610440e+01	1.517670e+01
4.699102e+01	1.517670e+01
4.787764e+01	1.517670e+01
4.876426e+01	1.520439e+01
4.965089e+01	1.523209e+01
5.053751e+01	1.520439e+01
5.142413e+01	1.512131e+01
5.231075e+01	1.512131e+01
5.319738e+01	1.514900e+01
5.408400e+01	1.512131e+01
5.497062e+01	1.523209e+01
5.585724e+01	1.503822e+01
5.674386e+01	1.514900e+01
5.763049e+01	1.503822e+01
5.851711e+01	1.509361e+01
5.940373e+01	1.514900e+01
6.029035e+01	1.514900e+01
6.117698e+01	1.523209e+01
6.206360e+01	1.512131e+01
6.295022e+01	1.514900e+01
6.383684e+01	1.514900e+01
6.472347e+01	1.512131e+01
6.561009e+01	1.509361e+01
6.649671e+01	1.498283e+01
6.738333e+01	1.506592e+01
6.826996e+01	1.501053e+01
6.915658e+01	1.509361e+01
7.004320e+01	1.517670e+01
7.092982e+01	1.520439e+01
7.181644e+01	1.525978e+01
7.270307e+01	1.514900e+01
7.358969e+01	1.525978e+01
7.447631e+01	1.523209e+01
7.536293e+01	1.517670e+01
7.624956e+01	1.523209e+01
7.713618e+01	1.525978e+01
7.802280e+01	1.534287e+01
7.890942e+01	1.520439e+01
7.979605e+01	1.523209e+01
8.068267e+01	1.523209e+01
8.156929e+01	1.520439e+01
8.245591e+01	1.528748e+01
8.334253e+01	1.525978e+01
8.422916e+01	1.531517e+01
8.511578e+01	1.520439e+01
8.600240e+01	1.525978e+01
8.688902e+01	1.531517e+01
8.777565e+01	1.525978e+01
8.866227e+01	1.537056e+01
8.954889e+01	1.528748e+01
9.043551e+01	1.534287e+01
9.132214e+01	1.531517e+01
9.220876e+01	1.528748e+01
9.309538e+01	1.537056e+01
