    um         	nN
2.093750e+00	-1.230365e+01
2.109375e+00	-1.227990e+01
2.125000e+00	-1.218489e+01
2.140624e+00	-1.201862e+01
2.156249e+00	-1.192361e+01
2.171874e+00	-1.182860e+01
2.187499e+00	-1.173360e+01
2.203124e+00	-1.166234e+01
2.218749e+00	-1.156733e+01
2.234374e+00	-1.156733e+01
2.249999e+00	-1.144857e+01
2.265624e+00	-1.140106e+01
2.281248e+00	-1.140106e+01
2.296873e+00	-1.125855e+01
2.312498e+00	-1.113979e+01
2.328123e+00	-1.113979e+01
2.343748e+00	-1.109229e+01
2.359373e+00	-1.097353e+01
2.374998e+00	-1.092602e+01
2.390623e+00	-1.094977e+01
2.406248e+00	-1.087852e+01
2.421873e+00	-1.075975e+01
2.437497e+00	-1.071225e+01
2.453122e+00	-1.061724e+01
2.468747e+00	-1.045098e+01
2.484372e+00	-1.037972e+01
2.499997e+00	-1.023721e+01
2.515622e+00	-1.018970e+01
2.531247e+00	-1.002344e+01
2.546872e+00	-1.007094e+01
2.562497e+00	-1.004719e+01
2.578121e+00	-9.975932e+00
2.593746e+00	-9.904675e+00
2.609371e+00	-9.809666e+00
2.624996e+00	-9.762162e+00
2.640621e+00	-9.690905e+00
2.656246e+00	-9.667153e+00
2.671871e+00	-9.548391e+00
2.687496e+00	-9.453383e+00
2.703121e+00	-9.334622e+00
2.718745e+00	-9.358374e+00
2.734370e+00	-9.263365e+00
2.749995e+00	-9.168357e+00
2.765620e+00	-9.120852e+00
2.781245e+00	-9.002091e+00
2.796870e+00	-8.907082e+00
2.812495e+00	-8.788321e+00
2.828120e+00	-8.764569e+00
2.843745e+00	-8.622055e+00
2.859369e+00	-8.503294e+00
2.874994e+00	-8.527047e+00
2.890619e+00	-8.455790e+00
2.906244e+00	-8.360781e+00
2.921869e+00	-8.360781e+00
2.937494e+00	-8.218268e+00
2.953119e+00	-8.147011e+00
2.968744e+00	-8.052002e+00
2.984369e+00	-7.980745e+00
2.999994e+00	-7.838232e+00
3.015618e+00	-7.743223e+00
3.031243e+00	-7.695719e+00
3.046868e+00	-7.766976e+00
3.062493e+00	-7.624462e+00
3.078118e+00	-7.576958e+00
3.093743e+00	-7.529454e+00
3.109368e+00	-7.363188e+00
3.124993e+00	-7.244426e+00
3.140618e+00	-7.173170e+00
3.156242e+00	-7.054409e+00
3.171867e+00	-6.959400e+00
3.187492e+00	-6.816887e+00
3.203117e+00	-6.864391e+00
3.218742e+00	-6.816887e+00
3.234367e+00	-6.626869e+00
3.249992e+00	-6.603117e+00
3.265617e+00	-6.531860e+00
3.281242e+00	-6.389347e+00
3.296866e+00	-6.294338e+00
3.312491e+00	-6.294338e+00
3.328116e+00	-6.104320e+00
3.343741e+00	-6.080568e+00
3.359366e+00	-6.104320e+00
3.374991e+00	-6.080568e+00
3.390616e+00	-6.009311e+00
3.406241e+00	-5.914302e+00
3.421866e+00	-5.795541e+00
3.437490e+00	-5.676780e+00
3.453115e+00	-5.629276e+00
3.468740e+00	-5.534267e+00
3.484365e+00	-5.415506e+00
3.499990e+00	-5.272992e+00
3.515615e+00	-5.249240e+00
3.531240e+00	-5.249240e+00
3.546865e+00	-5.177984e+00
3.562490e+00	-5.130479e+00
3.578115e+00	-5.059222e+00
3.593739e+00	-4.892957e+00
3.609364e+00	-4.750444e+00
3.624989e+00	-4.631683e+00
3.640614e+00	-4.607930e+00
3.656239e+00	-4.512922e+00
3.671864e+00	-4.465417e+00
3.687489e+00	-4.489169e+00
3.703114e+00	-4.489169e+00
3.718739e+00	-4.394161e+00
3.734363e+00	-4.322904e+00
3.749988e+00	-4.204143e+00
3.765613e+00	-4.014125e+00
3.781238e+00	-3.919116e+00
3.796863e+00	-3.847859e+00
3.812488e+00	-3.752850e+00
3.828113e+00	-3.515328e+00
3.843738e+00	-3.515328e+00
3.859363e+00	-3.539081e+00
3.874988e+00	-3.325310e+00
3.890613e+00	-3.325310e+00
3.906238e+00	-3.254054e+00
3.921863e+00	-3.182797e+00
3.937489e+00	-3.064036e+00
3.953114e+00	-3.040284e+00
3.968739e+00	-2.850266e+00
3.984364e+00	-2.802762e+00
