    um         	nN
1.376953e+00	3.465555e+01
1.382812e+00	3.489307e+01
1.388672e+00	3.496433e+01
1.394531e+00	3.477431e+01
1.400391e+00	3.434676e+01
1.406250e+00	3.410923e+01
1.412110e+00	3.401421e+01
1.417969e+00	3.717335e+01
1.423828e+00	3.731587e+01
1.429688e+00	3.745839e+01
1.435547e+00	3.774343e+01
1.441407e+00	3.881231e+01
1.447266e+00	3.966742e+01
1.453125e+00	4.026124e+01
1.458985e+00	4.023749e+01
1.464844e+00	4.042751e+01
1.470704e+00	4.173392e+01
1.476563e+00	4.270779e+01
1.482423e+00	4.280280e+01
1.488282e+00	4.346789e+01
1.494141e+00	4.380043e+01
