    um         	nN
1.279297e+00	2.047504e+01
1.289062e+00	2.049879e+01
1.298828e+00	2.052254e+01
1.308594e+00	2.068881e+01
1.318359e+00	2.080758e+01
1.328125e+00	2.090259e+01
1.337890e+00	2.090259e+01
1.347656e+00	2.104511e+01
1.357422e+00	2.099760e+01
1.367187e+00	2.109261e+01
1.376953e+00	2.109261e+01
1.386718e+00	2.111637e+01
1.396484e+00	2.116387e+01
1.406249e+00	2.121138e+01
1.416015e+00	2.140140e+01
1.425781e+00	2.144891e+01
1.435546e+00	2.147266e+01
1.445312e+00	2.154392e+01
1.455077e+00	2.168644e+01
1.464843e+00	2.166268e+01
1.474609e+00	2.171019e+01
1.484374e+00	2.182896e+01
1.494140e+00	2.180520e+01
1.503905e+00	2.187646e+01
1.513671e+00	2.197147e+01
1.523436e+00	2.201898e+01
1.533202e+00	2.204273e+01
1.542968e+00	2.218525e+01
1.552733e+00	2.230401e+01
1.562499e+00	2.228026e+01
1.572264e+00	2.232777e+01
1.582030e+00	2.235152e+01
1.591796e+00	2.237527e+01
1.601561e+00	2.239903e+01
1.611327e+00	2.256530e+01
1.621092e+00	2.261280e+01
1.630858e+00	2.266031e+01
1.640624e+00	2.273157e+01
1.650389e+00	2.280283e+01
1.660155e+00	2.282658e+01
1.669920e+00	2.280283e+01
1.679686e+00	2.287408e+01
1.689451e+00	2.299285e+01
1.699217e+00	2.296910e+01
1.708983e+00	2.306411e+01
1.718748e+00	2.315912e+01
1.728514e+00	2.318287e+01
1.738279e+00	2.330164e+01
1.748045e+00	2.339665e+01
1.757811e+00	2.344416e+01
1.767576e+00	2.344416e+01
1.777342e+00	2.339665e+01
1.787107e+00	2.349166e+01
1.796873e+00	2.356292e+01
1.806638e+00	2.361043e+01
1.816404e+00	2.370544e+01
1.826170e+00	2.389546e+01
1.835935e+00	2.389546e+01
1.845701e+00	2.394297e+01
1.855466e+00	2.408548e+01
1.865232e+00	2.410924e+01
1.874998e+00	2.410924e+01
1.884763e+00	2.415674e+01
1.894529e+00	2.420425e+01
1.904294e+00	2.422800e+01
1.914060e+00	2.437052e+01
1.923826e+00	2.448929e+01
1.933591e+00	2.446553e+01
1.943357e+00	2.451304e+01
1.953123e+00	2.458430e+01
1.962889e+00	2.472681e+01
1.972654e+00	2.463180e+01
1.982420e+00	2.477432e+01
1.992186e+00	2.479807e+01
2.001951e+00	2.484558e+01
2.011717e+00	2.496434e+01
2.021483e+00	2.503560e+01
2.031248e+00	2.510686e+01
2.041014e+00	2.515437e+01
2.050780e+00	2.515437e+01
2.060546e+00	2.532064e+01
2.070311e+00	2.532064e+01
2.080077e+00	2.527313e+01
2.089843e+00	2.541565e+01
2.099608e+00	2.543940e+01
2.109374e+00	2.553442e+01
2.119140e+00	2.565318e+01
2.128905e+00	2.570068e+01
2.138671e+00	2.574819e+01
2.148437e+00	2.577194e+01
2.158203e+00	2.584320e+01
2.167968e+00	2.596197e+01
2.177734e+00	2.591446e+01
2.187500e+00	2.603323e+01
2.197265e+00	2.610449e+01
2.207031e+00	2.610449e+01
2.216797e+00	2.619950e+01
2.226562e+00	2.631826e+01
2.236328e+00	2.638952e+01
2.246094e+00	2.641327e+01
2.255859e+00	2.646078e+01
2.265625e+00	2.653204e+01
2.275391e+00	2.655579e+01
2.285157e+00	2.655579e+01
2.294922e+00	2.665080e+01
2.304688e+00	2.672206e+01
2.314454e+00	2.681707e+01
2.324219e+00	2.688833e+01
2.333985e+00	2.695959e+01
2.343751e+00	2.700710e+01
2.353516e+00	2.707836e+01
2.363282e+00	2.712586e+01
2.373048e+00	2.717337e+01
2.382814e+00	2.710211e+01
2.392579e+00	2.722087e+01
2.402345e+00	2.731589e+01
2.412111e+00	2.736339e+01
2.421876e+00	2.745840e+01
2.431642e+00	2.757717e+01
2.441408e+00	2.767218e+01
2.451173e+00	2.748216e+01
2.460939e+00	2.831351e+01
2.470705e+00	2.888358e+01
2.480471e+00	2.942990e+01
2.490236e+00	3.016624e+01
