    nm         	nN
7.617187e+01	8.049873e+01
7.734375e+01	7.959611e+01
7.851563e+01	7.971488e+01
7.968750e+01	7.902604e+01
8.085938e+01	7.966737e+01
8.203126e+01	7.973863e+01
8.320313e+01	7.902604e+01
8.437501e+01	7.914480e+01
8.554689e+01	7.928733e+01
8.671876e+01	7.916857e+01
8.789064e+01	7.857474e+01
8.906252e+01	7.881227e+01
9.023439e+01	7.900229e+01
9.140627e+01	7.864600e+01
9.257815e+01	7.828970e+01
9.375002e+01	7.812343e+01
9.492190e+01	7.852723e+01
9.609378e+01	7.843222e+01
9.726566e+01	7.793341e+01
9.843753e+01	7.840847e+01
9.960941e+01	7.779089e+01
1.007813e+02	7.800466e+01
1.019532e+02	7.793341e+01
1.031250e+02	7.790965e+01
1.042969e+02	7.767213e+01
1.054688e+02	7.745835e+01
1.066407e+02	7.736334e+01
1.078125e+02	7.783840e+01
1.089844e+02	7.750585e+01
1.101563e+02	7.762461e+01
1.113282e+02	7.724457e+01
1.125001e+02	7.731583e+01
1.136719e+02	7.698329e+01
1.148438e+02	7.729208e+01
1.160157e+02	7.722082e+01
1.171876e+02	7.631821e+01
1.183594e+02	7.714956e+01
1.195313e+02	7.686452e+01
1.207032e+02	7.631821e+01
1.218750e+02	7.612819e+01
1.230469e+02	7.693578e+01
1.242188e+02	7.684077e+01
1.253907e+02	7.681702e+01
1.265625e+02	7.695954e+01
1.277344e+02	7.641322e+01
1.289063e+02	7.600942e+01
1.300781e+02	7.724457e+01
1.312500e+02	7.691203e+01
1.324219e+02	7.638947e+01
1.335937e+02	7.657949e+01
1.347656e+02	7.729208e+01
1.359375e+02	7.655574e+01
1.371094e+02	7.589065e+01
1.382812e+02	7.657949e+01
1.394531e+02	7.619944e+01
1.406250e+02	7.546310e+01
1.417968e+02	7.648448e+01
1.429687e+02	7.629446e+01
1.441406e+02	7.612819e+01
1.453124e+02	7.646072e+01
1.464843e+02	7.605692e+01
1.476562e+02	7.603317e+01
1.488281e+02	7.536809e+01
1.499999e+02	7.617569e+01
1.511718e+02	7.584315e+01
1.523437e+02	7.627070e+01
1.535155e+02	7.598567e+01
1.546874e+02	7.603317e+01
1.558593e+02	7.565313e+01
1.570311e+02	7.605692e+01
1.582030e+02	7.591441e+01
1.593749e+02	7.610443e+01
1.605467e+02	7.600942e+01
1.617186e+02	7.560562e+01
1.628905e+02	7.627070e+01
1.640624e+02	7.641322e+01
1.652342e+02	7.586690e+01
1.664061e+02	7.560562e+01
1.675780e+02	7.653198e+01
1.687498e+02	7.603317e+01
1.699217e+02	7.669826e+01
1.710936e+02	7.667450e+01
1.722654e+02	7.648448e+01
1.734373e+02	7.681702e+01
1.746092e+02	7.667450e+01
1.757811e+02	7.676951e+01
1.769529e+02	7.653198e+01
1.781248e+02	7.627070e+01
1.792967e+02	7.672201e+01
1.804685e+02	7.672201e+01
1.816404e+02	7.676951e+01
1.828123e+02	7.686452e+01
1.839841e+02	7.698329e+01
1.851560e+02	7.627070e+01
1.863279e+02	7.710206e+01
1.874998e+02	7.731583e+01
1.886716e+02	7.719706e+01
1.898435e+02	7.665074e+01
1.910154e+02	7.752961e+01
1.921872e+02	7.705455e+01
1.933591e+02	7.736334e+01
1.945310e+02	7.767213e+01
1.957028e+02	7.743460e+01
1.968747e+02	7.774338e+01
1.980466e+02	7.681702e+01
1.992184e+02	7.767213e+01
2.003903e+02	7.776713e+01
2.015622e+02	7.779089e+01
2.027341e+02	7.767213e+01
2.039059e+02	7.738709e+01
2.050778e+02	7.802842e+01
2.062497e+02	7.738709e+01
2.074215e+02	7.750585e+01
2.085934e+02	7.871725e+01
2.097653e+02	7.752961e+01
2.109371e+02	7.783840e+01
2.121090e+02	7.802842e+01
2.132809e+02	7.769588e+01
2.144528e+02	7.738709e+01
2.156246e+02	7.809967e+01
2.167965e+02	7.779089e+01
2.179684e+02	7.769588e+01
2.191402e+02	7.812343e+01
2.203121e+02	7.769588e+01
2.214840e+02	7.752961e+01
2.226558e+02	7.793341e+01
2.238277e+02	7.828970e+01
2.249996e+02	7.888352e+01
2.261715e+02	7.850348e+01
2.273433e+02	7.907354e+01
2.285152e+02	7.876476e+01
2.296871e+02	7.831346e+01
2.308589e+02	7.909730e+01
2.320308e+02	7.888352e+01
2.332027e+02	7.897854e+01
2.343745e+02	7.843222e+01
2.355464e+02	7.904980e+01
2.367183e+02	7.855098e+01
2.378901e+02	7.935859e+01
2.390620e+02	7.933483e+01
2.402339e+02	7.942984e+01
2.414058e+02	7.964362e+01
2.425777e+02	7.923982e+01
2.437496e+02	7.971488e+01
2.449214e+02	7.983364e+01
2.460933e+02	7.966737e+01
2.472652e+02	7.973863e+01
2.484371e+02	7.947735e+01
2.496090e+02	8.004741e+01
2.507809e+02	7.938234e+01
2.519527e+02	8.004741e+01
2.531246e+02	8.047498e+01
2.542965e+02	8.023744e+01
2.554684e+02	7.952485e+01
2.566403e+02	8.040372e+01
2.578122e+02	8.073626e+01
2.589840e+02	8.028495e+01
2.601559e+02	8.121131e+01
2.613278e+02	8.159136e+01
2.624997e+02	8.071250e+01
2.636716e+02	8.125882e+01
2.648435e+02	8.114005e+01
2.660153e+02	8.121131e+01
2.671872e+02	8.097378e+01
2.683591e+02	8.135383e+01
2.695310e+02	8.168637e+01
2.707029e+02	8.116380e+01
2.718748e+02	8.213767e+01
2.730467e+02	8.192390e+01
2.742185e+02	8.197141e+01
2.753904e+02	8.178138e+01
2.765623e+02	8.285026e+01
2.777342e+02	8.315906e+01
2.789061e+02	8.323031e+01
2.800780e+02	8.315906e+01
2.812498e+02	8.384789e+01
2.824217e+02	8.363411e+01
2.835936e+02	8.320656e+01
2.847655e+02	8.399041e+01
2.859374e+02	8.453672e+01
2.871093e+02	8.375288e+01
2.882811e+02	8.408541e+01
2.894530e+02	8.470300e+01
2.906249e+02	8.425169e+01
2.917968e+02	8.477426e+01
2.929687e+02	8.458423e+01
2.941406e+02	8.458423e+01
2.953124e+02	8.463174e+01
2.964843e+02	8.522556e+01
2.976562e+02	8.548685e+01
2.988281e+02	8.501178e+01
