    nm         	nN
1.347656e+02	1.042992e+02
1.359375e+02	1.039191e+02
1.371094e+02	1.039904e+02
1.382812e+02	1.035866e+02
1.394531e+02	1.036578e+02
1.406250e+02	1.039666e+02
1.417968e+02	1.036578e+02
1.429687e+02	1.031590e+02
1.441406e+02	1.033728e+02
1.453124e+02	1.028265e+02
1.464843e+02	1.025652e+02
1.476562e+02	1.019951e+02
1.488281e+02	1.024702e+02
1.499999e+02	1.024227e+02
1.511718e+02	1.040141e+02
1.523437e+02	1.032778e+02
1.535155e+02	1.024940e+02
1.546874e+02	1.025177e+02
1.558593e+02	1.028027e+02
1.570311e+02	1.026365e+02
1.582030e+02	1.023039e+02
1.593749e+02	1.022327e+02
1.605467e+02	1.026602e+02
1.617186e+02	1.024702e+02
1.628905e+02	1.018764e+02
1.640624e+02	1.019239e+02
1.652342e+02	1.026127e+02
1.664061e+02	1.022564e+02
1.675780e+02	1.018764e+02
1.687498e+02	1.017339e+02
1.699217e+02	1.019951e+02
1.710936e+02	1.016626e+02
1.722654e+02	1.017339e+02
1.734373e+02	1.014251e+02
1.746092e+02	1.016151e+02
1.757811e+02	1.012825e+02
1.769529e+02	1.014726e+02
1.781248e+02	1.012350e+02
1.792967e+02	1.017101e+02
1.804685e+02	1.009263e+02
1.816404e+02	1.018051e+02
1.828123e+02	1.011163e+02
1.839841e+02	1.004512e+02
1.851560e+02	1.017339e+02
1.863279e+02	1.008550e+02
1.874998e+02	1.005700e+02
1.886716e+02	1.012825e+02
1.898435e+02	1.014488e+02
1.910154e+02	1.008075e+02
1.921872e+02	1.003799e+02
1.933591e+02	1.017814e+02
1.945310e+02	1.014726e+02
1.957028e+02	1.006887e+02
1.968747e+02	1.006887e+02
1.980466e+02	1.011875e+02
1.992184e+02	1.014251e+02
2.003903e+02	1.007125e+02
2.015622e+02	1.015201e+02
2.027341e+02	1.012825e+02
2.039059e+02	1.002612e+02
2.050778e+02	1.013776e+02
2.062497e+02	1.011163e+02
2.074215e+02	1.002612e+02
2.085934e+02	1.003324e+02
2.097653e+02	1.018526e+02
2.109371e+02	1.006412e+02
2.121090e+02	1.016151e+02
2.132809e+02	1.009975e+02
2.144528e+02	1.018764e+02
2.156246e+02	1.009738e+02
2.167965e+02	1.012350e+02
2.179684e+02	1.020902e+02
2.191402e+02	1.017576e+02
2.203121e+02	1.011638e+02
2.214840e+02	1.015676e+02
2.226558e+02	1.018764e+02
2.238277e+02	1.013538e+02
2.249996e+02	1.019714e+02
2.261715e+02	1.024464e+02
2.273433e+02	1.028740e+02
2.285152e+02	1.023277e+02
2.296871e+02	1.030403e+02
2.308589e+02	1.030165e+02
2.320308e+02	1.034441e+02
2.332027e+02	1.035628e+02
2.343745e+02	1.030640e+02
2.355464e+02	1.028027e+02
2.367183e+02	1.030165e+02
2.378901e+02	1.041329e+02
2.390620e+02	1.037529e+02
2.402339e+02	1.038479e+02
2.414058e+02	1.041091e+02
2.425777e+02	1.047267e+02
2.437496e+02	1.048217e+02
2.449214e+02	1.040379e+02
2.460933e+02	1.047742e+02
2.472652e+02	1.052493e+02
2.484371e+02	1.050355e+02
2.496090e+02	1.048455e+02
2.507809e+02	1.042754e+02
2.519527e+02	1.049405e+02
2.531246e+02	1.045129e+02
2.542965e+02	1.057481e+02
2.554684e+02	1.053681e+02
2.566403e+02	1.049405e+02
2.578122e+02	1.049168e+02
2.589840e+02	1.045367e+02
2.601559e+02	1.048217e+02
2.613278e+02	1.050830e+02
2.624997e+02	1.053681e+02
2.636716e+02	1.054868e+02
2.648435e+02	1.059144e+02
2.660153e+02	1.058669e+02
2.671872e+02	1.062707e+02
2.683591e+02	1.057719e+02
2.695310e+02	1.067695e+02
2.707029e+02	1.073871e+02
2.718748e+02	1.073158e+02
2.730467e+02	1.068882e+02
2.742185e+02	1.072208e+02
2.753904e+02	1.075533e+02
2.765623e+02	1.074821e+02
2.777342e+02	1.072920e+02
2.789061e+02	1.079571e+02
2.800780e+02	1.077196e+02
2.812498e+02	1.069357e+02
2.824217e+02	1.074583e+02
2.835936e+02	1.074583e+02
2.847655e+02	1.074821e+02
2.859374e+02	1.068645e+02
2.871093e+02	1.081709e+02
2.882811e+02	1.085272e+02
2.894530e+02	1.079809e+02
2.906249e+02	1.079334e+02
2.917968e+02	1.090260e+02
2.929687e+02	1.081472e+02
2.941406e+02	1.087885e+02
2.953124e+02	1.085272e+02
2.964843e+02	1.092398e+02
2.976562e+02	1.095961e+02
2.988281e+02	1.101662e+02
