    nm         	nN
1.445313e+02	5.515433e+01
1.484375e+02	5.567690e+01
1.523438e+02	5.384792e+01
1.562500e+02	5.308783e+01
1.601563e+02	5.399044e+01
1.640625e+02	5.332536e+01
1.679688e+02	5.247025e+01
1.718750e+02	5.161515e+01
1.757813e+02	5.239900e+01
1.796875e+02	5.142513e+01
1.835938e+02	5.064127e+01
1.875000e+02	5.095006e+01
1.914063e+02	5.073629e+01
1.953125e+02	5.068878e+01
1.992188e+02	4.864603e+01
2.031250e+02	5.009496e+01
2.070313e+02	4.843225e+01
2.109375e+02	4.748214e+01
2.148438e+02	4.805220e+01
2.187500e+02	4.691206e+01
2.226563e+02	4.684080e+01
2.265625e+02	4.710209e+01
2.304688e+02	4.665078e+01
2.343751e+02	4.560565e+01
2.382813e+02	4.508308e+01
2.421876e+02	4.551064e+01
2.460938e+02	4.513059e+01
2.500001e+02	4.346789e+01
2.539063e+02	4.391919e+01
2.578126e+02	4.413297e+01
2.617188e+02	4.268404e+01
2.656251e+02	4.325411e+01
2.695313e+02	4.334912e+01
2.734376e+02	4.266029e+01
2.773438e+02	4.190019e+01
2.812501e+02	4.175768e+01
2.851563e+02	4.168642e+01
2.890626e+02	4.156765e+01
2.929688e+02	3.976243e+01
2.968751e+02	4.057003e+01
3.007813e+02	4.023749e+01
3.046876e+02	3.926361e+01
3.085938e+02	3.966742e+01
3.125001e+02	3.931112e+01
3.164063e+02	3.893107e+01
3.203126e+02	3.866979e+01
3.242188e+02	3.836101e+01
3.281251e+02	3.771967e+01
3.320313e+02	3.752965e+01
3.359376e+02	3.691207e+01
3.398438e+02	3.712585e+01
3.437501e+02	3.703084e+01
3.476563e+02	3.676956e+01
3.515626e+02	3.698333e+01
3.554688e+02	3.679331e+01
3.593751e+02	3.638951e+01
3.632813e+02	3.562942e+01
3.671876e+02	3.496433e+01
3.710938e+02	3.479806e+01
3.750001e+02	3.463179e+01
3.789063e+02	3.498808e+01
3.828126e+02	3.486932e+01
3.867189e+02	3.353916e+01
3.906251e+02	3.456053e+01
3.945314e+02	3.351540e+01
3.984376e+02	3.275531e+01
4.023439e+02	3.268405e+01
4.062501e+02	3.311160e+01
4.101564e+02	3.313536e+01
4.140626e+02	3.325412e+01
4.179689e+02	3.254153e+01
4.218751e+02	3.209023e+01
4.257814e+02	3.216148e+01
4.296876e+02	3.185270e+01
4.335939e+02	3.083132e+01
4.375001e+02	2.997622e+01
4.414064e+02	3.083132e+01
4.453126e+02	2.985745e+01
4.492189e+02	2.978619e+01
4.531251e+02	2.909736e+01
4.570314e+02	2.885983e+01
4.609376e+02	2.940615e+01
4.648439e+02	2.762467e+01
4.687501e+02	2.781470e+01
4.726564e+02	2.776719e+01
4.765626e+02	2.686458e+01
4.804689e+02	2.641327e+01
4.843751e+02	2.619950e+01
4.882813e+02	2.543940e+01
4.921876e+02	2.494059e+01
4.960938e+02	2.482182e+01
5.000000e+02	2.508311e+01
