    um         	nN
1.792975e+00	3.315911e+01
1.785943e+00	2.456054e+01
1.778912e+00	1.843228e+01
1.771881e+00	2.634201e+01
1.764850e+00	2.643703e+01
1.757818e+00	2.638952e+01
1.750787e+00	2.638952e+01
1.743756e+00	2.634201e+01
1.736724e+00	2.627075e+01
1.729693e+00	2.624700e+01
1.722662e+00	2.612824e+01
1.715630e+00	2.610449e+01
1.708599e+00	2.612824e+01
1.701568e+00	2.610449e+01
1.694537e+00	2.598572e+01
1.687505e+00	2.589071e+01
1.680474e+00	2.593821e+01
1.673443e+00	2.591446e+01
1.666411e+00	2.574819e+01
1.659380e+00	2.572444e+01
1.652349e+00	2.572444e+01
1.645317e+00	2.562943e+01
1.638286e+00	2.560567e+01
1.631255e+00	2.558192e+01
1.624224e+00	2.548691e+01
1.617192e+00	2.548691e+01
1.610161e+00	2.539189e+01
1.603130e+00	2.543940e+01
1.596098e+00	2.527313e+01
1.589067e+00	2.513061e+01
1.582036e+00	2.510686e+01
1.575004e+00	2.508311e+01
1.567973e+00	2.505936e+01
1.560942e+00	2.505936e+01
1.553910e+00	2.496434e+01
1.546879e+00	2.491684e+01
1.539848e+00	2.482182e+01
1.532817e+00	2.479807e+01
1.525785e+00	2.477432e+01
1.518754e+00	2.467931e+01
1.511723e+00	2.460805e+01
1.504691e+00	2.453679e+01
1.497660e+00	2.456054e+01
1.490629e+00	2.453679e+01
1.483597e+00	2.451304e+01
1.476566e+00	2.448929e+01
1.469535e+00	2.446553e+01
1.462504e+00	2.448929e+01
1.455472e+00	2.444178e+01
1.448441e+00	2.427551e+01
1.441410e+00	2.425175e+01
1.434378e+00	2.420425e+01
1.427347e+00	2.425175e+01
1.420316e+00	2.422800e+01
1.413284e+00	2.427551e+01
1.406253e+00	2.415674e+01
1.399222e+00	2.408548e+01
1.392190e+00	2.413299e+01
1.385159e+00	2.408548e+01
1.378128e+00	2.391922e+01
1.371097e+00	2.380045e+01
1.364065e+00	2.382420e+01
1.357034e+00	2.375294e+01
1.350003e+00	2.377670e+01
1.342971e+00	2.372919e+01
1.335940e+00	2.370544e+01
1.328909e+00	2.365793e+01
1.321877e+00	2.356292e+01
1.314846e+00	2.358667e+01
1.307815e+00	2.344416e+01
1.300784e+00	2.330164e+01
1.293752e+00	2.323038e+01
1.286721e+00	2.320662e+01
1.279690e+00	2.318287e+01
1.272658e+00	2.323038e+01
1.265627e+00	2.318287e+01
1.258596e+00	2.311161e+01
1.251564e+00	2.299285e+01
1.244533e+00	2.306411e+01
1.237502e+00	2.304036e+01
1.230471e+00	2.292159e+01
1.223439e+00	2.285033e+01
1.216408e+00	2.282658e+01
1.209377e+00	2.275532e+01
1.202345e+00	2.273157e+01
1.195314e+00	2.268406e+01
1.188283e+00	2.270781e+01
1.181251e+00	2.266031e+01
1.174220e+00	2.270781e+01
1.167189e+00	2.270781e+01
1.160157e+00	2.261280e+01
1.153126e+00	2.254154e+01
1.146095e+00	2.247029e+01
1.139064e+00	2.242278e+01
1.132032e+00	2.249404e+01
1.125001e+00	2.249404e+01
1.117970e+00	2.251779e+01
1.110938e+00	2.239903e+01
1.103907e+00	2.232777e+01
1.096876e+00	2.230401e+01
1.089844e+00	2.235152e+01
1.082813e+00	2.228026e+01
1.075782e+00	2.218525e+01
1.068751e+00	2.211399e+01
1.061719e+00	2.206648e+01
1.054688e+00	2.201898e+01
1.047657e+00	2.206648e+01
1.040625e+00	2.201898e+01
1.033594e+00	2.194772e+01
1.026563e+00	2.197147e+01
1.019531e+00	2.190021e+01
1.012500e+00	2.178145e+01
1.005469e+00	2.173394e+01
9.984375e-01	2.173394e+01
9.914062e-01	2.156767e+01
9.843749e-01	2.161518e+01
9.773436e-01	2.163893e+01
9.703123e-01	2.154392e+01
9.632810e-01	2.147266e+01
9.562497e-01	2.147266e+01
9.492184e-01	2.154392e+01
9.421872e-01	2.152017e+01
9.351559e-01	2.133014e+01
9.281247e-01	2.128264e+01
9.210934e-01	2.123513e+01
9.140622e-01	2.121138e+01
9.070309e-01	2.121138e+01
8.999997e-01	2.109261e+01
8.929684e-01	2.111637e+01
8.859372e-01	2.114012e+01
8.789060e-01	2.114012e+01
8.718747e-01	2.111637e+01
8.648435e-01	2.099760e+01
8.578122e-01	2.087884e+01
8.507810e-01	2.085508e+01
8.437497e-01	2.083133e+01
8.367185e-01	2.073632e+01
8.296872e-01	2.073632e+01
8.226560e-01	2.071257e+01
8.156247e-01	2.066506e+01
8.085935e-01	2.066506e+01
8.015622e-01	2.064131e+01
7.945310e-01	2.064131e+01
7.874997e-01	2.054630e+01
7.804685e-01	2.049879e+01
7.734373e-01	2.047504e+01
7.664060e-01	2.030877e+01
7.593748e-01	2.030877e+01
7.523435e-01	2.030877e+01
7.453123e-01	2.028501e+01
7.382810e-01	2.023751e+01
7.312498e-01	2.023751e+01
7.242185e-01	2.014250e+01
7.171873e-01	2.011874e+01
7.101560e-01	1.997623e+01
7.031248e-01	1.992872e+01
6.960935e-01	1.985746e+01
6.890623e-01	1.978620e+01
6.820310e-01	1.983371e+01
6.749998e-01	1.978620e+01
6.679685e-01	1.966744e+01
6.609373e-01	1.973870e+01
6.539061e-01	1.961993e+01
6.468748e-01	1.959618e+01
6.398436e-01	1.938240e+01
6.328123e-01	1.938240e+01
6.257811e-01	1.942991e+01
6.187498e-01	1.940615e+01
6.117186e-01	1.935865e+01
6.046873e-01	1.931114e+01
5.976561e-01	1.923988e+01
5.906248e-01	1.921613e+01
5.835936e-01	1.926364e+01
5.765623e-01	1.919238e+01
5.695311e-01	1.904986e+01
5.624998e-01	1.912112e+01
5.554686e-01	1.907361e+01
5.484374e-01	1.893109e+01
5.414061e-01	1.888359e+01
5.343749e-01	1.890734e+01
5.273436e-01	1.890734e+01
5.203124e-01	1.881233e+01
5.132811e-01	1.881233e+01
5.062499e-01	1.866981e+01
4.992186e-01	1.862231e+01
4.921874e-01	1.857480e+01
4.851561e-01	1.852730e+01
4.781249e-01	1.850354e+01
4.710936e-01	1.855105e+01
4.640624e-01	1.855105e+01
4.570311e-01	1.847979e+01
4.499999e-01	1.847979e+01
4.429687e-01	1.840853e+01
4.359374e-01	1.836102e+01
4.289062e-01	1.828977e+01
4.218749e-01	1.824226e+01
4.148437e-01	1.819475e+01
4.078124e-01	1.814725e+01
4.007812e-01	1.807599e+01
3.937499e-01	1.805224e+01
3.867187e-01	1.812350e+01
3.796874e-01	1.805224e+01
3.726562e-01	1.800473e+01
3.656249e-01	1.798098e+01
3.585937e-01	1.800473e+01
3.515624e-01	1.786221e+01
