    um         	nN
1.892571e+00	2.598572e+01
1.885149e+00	2.598572e+01
1.877727e+00	2.596197e+01
1.870305e+00	2.586695e+01
1.862884e+00	2.579570e+01
1.855462e+00	2.572444e+01
1.848040e+00	2.565318e+01
1.840618e+00	2.560567e+01
1.833196e+00	2.558192e+01
1.825774e+00	2.558192e+01
1.818353e+00	2.558192e+01
1.810931e+00	2.553442e+01
1.803509e+00	2.548691e+01
1.796087e+00	2.548691e+01
1.788665e+00	2.543940e+01
1.781244e+00	2.527313e+01
1.773822e+00	2.520187e+01
1.766400e+00	2.517812e+01
1.758978e+00	2.515437e+01
1.751556e+00	2.510686e+01
1.744134e+00	2.503560e+01
1.736713e+00	2.498810e+01
1.729291e+00	2.501185e+01
1.721869e+00	2.496434e+01
1.714447e+00	2.503560e+01
1.707025e+00	2.479807e+01
1.699604e+00	2.479807e+01
1.692182e+00	2.470306e+01
1.684760e+00	2.472681e+01
1.677338e+00	2.470306e+01
1.669916e+00	2.475057e+01
1.662494e+00	2.470306e+01
1.655073e+00	2.467931e+01
1.647651e+00	2.463180e+01
1.640229e+00	2.465556e+01
1.632807e+00	2.460805e+01
1.625385e+00	2.441802e+01
1.617964e+00	2.434677e+01
1.610542e+00	2.441802e+01
1.603120e+00	2.432301e+01
1.595698e+00	2.434677e+01
1.588276e+00	2.427551e+01
1.580854e+00	2.432301e+01
1.573433e+00	2.425175e+01
1.566011e+00	2.422800e+01
1.558589e+00	2.418050e+01
1.551167e+00	2.396672e+01
1.543745e+00	2.391922e+01
1.536324e+00	2.387171e+01
1.528902e+00	2.377670e+01
1.521480e+00	2.370544e+01
1.514058e+00	2.377670e+01
1.506636e+00	2.375294e+01
1.499214e+00	2.372919e+01
1.491793e+00	2.365793e+01
1.484371e+00	2.363418e+01
1.476949e+00	2.361043e+01
1.469527e+00	2.349166e+01
1.462105e+00	2.346791e+01
1.454684e+00	2.339665e+01
1.447262e+00	2.334914e+01
1.439840e+00	2.337290e+01
1.432418e+00	2.327788e+01
1.424996e+00	2.318287e+01
1.417574e+00	2.315912e+01
1.410153e+00	2.315912e+01
1.402731e+00	2.308786e+01
1.395309e+00	2.294534e+01
1.387887e+00	2.289784e+01
1.380465e+00	2.282658e+01
1.373044e+00	2.277907e+01
1.365622e+00	2.277907e+01
1.358200e+00	2.277907e+01
1.350778e+00	2.273157e+01
1.343356e+00	2.268406e+01
1.335934e+00	2.263655e+01
1.328513e+00	2.266031e+01
1.321091e+00	2.258905e+01
1.313669e+00	2.249404e+01
1.306247e+00	2.244653e+01
1.298825e+00	2.237527e+01
1.291404e+00	2.242278e+01
1.283982e+00	2.232777e+01
1.276560e+00	2.232777e+01
1.269138e+00	2.230401e+01
1.261716e+00	2.230401e+01
1.254294e+00	2.225651e+01
1.246873e+00	2.218525e+01
1.239451e+00	2.199523e+01
1.232029e+00	2.194772e+01
1.224607e+00	2.194772e+01
1.217185e+00	2.192397e+01
1.209764e+00	2.185271e+01
1.202342e+00	2.175770e+01
1.194920e+00	2.166268e+01
1.187498e+00	2.171019e+01
1.180076e+00	2.163893e+01
1.172654e+00	2.163893e+01
1.165233e+00	2.154392e+01
1.157811e+00	2.144891e+01
1.150389e+00	2.142515e+01
1.142967e+00	2.137765e+01
1.135545e+00	2.130639e+01
1.128124e+00	2.130639e+01
1.120702e+00	2.128264e+01
1.113280e+00	2.123513e+01
1.105858e+00	2.114012e+01
1.098436e+00	2.116387e+01
1.091014e+00	2.116387e+01
1.083593e+00	2.106886e+01
1.076171e+00	2.099760e+01
1.068749e+00	2.090259e+01
1.061327e+00	2.087884e+01
1.053905e+00	2.090259e+01
1.046484e+00	2.095010e+01
1.039062e+00	2.087884e+01
1.031640e+00	2.080758e+01
1.024218e+00	2.080758e+01
1.016796e+00	2.071257e+01
1.009375e+00	2.071257e+01
1.001953e+00	2.071257e+01
9.945309e-01	2.061755e+01
9.871090e-01	2.052254e+01
9.796872e-01	2.052254e+01
9.722654e-01	2.054630e+01
9.648436e-01	2.045128e+01
9.574218e-01	2.049879e+01
9.499999e-01	2.049879e+01
9.425780e-01	2.052254e+01
9.351562e-01	2.047504e+01
9.277343e-01	2.035627e+01
9.203124e-01	2.030877e+01
9.128905e-01	2.019000e+01
9.054687e-01	2.014250e+01
8.980468e-01	2.014250e+01
8.906249e-01	2.009499e+01
8.832030e-01	2.009499e+01
8.757812e-01	2.007124e+01
8.683593e-01	2.004748e+01
8.609374e-01	1.999998e+01
8.535155e-01	1.988121e+01
8.460937e-01	1.985746e+01
8.386718e-01	1.983371e+01
8.312499e-01	1.971494e+01
8.238280e-01	1.971494e+01
8.164062e-01	1.971494e+01
8.089843e-01	1.964368e+01
8.015624e-01	1.957243e+01
7.941405e-01	1.950117e+01
7.867187e-01	1.945366e+01
7.792968e-01	1.928739e+01
7.718749e-01	1.921613e+01
7.644530e-01	1.919238e+01
7.570312e-01	1.914487e+01
7.496093e-01	1.912112e+01
7.421874e-01	1.912112e+01
7.347655e-01	1.914487e+01
7.273437e-01	1.902611e+01
7.199218e-01	1.900236e+01
7.124999e-01	1.900236e+01
7.050780e-01	1.895485e+01
6.976562e-01	1.883608e+01
6.902343e-01	1.874107e+01
6.828124e-01	1.874107e+01
6.753905e-01	1.864606e+01
6.679687e-01	1.866981e+01
6.605468e-01	1.871732e+01
6.531249e-01	1.866981e+01
6.457030e-01	1.859856e+01
6.382812e-01	1.862231e+01
6.308593e-01	1.850354e+01
6.234374e-01	1.843228e+01
6.160155e-01	1.840853e+01
6.085937e-01	1.833727e+01
6.011718e-01	1.828977e+01
5.937499e-01	1.831352e+01
5.863280e-01	1.828977e+01
5.789062e-01	1.826601e+01
5.714843e-01	1.809974e+01
5.640624e-01	1.817100e+01
5.566405e-01	1.819475e+01
5.492187e-01	1.809974e+01
5.417968e-01	1.795723e+01
5.343749e-01	1.788596e+01
5.269530e-01	1.783846e+01
5.195312e-01	1.774345e+01
5.121093e-01	1.776720e+01
5.046874e-01	1.771970e+01
4.972655e-01	1.767219e+01
4.898437e-01	1.760093e+01
4.824218e-01	1.757718e+01
4.749999e-01	1.755343e+01
4.675780e-01	1.741091e+01
4.601562e-01	1.738715e+01
4.527343e-01	1.741091e+01
4.453124e-01	1.736340e+01
4.378905e-01	1.736340e+01
4.304687e-01	1.736340e+01
4.230468e-01	1.726839e+01
4.156249e-01	1.719713e+01
4.082031e-01	1.719713e+01
4.007812e-01	1.719713e+01
3.933593e-01	1.710212e+01
3.859374e-01	1.700711e+01
3.785156e-01	1.695960e+01
3.710937e-01	1.688834e+01
3.636718e-01	1.693585e+01
3.562499e-01	1.693585e+01
3.488281e-01	1.679333e+01
3.414062e-01	1.679333e+01
3.339843e-01	1.676958e+01
3.265624e-01	1.684084e+01
3.191406e-01	1.681708e+01
3.117187e-01	1.662706e+01
3.042968e-01	1.660331e+01
2.968749e-01	1.660331e+01
2.894531e-01	1.650830e+01
2.820312e-01	1.648454e+01
2.746093e-01	1.648454e+01
2.671874e-01	1.641328e+01
2.597656e-01	1.643704e+01
2.523437e-01	1.638953e+01
2.449218e-01	1.641328e+01
2.374999e-01	1.627077e+01
2.300781e-01	1.622326e+01
2.226562e-01	1.617575e+01
2.152343e-01	1.612825e+01
2.078124e-01	1.608074e+01
2.003906e-01	1.603324e+01
1.929687e-01	1.600948e+01
1.855468e-01	1.603324e+01
1.781249e-01	1.593822e+01
1.707031e-01	1.598573e+01
1.632812e-01	1.600948e+01
1.558593e-01	1.586697e+01
1.484374e-01	1.579571e+01
1.410156e-01	1.579571e+01
1.335937e-01	1.574820e+01
1.261718e-01	1.574820e+01
1.187499e-01	1.570069e+01
1.113281e-01	1.565319e+01
1.039062e-01	1.560568e+01
9.648431e-02	1.558193e+01
8.906244e-02	1.551067e+01
8.164056e-02	1.541566e+01
7.421869e-02	1.536815e+01
6.679682e-02	1.534440e+01
5.937494e-02	1.524939e+01
5.195307e-02	1.532065e+01
4.453119e-02	1.532065e+01
3.710932e-02	1.520188e+01
