    nm         	nN
2.988282e+02	4.351539e+01
2.976564e+02	4.190019e+01
2.964845e+02	4.023749e+01
2.953126e+02	3.845602e+01
2.941407e+02	3.641326e+01
2.929688e+02	3.439426e+01
2.917969e+02	3.230400e+01
2.906251e+02	3.033251e+01
2.894532e+02	2.831351e+01
2.882813e+02	2.619950e+01
2.871094e+02	3.038001e+01
2.859375e+02	3.361042e+01
2.847656e+02	3.361042e+01
2.835937e+02	3.368167e+01
2.824219e+02	3.368167e+01
2.812500e+02	3.365792e+01
2.800781e+02	3.368167e+01
2.789062e+02	3.370543e+01
2.777343e+02	3.370543e+01
2.765624e+02	3.382419e+01
2.753906e+02	3.382419e+01
2.742187e+02	3.375293e+01
2.730468e+02	3.380044e+01
2.718749e+02	3.380044e+01
2.707030e+02	3.377669e+01
2.695311e+02	3.372918e+01
2.683593e+02	3.377669e+01
2.671874e+02	3.372918e+01
2.660155e+02	3.370543e+01
2.648436e+02	3.375293e+01
2.636717e+02	3.377669e+01
2.624998e+02	3.368167e+01
2.613280e+02	3.377669e+01
2.601561e+02	3.377669e+01
2.589842e+02	3.377669e+01
2.578123e+02	3.380044e+01
2.566404e+02	3.389545e+01
2.554685e+02	3.380044e+01
2.542967e+02	3.377669e+01
2.531248e+02	3.380044e+01
2.519529e+02	3.389545e+01
2.507810e+02	3.380044e+01
2.496091e+02	3.368167e+01
2.484372e+02	3.372918e+01
2.472653e+02	3.372918e+01
2.460935e+02	3.370543e+01
2.449216e+02	3.368167e+01
2.437497e+02	3.375293e+01
2.425778e+02	3.370543e+01
2.414059e+02	3.370543e+01
2.402340e+02	3.384794e+01
2.390622e+02	3.372918e+01
2.378903e+02	3.365792e+01
2.367184e+02	3.356291e+01
2.355466e+02	3.363417e+01
2.343747e+02	3.358666e+01
2.332028e+02	3.365792e+01
2.320309e+02	3.368167e+01
2.308591e+02	3.363417e+01
2.296872e+02	3.365792e+01
2.285153e+02	3.368167e+01
2.273435e+02	3.363417e+01
2.261716e+02	3.361042e+01
2.249997e+02	3.353916e+01
2.238279e+02	3.358666e+01
2.226560e+02	3.351540e+01
2.214841e+02	3.349165e+01
