    nm         	nN
4.980458e+02	1.709262e+02
4.960926e+02	1.701423e+02
4.941395e+02	1.697623e+02
4.921864e+02	1.689784e+02
4.902332e+02	1.685034e+02
4.882801e+02	1.678858e+02
4.863269e+02	1.677195e+02
4.843738e+02	1.665556e+02
4.824207e+02	1.659381e+02
4.804675e+02	1.658906e+02
4.785144e+02	1.649879e+02
4.765613e+02	1.636340e+02
4.746082e+02	1.634678e+02
4.726550e+02	1.631352e+02
4.707019e+02	1.618050e+02
4.687488e+02	1.615438e+02
4.667957e+02	1.605461e+02
4.648426e+02	1.601423e+02
4.628895e+02	1.597385e+02
4.609364e+02	1.587409e+02
4.589833e+02	1.580758e+02
4.570302e+02	1.574345e+02
4.550770e+02	1.568169e+02
4.531239e+02	1.566032e+02
4.511708e+02	1.553680e+02
4.492177e+02	1.550592e+02
4.472646e+02	1.545129e+02
4.453115e+02	1.533728e+02
4.433584e+02	1.527077e+02
4.414053e+02	1.522089e+02
4.394522e+02	1.517813e+02
4.374990e+02	1.509262e+02
4.355459e+02	1.503561e+02
4.335928e+02	1.500473e+02
4.316397e+02	1.493110e+02
4.296866e+02	1.480283e+02
4.277335e+02	1.476008e+02
4.257804e+02	1.474583e+02
4.238273e+02	1.465319e+02
4.218741e+02	1.453918e+02
4.199210e+02	1.450830e+02
4.179679e+02	1.446079e+02
4.160148e+02	1.430402e+02
4.140617e+02	1.424226e+02
4.121086e+02	1.425177e+02
4.101555e+02	1.417576e+02
4.082024e+02	1.409737e+02
4.062493e+02	1.398811e+02
4.042961e+02	1.394060e+02
4.023430e+02	1.380046e+02
4.003899e+02	1.373158e+02
3.984368e+02	1.361281e+02
3.964837e+02	1.354393e+02
3.945306e+02	1.345129e+02
3.925775e+02	1.338003e+02
3.906244e+02	1.325177e+02
3.886713e+02	1.314250e+02
3.867181e+02	1.310212e+02
3.847650e+02	1.300474e+02
3.828119e+02	1.290022e+02
3.808588e+02	1.280046e+02
3.789057e+02	1.262944e+02
3.769526e+02	1.247980e+02
3.749995e+02	1.230640e+02
3.730464e+02	1.228265e+02
3.710933e+02	1.217338e+02
3.691401e+02	1.201899e+02
3.671870e+02	1.180521e+02
3.652339e+02	1.158669e+02
3.632808e+02	1.142279e+02
3.613277e+02	1.133015e+02
3.593746e+02	1.123752e+02
3.574215e+02	1.116388e+02
3.554684e+02	1.104274e+02
3.535152e+02	1.080521e+02
3.515621e+02	1.063657e+02
3.496090e+02	1.051068e+02
3.476559e+02	1.048455e+02
3.457028e+02	1.039191e+02
3.437497e+02	1.024702e+02
3.417966e+02	1.014013e+02
3.398435e+02	1.000949e+02
3.378904e+02	9.897851e+01
3.359372e+02	9.574811e+01
3.339841e+02	9.427543e+01
3.320310e+02	9.361035e+01
3.300779e+02	9.266024e+01
3.281248e+02	9.142508e+01
3.261717e+02	8.914480e+01
3.242186e+02	8.800465e+01
3.222655e+02	8.541559e+01
3.203124e+02	8.444171e+01
3.183592e+02	8.299278e+01
3.164061e+02	8.147260e+01
3.144530e+02	7.973863e+01
3.124999e+02	7.933483e+01
3.105468e+02	7.833721e+01
3.085937e+02	7.688828e+01
3.066406e+02	7.567687e+01
3.046875e+02	7.434671e+01
3.027343e+02	7.292154e+01
3.007812e+02	7.097380e+01
2.988281e+02	6.971489e+01
2.968750e+02	6.912106e+01
2.949219e+02	6.757713e+01
2.929688e+02	6.551062e+01
2.910157e+02	6.420421e+01
2.890626e+02	6.330159e+01
2.871095e+02	6.251775e+01
2.851563e+02	6.192393e+01
2.832032e+02	6.092630e+01
2.812501e+02	5.821846e+01
2.792970e+02	5.707832e+01
2.773439e+02	5.574816e+01
2.753908e+02	5.401419e+01
2.734377e+02	5.282655e+01
2.714846e+02	5.218522e+01
2.695315e+02	5.102132e+01
2.675783e+02	4.947738e+01
2.656252e+02	4.852726e+01
2.636721e+02	4.631824e+01
2.617190e+02	4.451302e+01
2.597659e+02	4.247026e+01
2.578128e+02	4.076005e+01
2.558597e+02	4.052252e+01
2.539066e+02	3.916860e+01
2.519535e+02	3.817098e+01
2.500003e+02	3.757716e+01
2.480472e+02	3.634200e+01
2.460941e+02	3.515436e+01
2.441410e+02	3.349165e+01
2.421879e+02	3.111636e+01
2.402348e+02	2.952491e+01
2.382817e+02	2.909736e+01
2.363285e+02	2.676957e+01
2.343754e+02	2.536814e+01
2.324223e+02	2.434677e+01
2.304692e+02	2.332539e+01
2.285160e+02	2.190021e+01
2.265629e+02	2.085508e+01
2.246098e+02	1.921613e+01
2.226567e+02	1.779095e+01
2.207035e+02	1.755343e+01
2.187504e+02	3.672205e+01
2.167973e+02	3.667455e+01
2.148441e+02	3.674580e+01
2.128910e+02	3.672205e+01
2.109379e+02	3.669830e+01
2.089848e+02	3.667455e+01
2.070316e+02	3.667455e+01
2.050785e+02	3.660329e+01
2.031254e+02	3.657953e+01
2.011723e+02	3.655578e+01
1.992191e+02	3.660329e+01
1.972660e+02	3.650827e+01
1.953129e+02	3.650827e+01
1.933598e+02	3.650827e+01
1.914066e+02	3.653203e+01
1.894535e+02	3.648452e+01
1.875004e+02	3.653203e+01
1.855473e+02	3.646077e+01
1.835941e+02	3.643702e+01
1.816410e+02	3.634200e+01
1.796879e+02	3.641326e+01
1.777348e+02	3.638951e+01
1.757816e+02	3.638951e+01
1.738285e+02	3.638951e+01
1.718754e+02	3.646077e+01
1.699223e+02	3.638951e+01
1.679691e+02	3.636576e+01
1.660160e+02	3.646077e+01
1.640629e+02	3.643702e+01
1.621098e+02	3.636576e+01
1.601566e+02	3.627074e+01
1.582035e+02	3.634200e+01
1.562504e+02	3.619948e+01
1.542973e+02	3.627074e+01
1.523441e+02	3.634200e+01
1.503910e+02	3.634200e+01
1.484379e+02	3.629450e+01
1.464848e+02	3.627074e+01
1.445316e+02	3.627074e+01
1.425785e+02	3.624699e+01
1.406254e+02	3.619948e+01
1.386722e+02	3.615198e+01
1.367191e+02	3.610447e+01
1.347660e+02	3.615198e+01
1.328129e+02	3.617573e+01
1.308597e+02	3.608072e+01
1.289066e+02	3.608072e+01
1.269535e+02	3.600946e+01
1.250004e+02	3.610447e+01
1.230472e+02	3.600946e+01
1.210941e+02	3.596195e+01
1.191410e+02	3.596195e+01
1.171879e+02	3.593820e+01
1.152347e+02	3.586695e+01
1.132816e+02	3.598571e+01
1.113285e+02	3.598571e+01
1.093754e+02	3.591445e+01
1.074222e+02	3.598571e+01
1.054691e+02	3.600946e+01
1.035160e+02	3.598571e+01
1.015629e+02	3.593820e+01
9.960974e+01	3.596195e+01
9.765661e+01	3.596195e+01
9.570348e+01	3.593820e+01
9.375036e+01	3.591445e+01
9.179723e+01	3.589070e+01
8.984411e+01	3.584319e+01
8.789098e+01	3.572443e+01
8.593786e+01	3.574818e+01
8.398473e+01	3.574818e+01
8.203160e+01	3.567692e+01
8.007848e+01	3.570068e+01
7.812535e+01	3.567692e+01
7.617223e+01	3.567692e+01
7.421910e+01	3.567692e+01
7.226598e+01	3.572443e+01
7.031285e+01	3.567692e+01
6.835972e+01	3.565317e+01
6.640660e+01	3.570068e+01
6.445347e+01	3.572443e+01
6.250035e+01	3.572443e+01
6.054722e+01	3.565317e+01
5.859410e+01	3.565317e+01
5.664097e+01	3.560566e+01
5.468785e+01	3.553440e+01
5.273472e+01	3.551065e+01
5.078159e+01	3.560566e+01
4.882847e+01	3.555816e+01
4.687534e+01	3.562942e+01
4.492222e+01	3.553440e+01
4.296909e+01	3.558191e+01
4.101597e+01	3.548690e+01
3.906284e+01	3.546315e+01
3.710971e+01	3.541564e+01
3.515659e+01	3.536813e+01
3.320346e+01	3.539188e+01
3.125034e+01	3.541564e+01
2.929721e+01	3.541564e+01
2.734409e+01	3.541564e+01
2.539096e+01	3.548690e+01
2.343783e+01	3.541564e+01
2.148471e+01	3.541564e+01
1.953158e+01	3.534438e+01
1.757846e+01	3.532063e+01
1.562533e+01	3.532063e+01
1.367221e+01	3.532063e+01
1.171908e+01	3.532063e+01
9.765955e+00	3.532063e+01
7.812829e+00	3.527312e+01
5.859704e+00	3.527312e+01
3.906578e+00	3.529687e+01
1.953453e+00	3.527312e+01
3.272937e-04	3.524937e+01
