    um         	nN
1.992185e+00	3.501184e+01
1.984372e+00	3.539188e+01
1.976560e+00	3.527312e+01
1.968747e+00	3.489307e+01
1.960934e+00	3.484557e+01
1.953122e+00	3.465555e+01
1.945309e+00	3.380044e+01
1.937497e+00	3.249403e+01
1.929684e+00	3.187645e+01
1.921872e+00	3.142515e+01
1.914059e+00	3.087883e+01
1.906247e+00	2.997622e+01
1.898434e+00	2.940615e+01
1.890622e+00	2.878857e+01
1.882809e+00	2.812348e+01
1.874997e+00	2.729213e+01
1.867184e+00	2.674582e+01
1.859372e+00	2.524938e+01
1.851560e+00	2.444178e+01
1.843747e+00	2.382420e+01
1.835935e+00	2.325413e+01
1.828122e+00	2.249404e+01
1.820310e+00	2.154392e+01
1.812497e+00	2.066506e+01
1.804685e+00	1.988121e+01
1.796872e+00	1.916863e+01
1.789060e+00	1.833727e+01
1.781248e+00	1.748217e+01
1.773435e+00	2.380045e+01
1.765623e+00	2.738714e+01
1.757810e+00	2.733964e+01
1.749998e+00	2.729213e+01
1.742185e+00	2.724463e+01
1.734373e+00	2.714961e+01
1.726560e+00	2.714961e+01
1.718748e+00	2.714961e+01
1.710936e+00	2.717337e+01
1.703123e+00	2.695959e+01
1.695311e+00	2.693584e+01
1.687498e+00	2.686458e+01
1.679686e+00	2.681707e+01
1.671873e+00	2.676957e+01
1.664061e+00	2.674582e+01
1.656248e+00	2.674582e+01
1.648436e+00	2.672206e+01
1.640624e+00	2.676957e+01
1.632811e+00	2.665080e+01
1.624999e+00	2.653204e+01
1.617186e+00	2.638952e+01
1.609374e+00	2.641327e+01
1.601561e+00	2.638952e+01
1.593749e+00	2.629451e+01
1.585936e+00	2.619950e+01
1.578124e+00	2.622325e+01
1.570311e+00	2.619950e+01
1.562499e+00	2.617574e+01
1.554687e+00	2.617574e+01
1.546874e+00	2.605698e+01
1.539062e+00	2.591446e+01
1.531249e+00	2.584320e+01
1.523437e+00	2.579570e+01
1.515624e+00	2.584320e+01
1.507812e+00	2.579570e+01
1.499999e+00	2.574819e+01
1.492187e+00	2.572444e+01
1.484375e+00	2.565318e+01
1.476562e+00	2.565318e+01
1.468750e+00	2.562943e+01
1.460937e+00	2.555817e+01
1.453125e+00	2.548691e+01
1.445312e+00	2.534439e+01
1.437500e+00	2.534439e+01
1.429687e+00	2.529688e+01
1.421875e+00	2.529688e+01
1.414063e+00	2.532064e+01
1.406250e+00	2.529688e+01
1.398438e+00	2.522563e+01
1.390625e+00	2.522563e+01
1.382813e+00	2.508311e+01
1.375000e+00	2.496434e+01
1.367188e+00	2.496434e+01
1.359375e+00	2.484558e+01
1.351563e+00	2.479807e+01
1.343751e+00	2.484558e+01
1.335938e+00	2.486933e+01
1.328126e+00	2.479807e+01
1.320313e+00	2.477432e+01
1.312501e+00	2.477432e+01
1.304688e+00	2.470306e+01
1.296876e+00	2.456054e+01
1.289063e+00	2.444178e+01
1.281251e+00	2.446553e+01
1.273439e+00	2.439427e+01
1.265626e+00	2.441802e+01
1.257814e+00	2.437052e+01
1.250001e+00	2.432301e+01
1.242189e+00	2.427551e+01
1.234376e+00	2.422800e+01
1.226564e+00	2.420425e+01
1.218751e+00	2.408548e+01
1.210939e+00	2.401423e+01
1.203127e+00	2.391922e+01
1.195314e+00	2.387171e+01
1.187502e+00	2.384795e+01
1.179689e+00	2.384795e+01
1.171877e+00	2.382420e+01
1.164064e+00	2.377670e+01
1.156252e+00	2.370544e+01
1.148439e+00	2.368168e+01
1.140627e+00	2.365793e+01
1.132815e+00	2.349166e+01
1.125002e+00	2.349166e+01
1.117190e+00	2.337290e+01
1.109377e+00	2.327788e+01
1.101565e+00	2.325413e+01
1.093752e+00	2.332539e+01
1.085940e+00	2.327788e+01
1.078127e+00	2.325413e+01
1.070315e+00	2.318287e+01
1.062503e+00	2.325413e+01
1.054690e+00	2.311161e+01
1.046878e+00	2.299285e+01
1.039065e+00	2.292159e+01
1.031253e+00	2.299285e+01
1.023440e+00	2.294534e+01
1.015628e+00	2.285033e+01
1.007815e+00	2.289784e+01
1.000003e+00	2.280283e+01
9.921905e-01	2.280283e+01
9.843781e-01	2.282658e+01
9.765656e-01	2.275532e+01
9.687532e-01	2.266031e+01
9.609407e-01	2.261280e+01
9.531282e-01	2.251779e+01
9.453157e-01	2.249404e+01
9.375032e-01	2.247029e+01
9.296907e-01	2.244653e+01
9.218782e-01	2.237527e+01
9.140657e-01	2.235152e+01
9.062532e-01	2.237527e+01
8.984407e-01	2.228026e+01
8.906282e-01	2.220900e+01
8.828157e-01	2.213774e+01
8.750032e-01	2.206648e+01
8.671907e-01	2.204273e+01
8.593782e-01	2.194772e+01
8.515657e-01	2.197147e+01
8.437532e-01	2.194772e+01
8.359407e-01	2.182896e+01
8.281282e-01	2.175770e+01
8.203157e-01	2.178145e+01
8.125032e-01	2.163893e+01
8.046907e-01	2.154392e+01
7.968782e-01	2.159143e+01
7.890657e-01	2.156767e+01
7.812532e-01	2.140140e+01
7.734407e-01	2.142515e+01
7.656282e-01	2.137765e+01
7.578157e-01	2.140140e+01
7.500032e-01	2.133014e+01
7.421907e-01	2.130639e+01
7.343781e-01	2.125888e+01
7.265656e-01	2.116387e+01
7.187531e-01	2.099760e+01
7.109406e-01	2.097385e+01
7.031281e-01	2.092634e+01
6.953156e-01	2.092634e+01
6.875031e-01	2.097385e+01
6.796906e-01	2.092634e+01
6.718781e-01	2.085508e+01
6.640656e-01	2.083133e+01
6.562531e-01	2.087884e+01
6.484406e-01	2.068881e+01
6.406281e-01	2.061755e+01
6.328156e-01	2.054630e+01
6.250031e-01	2.038002e+01
6.171906e-01	2.040378e+01
6.093781e-01	2.042753e+01
6.015656e-01	2.042753e+01
5.937531e-01	2.030877e+01
5.859406e-01	2.026126e+01
5.781281e-01	2.035627e+01
5.703156e-01	2.021376e+01
5.625031e-01	2.004748e+01
5.546906e-01	2.002373e+01
5.468781e-01	1.992872e+01
5.390656e-01	1.985746e+01
5.312531e-01	1.983371e+01
5.234406e-01	1.985746e+01
5.156281e-01	1.983371e+01
5.078156e-01	1.969119e+01
5.000031e-01	1.966744e+01
4.921906e-01	1.966744e+01
4.843781e-01	1.947741e+01
4.765656e-01	1.945366e+01
4.687531e-01	1.950117e+01
4.609406e-01	1.935865e+01
4.531281e-01	1.931114e+01
4.453155e-01	1.931114e+01
4.375030e-01	1.928739e+01
4.296905e-01	1.923988e+01
4.218780e-01	1.921613e+01
4.140655e-01	1.919238e+01
4.062530e-01	1.909737e+01
3.984405e-01	1.902611e+01
3.906280e-01	1.888359e+01
3.828155e-01	1.888359e+01
3.750030e-01	1.881233e+01
3.671905e-01	1.883608e+01
3.593780e-01	1.878858e+01
3.515655e-01	1.869357e+01
3.437530e-01	1.857480e+01
3.359405e-01	1.864606e+01
3.281280e-01	1.864606e+01
3.203155e-01	1.850354e+01
3.125030e-01	1.838478e+01
3.046905e-01	1.833727e+01
2.968780e-01	1.833727e+01
2.890655e-01	1.819475e+01
2.812530e-01	1.826601e+01
2.734405e-01	1.824226e+01
2.656280e-01	1.817100e+01
2.578155e-01	1.812350e+01
2.500030e-01	1.805224e+01
2.421905e-01	1.793347e+01
2.343780e-01	1.783846e+01
2.265655e-01	1.783846e+01
2.187530e-01	1.781471e+01
2.109405e-01	1.774345e+01
2.031280e-01	1.767219e+01
1.953155e-01	1.764844e+01
1.875030e-01	1.760093e+01
1.796905e-01	1.755343e+01
1.718780e-01	1.748217e+01
1.640655e-01	1.748217e+01
1.562530e-01	1.729214e+01
1.484404e-01	1.733965e+01
1.406279e-01	1.726839e+01
1.328154e-01	1.714963e+01
1.250029e-01	1.714963e+01
1.171904e-01	1.712587e+01
